顧客番号,性別,年齢,プラン区分,通信区分,入会チャネル,インターネット,発話時間,総通話時間,メール,通信量変化,入会後年数,パケット,解約フラグ
2136970,"女性",38,"プランA","タイプ01","AA","ない",179,430,4,"up",4,5,0
2148998,"女性",34,"プランA","タイプ01","AA","ある",182,437,3,"stable",1,5,0
2153318,"男性",22,"プランB","タイプ01","AA","ある",134,323,8,"stable",9,3,0
2153723,"男性",35,"プランB","タイプ01","AA","ない",190,456,2,"stable",3,3,0
2156070,"女性",27,"プランA","タイプ01","AA","ある",380,423,27,"stable",6,4,0
2160164,"男性",26,"プランC","タイプ02","AA","ある",295,321,26,"stable",7,4,0
2160611,"男性",50,"プランB","タイプ01","AA","ない",0,643,2,"down",5,6,0
2161398,"男性",28,"プランB","タイプ01","AA","ない",142,343,3,"stable",2,5,0
2170711,"女性",49,"プランA","タイプ01","AA","ない",0,651,4,"stable",12,10,0
2172328,"男性",30,"プランB","タイプ01","AA","ある",177,426,5,"stable",2,8,0
2183185,"女性",38,"プランA","タイプ01","AA","ある",270,650,38,"down",7,6,0
2198428,"女性",32,"プランA","タイプ01","AA","ない",170,409,5,"stable",7,3,0
2212263,"男性",42,"プランB","タイプ01","AA","ある",186,447,6,"stable",7,4,0
2218898,"男性",39,"プランB","タイプ01","AA","ない",1205,437,2,"stable",17,5,0
2220905,"男性",35,"プランB","タイプ01","BB","ある",230,553,0,"stable",2,6,1
2236943,"女性",37,"プランA","タイプ01","AA","ある",0,618,5,"stable",3,6,0
2238480,"男性",55,"プランB","タイプ01","AA","ない",0,643,35,"down",15,6,0
2246263,"男性",31,"プランB","タイプ01","AA","ない",166,400,31,"stable",8,6,0
2249596,"男性",33,"プランB","タイプ01","AA","ある",152,367,33,"stable",2,4,0
2252569,"男性",39,"プランB","タイプ01","AA","ない",1205,437,2,"stable",17,5,0
2253000,"男性",20,"プランC","タイプ02","AA","ある",596,414,5,"stable",13,1,0
2255475,"男性",29,"プランB","タイプ01","AA","ない",140,336,29,"stable",10,7,0
2279936,"男性",33,"プランB","タイプ01","AA","ない",1121,405,3,"stable",7,4,0
2288515,"男性",44,"プランB","タイプ01","AA","ある",271,651,44,"down",3,6,0
2294690,"男性",27,"プランB","タイプ01","AA","ない",1044,435,3,"stable",2,0,0
2310030,"女性",18,"プランA","タイプ01","AA","ある",0,409,6,"stable",11,0,0
2313186,"男性",36,"プランB","タイプ01","AA","ない",268,644,36,"down",13,5,0
2325821,"男性",45,"プランB","タイプ01","AA","ない",328,789,2,"down",1,7,0
2326884,"男性",23,"プランB","タイプ01","AA","ない",170,409,23,"stable",6,3,0
2330466,"男性",27,"プランB","タイプ01","AA","ない",152,367,27,"stable",8,4,0
2347959,"男性",55,"プランB","タイプ01","AA","ない",275,660,3,"down",4,7,0
2351744,"男性",22,"プランC","タイプ02","AA","ない",102,451,3,"stable",5,3,0
2375211,"男性",27,"プランB","タイプ01","AA","ある",145,349,5,"stable",3,3,0
2376546,"男性",37,"プランB","タイプ01","AA","ある",566,441,1,"down",3,8,0
2379799,"男性",28,"プランB","タイプ01","AA","ない",142,343,3,"stable",2,5,0
2388231,"男性",46,"プランB","タイプ01","AA","ない",0,599,3,"down",1,16,0
2391858,"男性",30,"プランB","タイプ01","AA","ある",177,426,5,"stable",2,8,0
2391872,"男性",30,"プランB","タイプ01","AA","ある",0,459,7,"stable",26,10,0
2392952,"男性",21,"プランC","タイプ02","BB","ない",118,407,0,"stable",1,0,1
2412494,"男性",20,"プランC","タイプ02","AA","ある",122,294,20,"up",3,2,0
2420982,"男性",29,"プランB","タイプ01","AA","ない",151,194,1,"up",9,6,1
2422355,"男性",44,"プランB","タイプ01","AA","ない",1921,523,2,"down",5,5,0
2433325,"男性",44,"プランB","タイプ01","AA","ない",0,456,3,"down",5,6,0
2444593,"男性",55,"プランB","タイプ01","AA","ない",275,660,3,"down",4,7,0
2466890,"男性",41,"プランB","タイプ01","AA","ある",336,807,41,"instable",10,10,0
2468004,"男性",25,"プランC","タイプ02","AA","ない",0,271,22,"up",16,5,1
2472884,"男性",58,"プランB","タイプ01","AA","ある",369,887,5,"instable",7,9,0
2475826,"男性",25,"プランB","タイプ01","AA","ない",188,452,2,"stable",3,4,0
2478841,"男性",42,"プランB","タイプ01","AA","ない",1341,427,6,"stable",1,12,0
2479377,"男性",29,"プランB","タイプ01","AA","ない",587,378,2,"stable",4,4,0
2480110,"女性",28,"プランA","タイプ01","AA","ない",282,679,7,"down",11,4,0
2501578,"男性",35,"プランB","タイプ01","AA","ない",0,402,35,"stable",12,8,0
2510872,"男性",22,"プランC","タイプ02","AA","ある",74,178,19,"up",9,0,1
2528682,"男性",42,"プランB","タイプ01","AA","ある",277,665,3,"stable",5,5,0
2536946,"男性",30,"プランB","タイプ01","BB","ない",171,412,0,"stable",0,3,1
2575691,"女性",25,"プランA","タイプ01","AA","ある",0,413,25,"stable",3,1,0
2581715,"男性",23,"プランB","タイプ01","AA","ない",170,409,23,"stable",6,3,0
2587225,"男性",44,"プランB","タイプ01","AA","ない",165,396,2,"down",0,13,0
2593109,"男性",22,"プランC","タイプ02","AA","ない",98,237,2,"up",1,2,0
2593388,"女性",47,"プランA","タイプ01","AA","ある",446,479,5,"stable",3,8,0
2607432,"女性",25,"プランA","タイプ01","AA","ある",0,413,25,"stable",3,1,0
2609319,"男性",19,"プランC","タイプ02","BB","ない",0,166,1,"up",7,0,1
2611993,"男性",48,"プランB","タイプ01","AA","ない",1120,888,3,"instable",5,12,0
2611998,"男性",23,"プランB","タイプ01","AA","ない",142,341,3,"stable",3,2,0
2620982,"男性",44,"プランB","タイプ01","AA","ない",247,593,5,"down",4,8,0
2637009,"男性",26,"プランB","タイプ01","AA","ない",0,360,3,"stable",10,7,0
2638085,"男性",20,"プランC","タイプ02","BB","ない",224,538,0,"stable",24,0,1
2641075,"女性",20,"プランA","タイプ01","AA","ない",192,461,3,"stable",5,1,0
2655686,"男性",29,"プランC","タイプ02","AA","ない",184,443,4,"stable",12,3,0
2662338,"男性",33,"プランB","タイプ01","AA","ない",1121,405,3,"stable",7,4,0
2664193,"男性",38,"プランC","タイプ02","AA","ない",0,650,38,"down",5,6,0
2666526,"男性",53,"プランB","タイプ01","AA","ない",160,384,3,"stable",13,9,0
2673334,"男性",18,"プランB","タイプ01","AA","ない",543,222,3,"up",11,2,0
2681521,"男性",36,"プランB","タイプ01","AA","ない",0,633,3,"down",8,3,0
2682508,"男性",50,"プランB","タイプ01","AA","ない",250,600,2,"stable",8,9,0
2692483,"男性",29,"プランC","タイプ02","AA","ない",121,292,1,"stable",18,5,0
2696635,"男性",21,"プランC","タイプ02","AA","ない",703,421,4,"down",1,0,0
2698894,"女性",33,"プランA","タイプ01","AA","ある",0,447,4,"stable",3,10,0
2707094,"女性",36,"プランA","タイプ01","AA","ない",262,371,36,"stable",9,4,0
2735033,"男性",33,"プランB","タイプ01","AA","ない",643,296,8,"stable",8,7,0
2740597,"男性",38,"プランC","タイプ02","AA","ない",0,650,38,"down",5,6,0
2754861,"男性",22,"プランC","タイプ02","AA","ない",81,195,1,"up",3,0,1
2757679,"男性",22,"プランC","タイプ02","AA","ない",81,195,1,"up",3,0,1
2767876,"女性",18,"プランA","タイプ01","AA","ない",118,284,2,"up",1,0,0
2781036,"男性",23,"プランB","タイプ01","AA","ない",308,329,8,"stable",0,3,0
2787503,"男性",30,"プランB","タイプ01","AA","ない",257,401,1,"stable",9,2,0
2789338,"男性",28,"プランC","タイプ02","AA","ある",0,211,25,"up",3,2,1
2795361,"男性",35,"プランB","タイプ01","AA","ない",614,455,1,"down",2,8,0
2803182,"男性",37,"プランB","タイプ01","AA","ある",262,679,8,"down",22,7,0
2804646,"男性",28,"プランC","タイプ02","AA","ない",461,296,3,"stable",5,6,0
2806547,"男性",35,"プランB","タイプ01","BB","ある",230,553,0,"stable",2,6,1
2820304,"男性",44,"プランB","タイプ01","AA","ない",0,456,3,"down",5,6,0
2830234,"男性",22,"プランC","タイプ02","AA","ない",81,195,1,"up",3,0,1
2830246,"男性",35,"プランB","タイプ01","AA","ある",0,359,8,"stable",11,9,0
2834305,"男性",20,"プランC","タイプ02","AA","ない",0,393,5,"stable",2,0,0
2844745,"男性",41,"プランB","タイプ01","AA","ない",194,467,1,"stable",4,5,0
2857788,"男性",44,"プランB","タイプ01","AA","ない",1921,523,2,"down",5,5,0
2858749,"男性",84,"プランB","タイプ01","AA","ない",349,838,64,"down",2,9,0
2873282,"男性",33,"プランB","タイプ01","AA","ある",227,546,6,"stable",9,4,0
2873824,"男性",29,"プランC","タイプ02","AA","ない",121,292,1,"stable",18,5,0
2903419,"男性",20,"プランC","タイプ02","AA","ある",102,245,3,"up",8,2,0
2903897,"男性",24,"プランB","タイプ01","AA","ない",130,312,24,"stable",1,4,0
2918263,"男性",50,"プランB","タイプ01","AA","ない",0,643,2,"down",5,6,0
2918863,"男性",47,"プランB","タイプ01","AA","ない",217,521,2,"down",6,8,0
2928450,"男性",50,"プランB","タイプ01","AA","ない",148,524,30,"stable",5,9,0
2935743,"男性",40,"プランB","タイプ01","AA","ない",203,489,4,"down",10,7,0
2939087,"男性",36,"プランB","タイプ01","AA","ある",0,490,2,"stable",11,8,0
2942285,"男性",20,"プランC","タイプ02","AA","ない",141,340,3,"stable",4,0,0
2948702,"男性",21,"プランC","タイプ02","BB","ない",118,407,0,"stable",1,0,1
2948889,"男性",29,"プランB","タイプ01","AA","ない",151,194,1,"up",9,6,1
2949381,"男性",53,"プランB","タイプ01","AA","ない",160,384,3,"stable",13,9,0
2955152,"男性",33,"プランB","タイプ01","AA","ある",152,367,33,"stable",2,4,0
2965581,"男性",23,"プランB","タイプ01","AA","ない",142,341,3,"stable",3,2,0
2971903,"男性",34,"プランB","タイプ01","BB","ある",366,476,0,"stable",4,7,1
2975059,"男性",24,"プランB","タイプ01","AA","ある",0,442,5,"stable",5,2,0
2986705,"男性",32,"プランB","タイプ01","BB","ない",167,401,0,"stable",6,12,1
2989807,"男性",29,"プランB","タイプ01","AA","ない",587,378,2,"stable",4,4,0
2989980,"男性",25,"プランB","タイプ01","BB","ない",193,465,0,"stable",4,5,1
2996681,"男性",22,"プランC","タイプ02","AA","ある",463,351,22,"stable",4,2,0
2999195,"男性",44,"プランB","タイプ01","AA","ない",215,518,2,"down",12,16,0
3013503,"男性",38,"プランB","タイプ01","BB","ない",150,362,2,"stable",2,5,0
3015510,"男性",44,"プランB","タイプ01","AA","ある",0,651,6,"down",3,7,0
3019045,"女性",38,"プランA","タイプ01","AA","ある",270,650,38,"down",7,6,0
3022615,"男性",33,"プランB","タイプ01","AA","ない",0,337,3,"stable",3,11,0
3024499,"男性",35,"プランB","タイプ01","AA","ある",202,485,7,"stable",10,10,0
3026865,"男性",23,"プランB","タイプ01","AA","ない",168,404,23,"stable",10,0,0
3030185,"男性",30,"プランB","タイプ01","AA","ある",0,459,7,"stable",26,10,0
3064483,"男性",46,"プランC","タイプ02","AA","ある",213,513,26,"stable",5,6,0
3065195,"男性",25,"プランB","タイプ01","AA","ない",188,452,2,"stable",3,4,0
3071991,"女性",20,"プランA","タイプ01","AA","ない",0,411,3,"stable",0,2,0
3073815,"男性",41,"プランB","タイプ01","AA","ない",1118,454,1,"stable",7,5,0
3085779,"女性",47,"プランA","タイプ01","AA","ある",446,479,5,"stable",3,8,0
3100094,"男性",44,"プランB","タイプ01","AA","ある",0,651,6,"down",3,7,0
3100118,"男性",24,"プランC","タイプ02","AA","ない",112,269,2,"up",3,0,0
3101347,"男性",20,"プランB","タイプ01","AA","ある",236,568,9,"stable",7,0,0
3107708,"男性",36,"プランB","タイプ01","AA","ある",165,397,7,"stable",7,4,0
3110348,"男性",43,"プランB","タイプ01","AA","ない",178,429,6,"stable",12,9,1
3120685,"男性",20,"プランB","タイプ01","AA","ある",236,568,9,"stable",7,0,0
3129747,"男性",22,"プランC","タイプ02","AA","ない",81,195,1,"up",3,0,1
3133201,"男性",21,"プランC","タイプ02","AA","ない",112,269,3,"up",12,0,1
3133819,"男性",40,"プランB","タイプ01","AA","ない",119,287,2,"up",2,11,0
3135968,"男性",20,"プランC","タイプ02","AA","ある",144,346,20,"stable",3,2,0
3140004,"男性",30,"プランB","タイプ01","BB","ない",95,230,3,"up",10,5,1
3142496,"女性",19,"プランA","タイプ01","AA","ない",299,387,3,"stable",1,1,0
3143870,"男性",26,"プランB","タイプ01","AA","ない",798,292,2,"stable",2,0,0
3150303,"男性",24,"プランB","タイプ01","AA","ない",159,383,3,"stable",4,3,0
3160156,"男性",63,"プランB","タイプ01","AA","ない",250,602,1,"stable",4,14,0
3168831,"男性",28,"プランB","タイプ01","AA","ない",65,158,1,"up",12,5,1
3169304,"男性",35,"プランB","タイプ01","AA","ない",190,456,2,"stable",3,3,0
3171019,"女性",19,"プランA","タイプ01","AA","ない",0,380,6,"stable",5,1,0
3178245,"男性",20,"プランC","タイプ02","AA","ない",176,423,5,"instable",19,0,0
3178864,"男性",50,"プランB","タイプ01","AA","ない",148,524,30,"stable",5,9,0
3179891,"男性",20,"プランC","タイプ02","BB","ない",224,538,0,"stable",24,0,1
3185405,"男性",35,"プランB","タイプ01","AA","ある",202,485,7,"stable",10,10,0
3187904,"女性",34,"プランA","タイプ01","AA","ある",182,437,3,"stable",1,5,0
3188249,"男性",26,"プランC","タイプ02","AA","ない",1335,541,1,"stable",2,6,0
3196271,"男性",31,"プランB","タイプ01","AA","ない",171,412,2,"stable",1,7,0
3199482,"男性",21,"プランC","タイプ02","AA","ある",348,338,6,"stable",4,0,0
3207261,"男性",32,"プランB","タイプ01","AA","ない",217,521,1,"stable",6,8,0
3213762,"男性",37,"プランB","タイプ01","AA","ない",329,375,37,"down",10,11,0
3229393,"男性",21,"プランC","タイプ02","AA","ない",115,277,2,"stable",6,3,0
3232651,"男性",25,"プランC","タイプ02","AA","ない",0,271,22,"up",16,5,1
3243371,"男性",34,"プランB","タイプ01","BB","ある",366,476,0,"stable",4,7,1
3259151,"男性",29,"プランB","タイプ01","AA","ない",151,194,1,"up",9,6,1
3261933,"男性",48,"プランB","タイプ01","AA","ない",1120,888,3,"instable",5,12,0
3287861,"男性",50,"プランB","タイプ01","AA","ない",250,600,2,"stable",8,9,0
3296743,"男性",63,"プランB","タイプ01","AA","ない",250,602,1,"stable",4,14,0
3303637,"男性",33,"プランB","タイプ01","AA","ない",649,385,3,"stable",4,4,0
3310676,"男性",42,"プランC","タイプ02","AA","ある",0,409,3,"stable",8,4,1
3311721,"男性",23,"プランB","タイプ01","AA","ない",142,341,3,"stable",3,2,0
3316603,"男性",20,"プランC","タイプ02","AA","ない",176,423,5,"instable",19,0,0
3316845,"男性",45,"プランB","タイプ01","AA","ない",290,697,2,"down",6,5,0
3320118,"女性",29,"プランA","タイプ01","AA","ない",170,408,1,"up",1,2,0
3337683,"男性",34,"プランB","タイプ01","AA","ない",165,397,3,"stable",4,11,0
3340407,"男性",29,"プランB","タイプ01","AA","ない",228,549,6,"down",6,11,0
3350255,"男性",25,"プランC","タイプ02","AA","ない",0,271,22,"up",16,5,1
3350534,"男性",20,"プランC","タイプ02","AA","ない",851,222,1,"up",4,0,1
3355796,"女性",19,"プランA","タイプ01","AA","ある",166,399,5,"stable",12,0,0
3369245,"男性",31,"プランB","タイプ01","AA","ある",167,402,31,"stable",10,6,0
3371629,"男性",22,"プランC","タイプ02","AA","ない",81,195,1,"up",3,0,1
3380430,"男性",42,"プランB","タイプ01","BB","ない",212,510,0,"stable",1,5,1
3383828,"男性",32,"プランB","タイプ01","AA","ない",337,810,1,"down",9,6,0
3391778,"男性",38,"プランC","タイプ02","AA","ない",0,650,38,"down",5,6,0
3410600,"男性",35,"プランB","タイプ01","AA","ある",202,485,7,"stable",10,10,0
3410661,"男性",42,"プランB","タイプ01","AA","ない",1341,427,6,"stable",1,12,0
3422069,"女性",22,"プランA","タイプ01","AA","ない",701,483,3,"stable",10,2,0
3422719,"男性",50,"プランB","タイプ01","AA","ない",250,600,2,"stable",8,9,0
3431580,"男性",32,"プランB","タイプ01","BB","ない",167,401,0,"stable",6,12,1
3438130,"男性",32,"プランB","タイプ01","AA","ある",194,467,32,"stable",7,5,0
3448877,"男性",43,"プランC","タイプ02","BB","ある",162,444,43,"stable",4,10,0
3455416,"男性",36,"プランB","タイプ01","AA","ない",275,660,7,"down",12,11,0
3458812,"男性",28,"プランB","タイプ01","AA","ない",172,413,3,"stable",3,6,0
3462279,"男性",34,"プランB","タイプ01","AA","ない",168,405,4,"stable",14,9,0
3468278,"男性",45,"プランC","タイプ02","AA","ない",0,317,3,"stable",5,7,0
3470407,"男性",31,"プランB","タイプ01","AA","ない",171,378,31,"stable",4,7,0
3482706,"男性",51,"プランB","タイプ01","AA","ない",240,578,2,"stable",14,13,0
3483567,"女性",37,"プランA","タイプ01","AA","ある",0,618,5,"stable",3,6,0
3485047,"男性",19,"プランC","タイプ02","BB","ない",76,184,5,"up",4,0,1
3487929,"男性",36,"プランB","タイプ01","AA","ない",275,660,7,"down",12,11,0
3488780,"女性",38,"プランA","タイプ01","AA","ない",179,430,4,"up",4,5,0
3489163,"男性",22,"プランC","タイプ02","AA","ある",0,138,19,"up",7,3,1
3491815,"男性",25,"プランB","タイプ01","AA","ない",106,256,22,"up",14,4,1
3492947,"男性",27,"プランB","タイプ01","AA","ある",167,403,4,"stable",4,3,0
3541601,"男性",28,"プランC","タイプ02","BB","ある",205,492,0,"stable",10,4,1
3543640,"女性",32,"プランA","タイプ01","AA","ない",0,274,1,"up",11,13,0
3546606,"男性",50,"プランB","タイプ01","AA","ない",148,524,30,"stable",5,9,0
3548985,"男性",45,"プランB","タイプ01","AA","ない",268,644,4,"stable",9,12,0
3553737,"男性",50,"プランB","タイプ01","AA","ない",174,418,30,"stable",7,11,0
3566239,"男性",32,"プランB","タイプ01","AA","ない",217,521,1,"stable",6,8,0
3566617,"女性",29,"プランA","タイプ01","AA","ある",142,343,29,"stable",6,4,0
3572326,"男性",28,"プランB","タイプ01","AA","ある",112,269,28,"stable",5,5,0
3576142,"男性",28,"プランB","タイプ01","AA","ある",184,443,4,"stable",3,9,0
3583367,"男性",28,"プランB","タイプ01","AA","ない",271,302,1,"up",2,3,0
3587845,"男性",45,"プランB","タイプ01","AA","ない",290,697,2,"down",6,5,0
3588605,"男性",35,"プランB","タイプ01","AA","ない",184,442,1,"stable",3,4,0
3589316,"男性",31,"プランB","タイプ01","AA","ない",53,466,5,"stable",18,6,0
3593184,"女性",38,"プランA","タイプ01","AA","ない",179,430,4,"up",4,5,0
3595907,"男性",39,"プランB","タイプ01","AA","ない",202,485,4,"down",6,4,0
3596827,"女性",28,"プランA","タイプ01","AA","ない",176,424,2,"stable",24,2,0
3597492,"男性",20,"プランC","タイプ02","AA","ある",122,294,20,"up",3,2,0
3601116,"男性",35,"プランB","タイプ01","AA","ある",0,359,8,"stable",11,9,0
3601998,"男性",29,"プランB","タイプ01","AA","ない",0,554,2,"stable",4,4,0
3603231,"男性",24,"プランB","タイプ01","BB","ある",0,475,0,"stable",1,1,1
3609410,"男性",19,"プランC","タイプ02","AA","ない",1747,235,2,"stable",5,1,0
3611197,"女性",33,"プランA","タイプ01","AA","ない",0,380,5,"stable",9,8,0
3618940,"男性",25,"プランB","タイプ01","AA","ある",230,553,7,"stable",2,7,0
3631586,"男性",23,"プランB","タイプ01","AA","ない",308,329,8,"stable",0,3,0
3634047,"男性",27,"プランC","タイプ02","AA","ない",79,191,2,"up",6,3,1
3635506,"男性",50,"プランB","タイプ01","BB","ある",356,491,0,"stable",8,9,1
3637979,"女性",20,"プランA","タイプ01","AA","ない",194,466,5,"stable",7,0,0
3639930,"男性",31,"プランB","タイプ01","AA","ない",171,412,2,"stable",1,7,0
3643436,"男性",20,"プランC","タイプ02","AA","ある",102,245,3,"up",8,2,0
3643812,"男性",25,"プランB","タイプ01","BB","ない",193,465,0,"stable",4,5,1
3644208,"女性",19,"プランA","タイプ01","AA","ない",89,215,3,"up",12,0,1
3644687,"男性",21,"プランC","タイプ02","AA","ある",418,528,3,"down",8,2,0
3645172,"男性",21,"プランC","タイプ02","AA","ない",112,269,3,"up",12,0,1
3648827,"男性",50,"プランB","タイプ01","AA","ない",0,643,2,"down",5,6,0
3658780,"男性",24,"プランB","タイプ01","AA","ない",159,383,3,"stable",4,3,0
3676726,"男性",41,"プランB","タイプ01","AA","ない",254,610,1,"down",3,7,0
3694744,"男性",34,"プランB","タイプ01","AA","ない",168,405,4,"stable",14,9,0
3700983,"男性",18,"プランC","タイプ02","AA","ない",75,180,2,"up",12,2,1
3713600,"男性",32,"プランB","タイプ01","AA","ある",194,467,32,"stable",7,5,0
3718171,"男性",43,"プランB","タイプ01","AA","ある",776,518,2,"stable",3,6,0
3722569,"男性",36,"プランB","タイプ01","AA","ない",610,397,3,"stable",6,14,0
3747768,"男性",55,"プランB","タイプ01","AA","ない",0,749,1,"down",0,8,0
3750709,"男性",35,"プランB","タイプ01","AA","ある",371,568,7,"down",10,7,0
3758548,"男性",45,"プランC","タイプ02","AA","ない",0,317,3,"stable",5,7,0
3776226,"男性",28,"プランB","タイプ01","AA","ない",0,211,1,"up",7,3,1
3779452,"男性",27,"プランB","タイプ01","AA","ない",178,429,1,"stable",9,6,0
3785301,"女性",24,"プランA","タイプ01","AA","ある",0,264,24,"up",7,6,0
3787479,"男性",53,"プランB","タイプ01","AA","ない",160,384,3,"stable",13,9,0
3794611,"男性",68,"プランB","タイプ01","AA","ある",328,789,4,"down",10,11,0
3798158,"男性",65,"プランB","タイプ01","AA","ない",380,912,1,"instable",1,11,0
3799718,"男性",32,"プランB","タイプ01","AA","ない",217,521,1,"stable",6,8,0
3805190,"女性",29,"プランA","タイプ01","AA","ある",142,343,29,"stable",6,4,0
3809895,"男性",41,"プランB","タイプ01","AA","ない",254,610,1,"down",3,7,0
3820732,"男性",27,"プランB","タイプ01","AA","ある",145,349,5,"stable",3,3,0
3830065,"男性",23,"プランB","タイプ01","BB","ない",0,403,0,"stable",10,4,1
3835863,"男性",29,"プランB","タイプ01","AA","ない",151,194,1,"up",9,6,1
3836772,"男性",50,"プランB","タイプ01","AA","ない",189,454,5,"down",6,10,0
3847521,"男性",68,"プランB","タイプ01","AA","ある",328,789,4,"down",10,11,0
3851468,"男性",24,"プランB","タイプ01","AA","ない",450,337,2,"up",14,0,0
3852546,"男性",34,"プランB","タイプ01","AA","ない",168,405,4,"stable",14,9,0
3853079,"男性",48,"プランB","タイプ01","AA","ない",1120,888,3,"instable",5,12,0
3866959,"男性",44,"プランB","タイプ01","AA","ある",0,651,6,"down",3,7,0
3872221,"女性",18,"プランA","タイプ01","AA","ない",127,307,3,"up",5,2,0
3886581,"男性",27,"プランB","タイプ01","BB","ある",0,396,0,"stable",5,3,1
3894333,"男性",29,"プランB","タイプ01","AA","ない",127,306,2,"stable",4,9,0
3894823,"男性",22,"プランB","タイプ01","AA","ある",166,399,6,"stable",12,0,0
3939409,"男性",35,"プランB","タイプ01","AA","ある",0,359,8,"stable",11,9,0
3946574,"男性",39,"プランB","タイプ01","AA","ない",153,368,2,"stable",7,9,0
3949017,"男性",24,"プランB","タイプ01","AA","ない",219,527,8,"stable",2,3,0
3956964,"女性",22,"プランA","タイプ01","AA","ない",701,483,3,"stable",10,2,0
3985457,"男性",37,"プランB","タイプ01","AA","ない",329,375,37,"down",10,11,0
3986565,"女性",51,"プランA","タイプ01","AA","ない",287,691,31,"down",7,8,0
3990737,"女性",20,"プランA","タイプ01","AA","ない",194,466,5,"stable",7,0,0
4018022,"男性",59,"プランB","タイプ01","AA","ない",234,562,5,"down",3,14,0
4027406,"男性",36,"プランB","タイプ01","AA","ない",0,633,3,"down",8,3,0
4033838,"男性",44,"プランB","タイプ01","AA","ある",271,651,44,"down",3,6,0
4042060,"女性",23,"プランA","タイプ01","AA","ない",86,208,3,"up",7,3,0
4046070,"男性",45,"プランB","タイプ01","AA","ない",328,789,2,"down",1,7,0
4050327,"男性",25,"プランB","タイプ01","BB","ない",193,465,0,"stable",4,5,1
4051817,"男性",25,"プランB","タイプ01","BB","ない",967,421,0,"stable",11,7,1
4055869,"男性",21,"プランC","タイプ02","AA","ない",1409,378,2,"stable",5,1,0
4056212,"女性",32,"プランA","タイプ01","AA","ない",170,409,5,"stable",7,3,0
4062383,"男性",46,"プランC","タイプ02","AA","ある",213,513,26,"stable",5,6,0
4063095,"男性",31,"プランB","タイプ01","AA","ない",168,405,4,"stable",10,1,0
4080909,"男性",27,"プランB","タイプ01","BB","ある",0,396,0,"stable",5,3,1
4083316,"女性",44,"プランA","タイプ01","AA","ある",160,586,4,"down",3,9,0
4099231,"男性",27,"プランC","タイプ02","BB","ない",175,422,0,"stable",9,9,1
4099390,"女性",44,"プランA","タイプ01","AA","ある",160,586,4,"down",3,9,0
4120246,"女性",34,"プランA","タイプ01","AA","ない",205,492,1,"stable",16,4,0
4121872,"男性",26,"プランC","タイプ02","AA","ない",187,450,6,"stable",7,5,0
4126904,"男性",43,"プランB","タイプ01","AA","ある",776,518,2,"stable",3,6,0
4133383,"男性",36,"プランC","タイプ02","AA","ない",155,374,2,"stable",6,7,0
4148768,"女性",23,"プランA","タイプ01","AA","ない",0,550,7,"stable",6,4,0
4150899,"男性",36,"プランB","タイプ01","AA","ない",187,451,4,"stable",11,4,0
4176131,"男性",53,"プランB","タイプ01","AA","ある",285,684,5,"down",2,10,0
4176826,"男性",44,"プランB","タイプ01","AA","ない",165,396,2,"down",0,13,0
4178646,"男性",27,"プランB","タイプ01","AA","ある",203,488,27,"down",8,4,0
4182366,"男性",28,"プランB","タイプ01","AA","ない",122,294,4,"stable",3,2,0
4188628,"男性",41,"プランB","タイプ01","AA","ない",194,467,1,"stable",4,5,0
4195860,"男性",18,"プランC","タイプ02","AA","ない",217,523,4,"stable",6,2,0
4196418,"男性",21,"プランC","タイプ02","AA","ない",112,269,3,"up",12,0,1
4200992,"男性",59,"プランB","タイプ01","BB","ない",365,877,6,"instable",7,6,0
4202480,"男性",20,"プランC","タイプ02","AA","ない",186,447,5,"stable",5,0,0
4230500,"男性",37,"プランB","タイプ01","AA","ない",143,344,6,"stable",15,3,0
4232724,"男性",41,"プランB","タイプ01","AA","ない",179,430,4,"stable",3,11,0
4235037,"男性",28,"プランB","タイプ01","AA","ある",184,443,4,"stable",3,9,0
4236322,"男性",32,"プランB","タイプ01","AA","ある",194,467,32,"stable",7,5,0
4237957,"男性",22,"プランC","タイプ02","AA","ない",1227,365,5,"stable",15,1,0
4241926,"男性",36,"プランB","タイプ01","BB","ない",170,408,0,"stable",6,3,1
4260806,"男性",24,"プランB","タイプ01","AA","ない",219,527,8,"stable",2,3,0
4273006,"男性",20,"プランC","タイプ02","AA","ない",0,327,3,"stable",6,0,0
4283436,"男性",53,"プランB","タイプ01","AA","ある",285,684,5,"down",2,10,0
4287099,"男性",23,"プランB","タイプ01","BB","ない",0,403,0,"stable",10,4,1
4291953,"男性",50,"プランB","タイプ01","AA","ない",148,524,30,"stable",5,9,0
4300877,"男性",29,"プランB","タイプ01","AA","ない",140,336,29,"stable",10,7,0
4302048,"男性",25,"プランC","タイプ02","AA","ある",524,199,22,"up",0,4,1
4311542,"男性",20,"プランC","タイプ02","AA","ない",851,222,1,"up",4,0,1
4314080,"男性",26,"プランB","タイプ01","AA","ない",163,393,3,"stable",5,0,0
4333909,"女性",19,"プランA","タイプ01","AA","ある",166,399,5,"stable",12,0,0
4339461,"男性",42,"プランB","タイプ01","AA","ある",186,447,6,"stable",7,4,0
4348650,"男性",26,"プランB","タイプ01","AA","ある",111,268,26,"up",4,0,0
4357046,"男性",27,"プランB","タイプ01","AA","ある",431,400,5,"stable",3,6,0
4370832,"男性",29,"プランB","タイプ01","AA","ない",228,549,6,"down",6,11,0
