ID,電流,電圧,外気温,速度,砂条件,鋳型条件,判定
517,7,275,12,11,"B","C","OK"
516,43,162,4,10,"A","B","OK"
515,32,194,7,5,"B","B","OK"
1343,3,102,8,2,"A","A","OK"
513,2,250,8,9,"B","B","OK"
512,3,701,10,2,"C","B","OK"
511,6,1341,1,12,"B","B","OK"
510,7,202,10,10,"B","B","OK"
509,38,0,5,6,"A","C","OK"
508,1,337,9,6,"B","C","OK"
1344,5,53,18,6,"B","B","OK"
1345,3,0,3,11,"B","B","OK"
505,31,167,10,6,"B","B","OK"
504,5,166,12,0,"C","B","OK"
1349,26,198,9,6,"A","B","OK"
1351,5,446,3,8,"C","B","OK"
501,6,228,6,11,"B","C","OK"
500,3,165,4,11,"B","B","OK"
499,1,170,1,2,"C","A","OK"
498,2,290,6,5,"B","C","OK"
497,5,176,19,0,"A","D","OK"
496,3,142,3,2,"B","B","OK"
1352,1,0,11,13,"C","A","OK"
494,3,649,4,4,"B","B","OK"
493,1,250,4,14,"B","B","OK"
492,2,250,8,9,"B","B","OK"
491,3,1120,5,12,"B","D","OK"
1353,36,268,13,5,"B","C","OK"
1354,1,646,1,5,"B","C","OK"
1355,1,485,11,4,"B","B","OK"
487,2,115,6,3,"A","B","OK"
486,37,329,10,11,"B","C","OK"
485,1,217,6,8,"B","B","OK"
484,6,348,4,0,"A","B","OK"
483,2,171,1,7,"B","B","OK"
482,1,1335,2,6,"A","B","OK"
481,3,182,1,5,"C","B","OK"
480,7,202,10,10,"B","B","OK"
1356,1,646,1,5,"B","C","OK"
478,30,148,5,9,"B","B","OK"
477,5,176,19,0,"A","D","OK"
476,6,0,5,1,"C","B","OK"
475,2,190,3,3,"B","B","OK"
1357,3,178,10,6,"B","B","OK"
473,1,250,4,14,"B","B","OK"
472,3,159,4,3,"B","B","OK"
471,2,798,2,0,"B","B","OK"
470,3,299,1,1,"C","B","OK"
1358,2,115,6,3,"A","B","OK"
468,20,144,3,2,"A","B","OK"
467,2,119,2,11,"B","A","OK"
1359,3,163,5,0,"B","B","OK"
1360,3,163,5,0,"B","B","OK"
464,9,236,7,0,"B","B","OK"
1361,3,320,10,17,"B","C","OK"
462,7,165,7,4,"B","B","OK"
461,9,236,7,0,"B","B","OK"
460,2,112,3,0,"A","A","OK"
459,6,0,3,7,"B","C","OK"
458,5,446,3,8,"C","B","OK"
457,1,1118,7,5,"B","B","OK"
456,3,0,0,2,"C","B","OK"
455,2,188,3,4,"B","B","OK"
454,26,213,5,6,"A","B","OK"
453,7,0,26,10,"B","B","OK"
452,23,168,10,0,"B","B","OK"
451,7,202,10,10,"B","B","OK"
450,3,0,3,11,"B","B","OK"
449,38,270,7,6,"C","C","OK"
448,6,0,3,7,"B","C","OK"
447,2,150,2,5,"B","B","OK"
446,2,215,12,16,"B","C","OK"
445,22,463,4,2,"A","B","OK"
1362,1,485,11,4,"B","B","OK"
443,2,587,4,4,"B","B","OK"
1363,35,156,4,4,"C","B","OK"
441,5,0,5,2,"B","B","OK"
1364,2,147,5,5,"B","B","OK"
439,3,142,3,2,"B","B","OK"
438,33,152,2,4,"B","B","OK"
437,3,160,13,9,"B","B","OK"
1366,4,168,10,1,"B","B","OK"
1367,1,1346,13,16,"A","B","OK"
434,3,141,4,0,"A","B","OK"
433,2,0,11,8,"B","B","OK"
432,4,203,10,7,"B","C","OK"
431,30,148,5,9,"B","B","OK"
430,2,217,6,8,"B","C","OK"
429,2,0,5,6,"B","C","OK"
428,24,130,1,4,"B","B","OK"
427,3,102,8,2,"A","A","OK"
426,1,121,18,5,"A","B","OK"
425,6,227,9,4,"B","B","OK"
424,64,349,2,9,"B","C","OK"
423,2,1921,5,5,"B","C","OK"
422,1,194,4,5,"B","B","OK"
421,5,0,2,0,"A","B","OK"
420,8,0,11,9,"B","B","OK"
1368,4,328,10,11,"B","C","OK"
418,3,0,5,6,"B","C","OK"
1370,2,159,2,4,"B","B","OK"
416,3,461,5,6,"A","B","OK"
415,8,262,22,7,"B","C","OK"
414,1,614,2,8,"B","C","OK"
1371,2,240,14,13,"B","B","OK"
412,1,257,9,2,"B","B","OK"
411,8,308,0,3,"B","B","OK"
410,2,118,1,0,"C","A","OK"
1375,1,1335,2,6,"A","B","OK"
1376,4,167,4,3,"B","B","OK"
407,38,0,5,6,"A","C","OK"
406,8,643,8,7,"B","B","OK"
405,36,262,9,4,"C","B","OK"
404,4,0,3,10,"C","B","OK"
403,4,703,1,0,"A","C","OK"
402,1,121,18,5,"A","B","OK"
401,2,250,8,9,"B","B","OK"
400,3,0,8,3,"B","C","OK"
399,3,543,11,2,"B","A","OK"
398,3,160,13,9,"B","B","OK"
397,38,0,5,6,"A","C","OK"
396,3,1121,7,4,"B","B","OK"
395,4,184,12,3,"A","B","OK"
394,3,192,5,1,"C","B","OK"
1377,3,119,8,5,"C","A","OK"
392,3,0,10,7,"B","B","OK"
391,5,247,4,8,"B","C","OK"
390,3,142,3,2,"B","B","OK"
389,3,1120,5,12,"B","D","OK"
1378,31,166,8,6,"B","B","OK"
387,25,0,3,1,"C","B","OK"
386,5,446,3,8,"C","B","OK"
385,2,98,1,2,"A","A","OK"
384,2,165,0,13,"B","C","OK"
383,23,170,6,3,"B","B","OK"
382,25,0,3,1,"C","B","OK"
1379,6,166,12,0,"B","B","OK"
380,3,277,5,5,"B","B","OK"
1380,3,86,7,3,"C","A","OK"
378,35,0,12,8,"B","B","OK"
377,7,282,11,4,"C","C","OK"
376,2,587,4,4,"B","B","OK"
375,6,1341,1,12,"B","B","OK"
374,2,188,3,4,"B","B","OK"
373,5,369,7,9,"B","D","OK"
1381,7,230,2,7,"B","B","OK"
371,41,336,10,10,"B","D","OK"
370,3,275,4,7,"B","C","OK"
369,3,0,5,6,"B","C","OK"
368,2,1921,5,5,"B","C","OK"
1382,4,624,4,0,"C","B","OK"
366,20,122,3,2,"A","A","OK"
1383,3,167,3,4,"B","B","OK"
364,7,0,26,10,"B","B","OK"
725,3,165,4,11,"B","B","OK"
362,3,0,1,16,"B","C","OK"
361,3,142,2,5,"B","B","OK"
360,1,566,3,8,"B","C","OK"
359,5,145,3,3,"B","B","OK"
358,3,102,5,3,"A","B","OK"
357,3,275,4,7,"B","C","OK"
356,27,152,8,4,"B","B","OK"
355,23,170,6,3,"B","B","OK"
354,2,328,1,7,"B","C","OK"
353,36,268,13,5,"B","C","OK"
352,6,0,11,0,"C","B","OK"
351,3,1044,2,0,"B","B","OK"
350,44,271,3,6,"B","C","OK"
349,3,1121,7,4,"B","B","OK"
348,29,140,10,7,"B","B","OK"
347,5,596,13,1,"A","B","OK"
346,2,1205,17,5,"B","B","OK"
345,33,152,2,4,"B","B","OK"
344,31,166,8,6,"B","B","OK"
343,35,0,15,6,"B","C","OK"
342,5,0,3,6,"C","B","OK"
1385,20,176,3,1,"A","B","OK"
340,2,1205,17,5,"B","B","OK"
339,6,186,7,4,"B","B","OK"
338,5,170,7,3,"C","B","OK"
337,38,270,7,6,"C","C","OK"
336,5,177,2,8,"B","B","OK"
335,4,0,12,10,"C","B","OK"
334,3,142,2,5,"B","B","OK"
333,2,0,5,6,"B","C","OK"
332,26,295,7,4,"A","B","OK"
331,27,380,6,4,"C","B","OK"
330,2,190,3,3,"B","B","OK"
329,8,134,9,3,"B","B","OK"
328,3,182,1,5,"C","B","OK"
327,4,179,4,5,"C","A","OK"
326,35,155,2,3,"B","B","OK"
1386,35,155,2,3,"B","B","OK"
324,3,461,5,6,"A","B","OK"
323,36,262,9,4,"C","B","OK"
322,5,53,18,6,"B","B","OK"
321,3,0,1,16,"B","C","OK"
320,2,450,14,0,"B","A","OK"
319,5,369,7,9,"B","D","OK"
1387,3,180,0,0,"A","B","OK"
317,3,0,5,7,"A","B","OK"
316,2,776,3,6,"B","B","OK"
315,2,189,12,3,"B","B","OK"
314,22,463,4,2,"A","B","OK"
313,5,260,7,0,"B","C","OK"
312,1,254,3,7,"B","C","OK"
311,27,203,8,4,"B","C","OK"
310,3,277,5,5,"B","B","OK"
309,3,165,4,11,"B","B","OK"
308,4,1285,5,4,"B","C","OK"
307,3,173,4,7,"C","B","OK"
306,27,203,8,4,"B","C","OK"
305,2,277,4,5,"B","B","OK"
304,3,168,12,9,"B","B","OK"
303,35,228,6,10,"B","C","OK"
302,3,0,10,6,"C","B","OK"
301,1,170,1,2,"C","A","OK"
1388,6,207,6,13,"B","B","OK"
299,3,172,3,6,"B","B","OK"
298,3,155,1,0,"B","B","OK"
297,2,188,3,4,"B","B","OK"
296,3,0,3,11,"B","B","OK"
1389,31,171,4,7,"B","B","OK"
294,8,262,22,7,"B","C","OK"
293,23,644,9,0,"B","A","OK"
292,35,156,4,4,"C","B","OK"
1391,1,170,1,2,"C","A","OK"
1392,24,0,7,6,"C","A","OK"
1393,2,1747,5,1,"A","B","OK"
288,1,339,4,9,"B","C","OK"
287,1,163,6,7,"A","B","OK"
286,31,287,7,8,"C","C","OK"
285,4,162,10,0,"A","B","OK"
284,3,0,8,3,"B","C","OK"
283,7,0,26,10,"B","B","OK"
282,1,339,4,9,"B","C","OK"
281,2,181,4,4,"B","B","OK"
1394,4,203,10,7,"B","C","OK"
279,3,461,5,6,"A","B","OK"
278,3,167,3,4,"B","B","OK"
277,34,460,11,10,"B","C","OK"
276,4,187,11,4,"B","B","OK"
275,2,0,11,3,"B","B","OK"
274,3,155,1,0,"B","B","OK"
273,5,170,7,3,"C","B","OK"
1395,28,0,10,4,"B","B","OK"
271,2,277,4,5,"B","B","OK"
270,4,147,4,3,"A","B","OK"
1396,1,254,3,7,"B","C","OK"
268,4,162,10,0,"A","B","OK"
1397,3,180,0,0,"A","B","OK"
266,30,174,7,11,"B","B","OK"
265,1,467,4,7,"B","C","OK"
264,1,1346,13,16,"A","B","OK"
1398,3,285,4,6,"B","B","OK"
262,37,329,10,11,"B","C","OK"
1400,3,168,12,9,"B","B","OK"
260,2,587,4,4,"B","B","OK"
259,7,153,4,5,"B","B","OK"
258,3,160,13,9,"B","B","OK"
257,31,167,10,6,"B","B","OK"
256,2,681,3,6,"A","A","OK"
1401,6,143,15,3,"B","B","OK"
254,7,162,5,5,"B","B","OK"
253,1,121,18,5,"A","B","OK"
252,5,186,5,0,"A","B","OK"
251,3,145,2,4,"B","B","OK"
250,2,0,11,8,"B","B","OK"
1402,5,0,2,0,"A","B","OK"
248,2,188,3,4,"B","B","OK"
247,3,610,6,14,"B","B","OK"
1403,1,0,0,8,"B","C","OK"
245,7,162,5,5,"B","B","OK"
244,3,320,10,17,"B","C","OK"
243,2,328,1,7,"B","C","OK"
242,1,835,6,8,"C","B","OK"
1404,6,1341,1,12,"B","B","OK"
240,7,242,2,6,"B","C","OK"
239,29,142,6,4,"C","B","OK"
238,5,177,1,9,"B","B","OK"
237,3,86,7,3,"C","A","OK"
236,5,194,7,0,"C","B","OK"
235,35,156,4,4,"C","B","OK"
1405,5,126,13,1,"B","B","OK"
233,2,152,4,6,"B","B","OK"
232,7,153,4,5,"B","B","OK"
231,3,995,1,7,"B","D","OK"
1406,30,148,5,9,"B","B","OK"
229,2,159,2,4,"B","B","OK"
228,5,446,3,8,"C","B","OK"
227,1,1564,4,4,"B","C","OK"
1407,4,179,4,5,"C","A","OK"
225,6,207,6,13,"B","B","OK"
224,27,0,3,7,"B","B","OK"
1410,36,262,9,4,"C","B","OK"
222,3,277,5,5,"B","B","OK"
221,3,168,12,9,"B","B","OK"
220,8,134,9,3,"B","B","OK"
1411,3,165,3,6,"C","B","OK"
218,3,285,4,6,"B","B","OK"
217,1,646,1,5,"B","C","OK"
1413,7,173,15,1,"A","B","OK"
215,2,279,2,7,"A","C","OK"
214,1,380,1,11,"B","D","OK"
213,2,210,6,2,"A","C","OK"
212,2,112,18,10,"C","B","OK"
211,4,202,6,4,"B","C","OK"
210,32,130,2,6,"C","B","OK"
1416,2,147,5,5,"B","B","OK"
208,3,995,1,7,"B","D","OK"
207,3,0,0,13,"B","C","OK"
206,33,152,2,4,"B","B","OK"
205,2,0,4,4,"B","B","OK"
204,34,460,11,10,"B","C","OK"
203,5,0,5,2,"B","B","OK"
202,1,170,1,2,"C","A","OK"
201,3,167,3,4,"B","B","OK"
1417,2,0,4,4,"B","B","OK"
199,2,159,2,4,"B","B","OK"
198,27,380,6,4,"C","B","OK"
197,3,0,6,0,"A","B","OK"
1418,1,178,9,6,"B","B","OK"
195,26,295,7,4,"A","B","OK"
194,4,0,8,4,"B","B","OK"
193,2,184,4,8,"B","C","OK"
192,2,98,1,2,"A","A","OK"
191,6,227,9,4,"B","B","OK"
190,4,179,4,5,"B","B","OK"
189,3,0,10,6,"C","B","OK"
188,4,179,4,5,"B","B","OK"
187,2,0,4,4,"B","B","OK"
186,36,268,13,5,"B","C","OK"
185,33,152,2,4,"B","B","OK"
184,6,207,6,13,"B","B","OK"
183,2,277,4,5,"B","B","OK"
182,4,0,3,10,"C","B","OK"
181,3,159,4,3,"B","B","OK"
1419,5,189,6,10,"B","C","OK"
179,3,1487,12,3,"B","B","OK"
178,4,624,4,0,"C","B","OK"
177,3,1487,12,3,"B","B","OK"
176,1,0,6,5,"B","C","OK"
175,29,493,8,3,"B","B","OK"
174,1,194,4,5,"B","B","OK"
1420,8,643,8,7,"B","B","OK"
172,2,112,3,0,"A","A","OK"
171,2,278,6,9,"B","C","OK"
170,8,308,0,3,"B","B","OK"
169,2,0,5,6,"B","C","OK"
168,5,431,3,6,"B","B","OK"
1421,2,0,11,3,"B","B","OK"
166,3,277,5,5,"B","B","OK"
165,3,119,8,5,"C","A","OK"
164,1,467,4,7,"B","C","OK"
163,2,217,6,8,"B","C","OK"
162,43,162,4,10,"A","B","OK"
161,2,154,1,6,"B","B","OK"
160,2,494,6,0,"C","A","OK"
159,1,250,4,14,"B","B","OK"
158,27,197,5,5,"B","C","OK"
1422,3,192,5,1,"C","B","OK"
156,5,0,9,8,"C","B","OK"
155,1,268,6,5,"B","C","OK"
154,4,187,11,4,"B","B","OK"
153,1,184,3,4,"B","B","OK"
152,4,168,10,1,"B","B","OK"
1423,4,167,4,3,"B","B","OK"
150,27,0,3,7,"B","B","OK"
149,4,197,6,11,"B","B","OK"
1424,2,188,3,4,"B","B","OK"
147,1,175,9,0,"A","B","OK"
146,26,111,4,0,"B","A","OK"
145,1,121,18,5,"A","B","OK"
144,2,189,12,3,"B","B","OK"
1425,3,192,5,1,"C","B","OK"
142,4,268,9,12,"B","B","OK"
141,7,0,26,10,"B","B","OK"
140,2,347,8,10,"B","D","OK"
1426,7,222,1,6,"B","C","OK"
138,7,0,6,4,"C","B","OK"
137,1,1335,2,6,"A","B","OK"
136,23,170,6,3,"B","B","OK"
135,6,186,7,4,"B","B","OK"
134,4,0,8,4,"B","B","OK"
133,2,494,6,0,"C","A","OK"
1427,1,146,7,2,"A","C","OK"
131,29,493,8,3,"B","B","OK"
130,5,186,5,0,"A","B","OK"
129,38,0,5,6,"A","C","OK"
128,28,112,5,5,"B","B","OK"
127,1,217,6,8,"B","B","OK"
126,3,178,10,6,"B","B","OK"
125,35,228,6,10,"B","C","OK"
124,5,186,5,0,"A","B","OK"
123,8,308,0,3,"B","B","OK"
122,5,285,2,10,"B","C","OK"
121,8,262,22,7,"B","C","OK"
120,5,145,3,3,"B","B","OK"
1428,31,287,7,8,"C","C","OK"
1429,3,610,6,14,"B","B","OK"
117,1,614,2,8,"B","C","OK"
116,3,0,0,2,"C","B","OK"
115,4,187,11,4,"B","B","OK"
114,2,377,10,8,"B","D","OK"
1430,43,162,4,10,"A","B","OK"
112,1,337,9,6,"B","C","OK"
111,4,210,0,11,"B","C","OK"
110,3,127,5,2,"C","A","OK"
109,4,217,6,2,"A","B","OK"
108,2,184,4,8,"B","C","OK"
107,1,246,4,6,"B","C","OK"
106,32,130,2,6,"C","B","OK"
105,5,0,2,0,"A","B","OK"
104,1,1440,4,17,"B","C","OK"
103,4,203,10,7,"B","C","OK"
1431,2,263,3,4,"A","C","OK"
1432,3,0,0,13,"B","C","OK"
100,3,299,1,1,"C","B","OK"
99,1,0,0,8,"B","C","OK"
98,4,268,9,12,"B","B","OK"
97,41,336,10,10,"B","D","OK"
96,1,175,9,0,"A","B","OK"
95,34,197,15,10,"B","B","OK"
1433,5,0,5,2,"B","B","OK"
93,32,130,2,6,"C","B","OK"
92,23,168,10,0,"B","B","OK"
91,3,1120,5,12,"B","D","OK"
90,26,130,1,7,"B","B","OK"
89,35,155,2,3,"B","B","OK"
88,20,144,3,2,"A","B","OK"
87,32,130,2,6,"C","B","OK"
86,2,2473,4,7,"B","D","OK"
85,34,460,11,10,"B","C","OK"
84,32,170,8,7,"B","B","OK"
83,4,147,4,3,"A","B","OK"
82,7,242,2,6,"B","C","OK"
81,2,147,5,5,"B","B","OK"
80,1,0,6,5,"B","C","OK"
79,8,219,2,3,"B","B","OK"
78,6,348,4,0,"A","B","OK"
77,1,614,2,8,"B","C","OK"
76,3,180,0,0,"A","B","OK"
75,36,268,13,5,"B","C","OK"
74,4,197,5,7,"B","B","OK"
73,2,1409,5,1,"A","B","OK"
72,6,143,15,3,"B","B","OK"
71,37,197,9,6,"B","B","OK"
70,2,598,5,3,"B","A","OK"
69,7,0,6,4,"C","B","OK"
68,4,328,10,11,"B","C","OK"
67,1,122,4,3,"B","B","OK"
1434,4,190,16,5,"C","B","OK"
65,3,155,1,0,"B","B","OK"
64,26,295,7,4,"A","B","OK"
63,2,112,18,10,"C","B","OK"
62,2,377,10,8,"B","D","OK"
61,1,646,1,5,"B","C","OK"
60,3,0,0,2,"C","B","OK"
59,35,228,6,10,"B","C","OK"
1435,28,0,10,4,"B","B","OK"
57,6,365,7,6,"B","D","OK"
1436,2,263,3,4,"A","C","OK"
55,4,624,4,0,"C","B","OK"
54,2,141,4,3,"C","B","OK"
1437,2,681,3,6,"A","A","OK"
52,2,277,4,5,"B","B","OK"
51,2,217,6,8,"B","C","OK"
50,6,365,7,6,"B","D","OK"
49,36,262,9,4,"C","B","OK"
48,24,0,7,6,"C","A","OK"
47,3,102,8,2,"A","A","OK"
46,3,127,5,2,"C","A","OK"
45,3,196,2,5,"B","B","OK"
44,4,179,4,5,"C","A","OK"
43,30,174,7,11,"B","B","OK"
1438,4,0,8,4,"B","B","OK"
41,3,114,5,0,"B","A","OK"
40,6,143,15,3,"B","B","OK"
39,4,162,10,0,"A","B","OK"
38,1,646,1,5,"B","C","OK"
1439,2,154,1,6,"B","B","OK"
36,5,260,7,0,"B","C","OK"
1440,3,142,2,5,"B","B","OK"
1441,31,280,5,10,"B","C","OK"
33,4,213,10,10,"B","B","OK"
32,5,53,18,6,"B","B","OK"
31,4,703,1,0,"A","C","OK"
30,2,1395,6,3,"B","B","OK"
29,3,167,3,4,"B","B","OK"
1442,8,308,0,3,"B","B","OK"
27,6,166,12,0,"B","B","OK"
26,20,176,3,1,"A","B","OK"
25,2,119,2,11,"B","A","OK"
24,36,262,9,4,"C","B","OK"
23,3,196,2,5,"B","B","OK"
22,2,112,18,10,"C","B","OK"
21,3,418,8,2,"A","C","OK"
1443,5,0,16,13,"B","B","OK"
1444,5,369,7,9,"B","D","OK"
18,2,184,4,8,"B","C","OK"
17,3,165,4,11,"B","B","OK"
1445,3,461,5,6,"A","B","OK"
15,64,349,2,9,"B","C","OK"
1446,4,184,3,9,"B","B","OK"
13,1,146,7,2,"A","C","OK"
12,8,262,22,7,"B","C","OK"
11,2,925,3,7,"C","B","OK"
1449,2,1395,6,3,"B","B","OK"
9,31,171,4,7,"B","B","OK"
8,27,197,5,5,"B","C","OK"
7,3,180,0,0,"A","B","OK"
6,1,184,3,4,"B","B","OK"
5,7,153,4,5,"B","B","OK"
4,5,189,6,10,"B","C","OK"
3,6,0,3,7,"B","C","OK"
2,4,197,6,11,"B","B","OK"
363,5,177,2,8,"B","B","OK"
