CaseNo,大規模,小規模,特注品,利便性,原価物,簡易性,完成品,特価品,新商品,安全性,価格帯,数量性,複合物,国内品,輸入品,郷土品,油分量,糖分量
1125,2,5.116,31,0,39,5,27,62,6,11,15,5,1.000,24.000,21.000,4.000,2.000,12.493
1126,3,0.000,26,1,27,2,13,20,2,7,9,2,0.000,20.000,11.000,0.000,0.000,3.000
1127,3,5.000,31,5,49,4,12,35,4,9,13,3,2.116,13.806,7.952,2.848,2.615,5.710
1128,1,0.000,14,0,9,2,11,19,4,5,2,0,0.000,21.000,4.000,2.000,0.000,11.000
1129,5,2.031,25,2,20,5,19,32,2,9,7,0,0.000,14.000,8.000,3.000,1.000,3.000
1130,14,3.978,45,9,36,15,36,72,4,5,21,4,2.000,34.000,12.000,7.000,11.000,8.374
1131,1,2.229,17,0,7,6,15,25,3,3,2,1,0.000,17.000,0.000,5.000,1.000,3.685
1132,0,0.942,3,1,10,2,3,15,2,6,5,1,0.000,3.000,2.000,0.000,0.000,0.000
1133,10,1.000,23,7,38,4,16,52,0,13,7,8,1.000,14.000,6.000,2.000,0.000,1.000
1134,1,1.000,19,2,13,7,14,45,2,0,1,3,2.387,17.176,7.788,2.625,2.795,5.420
1135,3,1.000,18,3,14,2,15,25,1,4,3,3,0.619,12.603,6.363,2.378,1.880,3.058
1136,4,1.000,12,4,24,3,12,44,3,4,4,4,1.776,12.574,5.959,2.398,1.496,4.772
1137,3,0.000,25,1,21,1,17,34,2,7,3,4,0.000,29.000,3.000,2.000,0.000,12.000
1138,2,0.556,7,3,13,1,7,16,1,0,2,0,0.000,7.000,2.000,0.000,1.000,1.000
1139,7,0.000,45,6,52,7,15,46,1,9,29,3,1.642,16.242,14.900,3.449,3.374,9.278
1140,8,1.000,29,6,16,12,12,45,0,2,6,1,0.000,15.000,10.000,4.000,2.000,3.000
1141,5,1.741,19,2,14,4,15,22,1,4,5,2,0.000,10.000,2.000,5.000,3.000,1.652
1142,2,3.000,9,1,34,1,13,27,0,13,11,2,0.000,11.000,3.000,2.000,0.000,1.000
1143,7,4.042,33,1,42,7,23,48,3,6,6,5,0.000,32.000,8.000,1.000,1.000,5.000
1144,0,1.000,14,2,11,6,11,27,1,6,0,2,0.443,12.715,0.592,1.684,0.475,0.425
1145,1,4.000,18,6,19,2,15,29,5,6,11,2,1.821,15.729,10.763,3.683,2.091,5.660
1146,21,6.000,82,13,108,16,47,95,3,23,29,9,5.632,39.995,21.815,6.059,7.248,13.961
1147,5,0.000,28,2,41,9,17,39,0,6,13,3,0.010,14.053,7.605,1.935,0.273,5.349
1148,1,12.000,17,0,8,3,22,26,0,2,0,1,-0.201,17.796,7.964,2.709,1.195,6.350
1149,7,2.706,38,9,25,10,28,65,0,6,6,3,0.000,32.000,7.000,4.000,1.000,3.000
1150,5,0.543,22,1,22,2,14,39,1,12,3,0,1.000,15.000,3.000,0.000,4.000,4.591
1151,3,1.000,7,0,7,4,5,13,0,3,0,0,0.000,7.000,1.000,2.000,0.000,1.000
1152,4,1.000,12,6,7,5,10,25,2,0,4,1,-0.011,14.607,2.479,2.585,1.390,1.750
1153,0,2.114,16,4,34,7,12,37,2,8,9,6,0.000,17.000,7.000,3.000,1.000,2.456
1154,4,0.000,25,1,12,3,16,31,2,1,2,2,1.882,14.504,4.269,3.727,2.398,5.367
1155,2,2.000,6,1,11,1,3,15,1,2,7,0,0.000,5.000,7.000,0.000,1.000,2.000
1156,5,0.942,15,2,13,5,10,23,1,11,3,1,1.000,7.000,6.000,2.000,1.000,3.000
1157,0,2.000,14,0,7,2,13,12,3,2,5,0,2.000,13.000,5.000,0.000,1.000,11.000
1158,1,1.945,28,0,11,5,14,32,1,2,4,1,1.000,18.000,8.000,4.000,3.000,2.000
1159,5,1.000,16,2,22,3,17,29,1,9,4,1,5.000,21.000,1.000,0.000,0.000,4.000
1160,4,4.000,27,5,18,3,18,30,9,1,1,1,0.000,16.000,7.000,3.000,1.000,5.000
1161,5,3.000,45,8,84,14,30,94,4,18,21,6,1.810,29.919,14.075,5.830,3.697,7.477
1162,6,2.963,27,1,34,2,15,47,4,2,11,3,0.000,18.000,14.000,2.000,0.000,5.000
1163,8,1.000,14,6,34,9,10,21,0,11,10,3,0.000,22.000,4.000,0.000,0.000,2.000
1164,1,0.000,9,1,6,3,11,12,0,2,1,0,0.000,10.000,2.000,2.000,2.000,0.000
1165,2,2.249,33,2,21,5,8,30,2,3,6,1,0.000,18.000,12.000,2.000,2.000,13.000
1166,0,2.600,17,3,16,2,10,12,0,3,3,1,0.000,14.000,2.000,0.000,0.000,3.000
1167,1,2.039,9,2,10,5,11,24,1,0,2,2,0.000,13.000,4.000,2.000,0.000,2.000
1168,2,2.117,20,11,32,1,14,29,2,6,11,0,0.000,12.000,9.000,3.000,1.000,2.000
1169,1,1.773,16,2,5,2,7,15,2,0,5,1,0.000,14.000,4.000,0.000,0.000,1.850
1170,8,10.000,50,6,54,9,57,78,2,14,23,4,1.000,38.000,28.000,10.000,7.000,4.000
1171,6,0.000,18,1,15,3,9,23,0,1,4,0,1.000,12.000,3.000,2.000,0.000,2.000
1172,5,3.124,44,3,14,6,37,54,1,0,10,5,0.000,40.000,8.000,8.000,0.000,3.456
1173,2,0.000,8,0,10,3,8,16,5,6,0,0,0.000,16.000,3.000,1.000,0.000,7.000
1174,2,1.574,18,1,15,3,25,35,3,3,5,2,0.000,25.000,6.000,1.000,0.000,5.943
1175,2,1.167,16,2,19,1,10,25,2,4,8,4,0.000,16.000,2.000,3.000,0.000,3.873
1176,1,2.815,35,1,49,6,16,24,0,10,14,1,0.000,22.000,4.000,1.000,1.000,1.000
1177,2,3.441,36,0,22,7,29,48,0,9,10,3,0.000,27.000,11.000,1.000,3.000,1.000
1178,1,2.067,19,6,29,3,8,26,2,7,5,2,1.000,8.000,6.000,2.000,0.000,2.000
1179,7,5.000,32,2,57,7,18,55,3,13,11,3,0.000,23.000,20.000,7.000,1.000,1.000
1180,4,2.902,32,5,24,8,11,43,0,2,14,6,2.000,9.000,11.000,3.000,2.000,3.000
1181,2,2.000,24,3,17,1,11,26,0,4,10,4,0.000,14.000,4.000,0.000,0.000,5.000
1182,5,1.000,24,1,13,3,8,23,0,9,7,3,1.780,7.236,6.255,2.891,2.728,4.817
1183,2,1.000,12,2,15,3,7,19,3,2,3,0,-0.041,12.551,3.630,2.718,0.461,1.429
1184,1,-0.573,5,1,5,1,6,10,2,0,0,1,0.000,6.000,3.000,1.000,0.000,0.416
1185,2,4.000,25,2,25,5,19,31,0,2,5,1,0.000,27.000,3.000,2.000,0.000,7.000
1186,11,3.000,32,4,46,8,24,55,0,14,12,7,1.000,25.000,6.000,6.000,4.000,6.000
1187,4,3.024,16,0,29,2,25,44,2,5,5,2,1.000,24.000,7.000,2.000,0.000,5.819
1188,2,1.071,8,2,11,3,3,10,0,5,2,1,0.000,14.000,3.000,0.000,0.000,2.236
1189,2,2.501,23,0,43,9,24,46,3,12,12,5,1.000,20.000,8.000,5.000,2.000,7.104
1190,3,3.000,33,2,14,3,16,39,1,1,5,1,2.000,14.000,10.000,1.000,5.000,7.000
1191,1,1.377,15,1,9,4,12,15,0,3,5,1,0.000,13.000,4.000,3.000,0.000,1.000
1192,2,3.000,22,9,17,3,18,25,1,2,3,6,0.000,16.000,3.000,1.000,1.000,1.000
1193,2,4.000,16,0,17,1,14,31,2,4,9,1,1.000,17.000,3.000,3.000,0.000,4.000
1194,3,2.349,11,1,14,5,21,23,5,7,5,3,0.000,17.000,6.000,6.000,2.000,4.382
1195,0,3.693,18,3,8,9,24,30,2,3,6,1,5.000,6.000,16.000,3.000,6.000,11.333
1196,5,1.000,16,2,17,4,12,21,0,8,4,2,0.000,15.000,3.000,2.000,0.000,2.000
1197,1,0.763,8,3,9,2,6,10,0,3,3,3,0.000,12.000,6.000,1.000,0.000,3.044
1198,9,3.000,19,3,38,4,26,45,0,8,5,2,0.000,20.000,9.000,4.000,4.000,0.000
1199,4,0.778,17,2,23,6,10,36,1,5,3,3,1.000,14.000,5.000,2.000,0.000,3.000
1200,4,1.000,19,2,31,2,11,34,0,6,6,1,0.000,15.000,1.000,3.000,1.000,2.000
1201,1,7.000,30,5,30,8,15,34,1,11,10,3,0.000,19.000,10.000,4.000,0.000,8.000
1202,3,0.000,8,2,15,3,4,16,0,1,5,3,0.061,8.614,2.738,1.616,-0.640,2.601
1203,1,0.000,5,0,6,2,3,13,0,2,2,1,-0.863,6.048,2.521,1.593,0.447,3.728
1204,23,3.215,72,25,127,12,24,86,6,33,20,3,2.000,47.000,7.000,1.000,1.000,3.000
1205,5,1.000,13,3,13,1,14,30,1,3,3,2,4.000,15.000,7.000,1.000,0.000,3.000
1206,2,0.000,20,2,14,5,9,15,0,4,7,0,0.000,11.000,4.000,1.000,0.000,1.000
1207,3,1.000,7,2,9,7,3,14,1,2,6,1,0.000,12.000,1.000,1.000,0.000,2.000
1208,4,3.527,25,2,11,9,27,48,6,2,11,2,1.000,18.000,6.000,7.000,2.000,6.000
1209,8,1.000,23,4,28,6,7,39,2,9,6,3,0.139,12.348,4.892,3.404,0.597,4.503
1210,0,0.000,11,0,9,4,16,14,1,8,7,2,0.000,16.000,4.000,0.000,0.000,1.000
1211,9,5.000,43,2,37,13,44,96,3,2,11,10,7.000,34.000,16.000,10.000,3.000,4.000
1212,1,2.000,6,3,10,4,12,14,1,1,0,0,1.000,14.000,5.000,2.000,0.000,2.000
1213,7,0.000,39,5,33,9,32,67,4,7,8,9,2.828,26.802,12.065,6.177,3.784,6.026
1214,3,1.000,10,1,15,11,3,19,1,2,6,4,0.309,10.950,4.617,0.346,0.411,4.045
1215,2,1.000,6,3,6,0,6,12,1,0,0,0,0.000,3.000,2.000,2.000,2.000,0.000
1216,3,1.556,28,2,18,3,21,40,2,2,6,1,1.000,21.000,9.000,2.000,0.000,3.000
1217,9,4.177,42,2,25,8,32,44,6,10,19,4,0.000,34.000,17.000,1.000,1.000,10.000
1218,2,0.921,7,0,18,4,15,26,2,7,2,4,0.000,17.000,4.000,3.000,0.000,5.000
1219,13,4.000,61,3,92,5,25,81,3,19,31,8,3.000,30.000,12.000,1.000,0.000,3.000
1220,3,1.000,28,5,32,5,11,44,1,7,7,3,4.000,9.000,6.000,3.000,4.000,5.000
1221,0,1.000,24,1,9,3,23,25,2,1,10,4,0.000,27.000,5.000,3.000,3.000,2.000
1222,2,1.000,23,4,18,5,12,31,2,10,8,1,0.000,19.000,9.000,1.000,1.000,2.000
1223,3,1.000,26,0,8,10,11,33,0,1,8,1,1.613,15.787,9.469,1.399,1.978,4.634
1224,11,3.000,22,3,46,1,8,34,0,14,13,4,0.788,11.141,4.253,1.067,0.684,2.599
1225,1,1.318,3,2,4,3,13,16,2,1,1,0,0.000,17.000,2.000,1.000,1.000,1.669
1226,4,0.000,3,1,1,1,8,12,1,4,0,1,0.000,7.000,2.000,1.000,0.000,1.000
1227,10,0.000,44,7,36,7,26,66,5,4,18,3,1.000,36.000,15.000,4.000,1.000,16.000
1228,4,0.502,28,2,23,5,10,42,1,5,8,1,0.000,14.000,11.000,1.000,2.000,3.000
1229,4,5.000,42,3,29,6,32,58,3,12,11,0,0.000,31.000,11.000,5.000,0.000,8.000
1230,2,-0.392,2,1,7,1,2,6,0,4,2,0,0.000,4.000,0.000,0.000,0.000,0.000
1231,0,4.000,22,17,43,2,24,45,8,11,10,4,1.000,24.000,4.000,3.000,1.000,5.000
1232,5,1.253,20,3,56,0,7,48,0,12,14,3,1.000,7.000,7.000,0.000,0.000,1.000
1233,8,1.000,25,3,65,9,15,46,2,18,18,5,0.000,16.000,13.000,6.000,0.000,6.000
1234,0,0.000,13,1,11,2,5,15,0,5,4,0,0.000,6.000,2.000,5.000,0.000,10.000
1235,3,0.000,21,3,17,7,14,34,2,2,5,1,4.000,13.000,2.000,3.000,6.000,2.000
1236,3,3.000,11,1,19,2,3,17,2,8,9,0,0.762,7.353,4.910,0.365,1.140,3.778
1237,2,1.174,12,2,14,2,9,14,2,2,0,1,0.000,11.000,1.000,2.000,0.000,2.000
1238,5,1.492,45,2,35,3,19,54,1,9,8,7,0.000,26.000,6.000,2.000,2.000,6.216
1239,9,2.000,38,3,44,11,22,66,1,14,9,2,4.000,25.000,12.000,5.000,2.000,0.000
1240,2,1.173,14,10,25,5,10,31,3,5,12,1,0.000,13.000,2.000,5.000,1.000,4.000
1241,0,1.000,14,1,18,5,9,18,0,7,5,3,0.000,16.000,1.000,4.000,0.000,2.000
1242,1,2.463,21,4,22,5,24,36,6,6,11,6,0.000,27.000,18.000,3.000,2.000,13.000
1243,7,0.000,13,7,39,8,6,32,0,10,10,2,0.000,9.000,2.000,3.000,2.000,2.000
1244,1,1.000,6,3,6,2,10,18,2,1,1,1,1.000,12.000,4.000,0.000,1.000,2.000
1245,4,0.248,16,4,12,2,3,15,0,1,5,0,0.000,4.000,5.000,2.000,0.000,3.972
1246,2,0.000,25,10,29,5,37,48,9,2,9,6,1.419,30.558,11.123,3.887,2.893,8.649
1247,1,2.000,9,1,9,3,24,20,3,3,1,4,1.000,16.000,4.000,7.000,2.000,5.000
1248,4,2.000,41,0,22,8,21,34,0,10,15,4,1.647,19.411,12.006,4.231,2.575,10.610
1249,2,1.069,10,1,9,1,5,18,0,3,0,0,0.000,9.000,5.000,0.000,0.000,1.000
1250,5,2.000,12,2,14,1,9,15,1,2,7,0,0.000,7.000,6.000,2.000,1.000,1.000
1251,5,3.750,46,6,36,8,30,35,1,4,21,6,1.000,33.000,2.000,6.000,1.000,4.701
1252,1,1.664,11,3,24,1,11,21,3,9,4,1,1.000,9.000,3.000,2.000,0.000,2.259
1253,5,11.000,33,4,56,12,34,68,3,21,14,6,1.000,31.000,15.000,5.000,2.000,2.000
1254,0,2.360,19,0,5,0,16,16,1,2,3,0,0.000,19.000,4.000,0.000,0.000,4.756
1255,1,2.240,15,2,15,0,5,26,0,5,0,0,0.000,2.000,9.000,0.000,0.000,4.552
1256,6,0.000,27,4,18,7,14,30,0,0,6,4,0.496,15.971,6.246,2.263,1.878,5.216
1257,2,7.000,7,1,18,2,20,14,3,6,8,3,0.000,12.000,12.000,5.000,0.000,2.000
1258,8,2.659,37,3,22,14,27,67,1,2,9,8,1.000,30.000,10.000,6.000,3.000,6.651
1259,13,1.000,45,2,46,4,27,64,1,12,17,6,2.941,18.307,12.177,3.968,2.572,10.731
1260,0,1.000,6,1,11,1,6,5,2,3,1,0,0.000,9.000,1.000,0.000,0.000,2.000
1261,4,2.714,47,2,17,7,35,69,0,5,7,4,0.000,30.000,12.000,8.000,0.000,5.000
1262,12,1.000,40,5,52,9,13,69,2,12,11,9,1.000,18.000,6.000,5.000,0.000,6.000
1263,2,1.000,17,4,7,0,5,15,1,1,7,3,0.160,7.118,4.417,2.185,0.271,4.324
1264,4,1.551,6,2,22,6,12,26,0,12,2,3,2.000,13.000,2.000,2.000,1.000,1.000
1265,2,0.000,15,0,22,0,5,28,0,1,9,1,0.938,9.251,5.356,2.405,1.737,4.672
1266,2,3.000,18,0,12,3,19,22,4,1,6,1,0.000,19.000,3.000,1.000,2.000,0.000
1267,3,0.310,9,3,12,4,4,21,0,1,3,2,1.000,5.000,3.000,0.000,2.000,1.000
1268,3,0.000,18,2,20,1,11,25,1,5,11,1,0.000,18.000,10.000,4.000,0.000,8.000
1269,9,3.000,45,8,50,3,35,67,7,10,8,5,1.000,33.000,14.000,5.000,2.000,6.000
1270,4,0.000,3,3,9,0,6,14,1,2,2,2,0.000,7.000,1.000,0.000,0.000,1.000
1271,9,1.722,33,6,68,3,16,66,2,14,11,8,1.000,18.000,5.000,3.000,0.000,5.377
1272,5,0.000,16,1,20,6,15,26,2,4,2,1,0.000,15.000,5.000,3.000,3.000,1.000
1273,2,10.000,32,2,57,2,12,59,4,14,27,2,3.071,14.028,14.513,2.585,3.247,8.252
1274,1,1.000,33,4,22,2,9,46,0,3,1,2,0.000,15.000,4.000,0.000,0.000,2.000
1275,3,2.291,26,2,27,6,18,51,0,8,6,3,1.000,17.000,5.000,5.000,1.000,4.297
1276,5,2.912,35,5,33,9,20,60,0,6,14,5,1.000,28.000,9.000,3.000,2.000,9.400
1277,3,0.000,10,0,5,7,7,17,1,1,4,2,-0.096,10.743,2.331,2.115,1.062,1.947
1278,1,0.000,16,2,6,5,12,25,2,1,4,6,0.000,13.000,3.000,3.000,0.000,4.000
1279,6,0.860,27,9,46,3,12,53,0,8,11,11,3.000,12.000,5.000,3.000,0.000,1.000
1280,2,1.641,30,2,23,5,23,51,0,9,2,4,0.000,17.000,3.000,7.000,0.000,2.000
1281,13,0.000,26,3,35,7,13,43,3,13,8,3,0.000,17.000,12.000,3.000,2.000,9.000
1282,6,2.000,36,1,30,12,22,51,1,4,12,6,0.000,28.000,10.000,3.000,1.000,4.000
1283,4,3.000,16,4,36,2,17,29,1,13,4,3,0.000,11.000,8.000,5.000,4.000,2.000
1284,6,1.270,28,2,16,1,8,31,2,4,11,0,0.000,9.000,4.000,0.000,1.000,5.327
1285,4,0.299,16,2,11,2,15,19,2,2,1,3,1.000,10.000,3.000,3.000,0.000,1.013
1286,5,1.000,32,3,35,10,18,49,0,8,11,5,4.000,12.000,17.000,2.000,4.000,4.000
1287,4,3.000,16,1,20,0,14,19,2,9,6,1,3.000,9.000,5.000,4.000,0.000,2.000
1288,8,4.561,51,4,66,10,44,66,2,19,22,5,3.000,48.000,7.000,9.000,1.000,9.219
1289,11,4.657,49,3,73,8,39,87,3,12,23,9,1.000,41.000,13.000,7.000,1.000,6.000
1290,2,0.000,29,2,17,3,10,27,1,1,9,0,0.900,12.747,6.841,3.022,1.471,5.037
1291,2,1.000,36,3,3,7,39,39,3,1,5,2,1.000,28.000,6.000,10.000,1.000,3.000
1292,5,0.954,15,1,14,4,7,20,1,10,11,0,0.000,15.000,6.000,1.000,2.000,2.678
1293,4,0.000,23,3,16,2,10,30,1,6,4,1,0.000,12.000,1.000,2.000,1.000,3.000
1294,4,0.000,9,0,12,3,3,15,0,6,3,2,0.000,6.000,1.000,0.000,0.000,3.000
1295,0,1.030,20,4,1,0,4,15,0,3,5,0,0.000,4.000,4.000,0.000,0.000,2.617
1296,7,1.543,17,2,21,3,9,34,1,5,3,3,0.000,8.000,2.000,5.000,1.000,3.000
1297,0,0.679,9,3,8,1,6,22,1,3,1,4,0.000,7.000,4.000,0.000,0.000,2.697
1298,4,4.233,53,2,42,15,34,86,9,5,22,15,3.000,30.000,22.000,6.000,3.000,14.903
1299,5,7.000,59,7,59,9,19,55,0,11,28,3,0.000,24.000,13.000,3.000,0.000,9.000
1300,1,0.000,17,2,10,2,19,23,2,3,4,2,2.000,15.000,4.000,5.000,1.000,5.000
1301,6,1.750,36,4,47,6,15,49,1,10,13,4,0.000,20.000,5.000,4.000,0.000,3.799
1302,2,4.000,11,0,20,3,16,16,2,6,7,2,1.000,8.000,8.000,4.000,1.000,0.000
1303,1,1.443,15,1,11,3,4,21,1,2,4,2,0.000,8.000,6.000,1.000,0.000,3.418
1304,11,3.000,35,4,47,6,22,52,4,11,12,7,0.000,26.000,13.000,3.000,2.000,6.000
1305,3,0.000,19,1,13,3,3,20,2,6,5,2,0.000,8.000,1.000,0.000,2.000,3.000
1306,3,1.656,14,5,12,1,12,23,1,4,2,3,0.000,6.000,9.000,1.000,1.000,3.000
1307,1,2.000,15,3,12,2,19,29,0,0,6,2,0.973,17.556,6.016,3.882,1.847,4.979
1308,13,2.797,42,10,53,9,27,78,1,20,15,1,7.000,19.000,15.000,4.000,8.000,7.000
1309,8,3.546,50,1,46,10,45,70,7,5,23,3,0.000,45.000,22.000,8.000,2.000,20.000
1310,5,1.976,34,1,34,6,17,42,1,7,8,1,0.000,18.000,9.000,6.000,1.000,5.000
1311,5,0.000,27,4,41,13,12,47,1,4,6,9,0.000,35.000,2.000,2.000,0.000,3.000
1312,8,6.561,78,3,51,8,61,112,10,21,38,6,12.000,42.000,33.000,5.000,8.000,22.102
1313,5,1.942,32,6,25,13,21,55,1,7,4,4,0.000,25.000,3.000,6.000,4.000,4.000
1314,1,5.000,43,3,29,13,37,43,1,10,8,2,0.000,34.000,9.000,2.000,3.000,0.000
1315,4,5.000,53,3,13,4,37,26,7,6,22,1,0.000,38.000,5.000,2.000,0.000,6.000
1316,2,0.667,12,3,15,3,8,23,1,1,2,1,1.000,10.000,1.000,1.000,2.000,3.000
1317,1,0.337,10,1,3,1,6,16,1,0,4,0,4.000,8.000,1.000,0.000,4.000,5.202
1318,9,3.000,35,4,72,3,24,61,1,16,16,5,4.000,26.000,7.000,1.000,1.000,1.000
1319,0,0.146,6,2,8,2,0,8,0,4,2,1,0.000,3.000,0.000,1.000,2.000,2.886
1320,3,1.000,15,3,6,9,10,18,1,0,3,0,0.260,13.231,5.738,2.396,0.805,0.873
1321,9,7.827,67,7,77,24,108,110,13,16,19,13,13.000,79.000,34.000,10.000,17.000,1.000
1322,3,3.000,16,0,31,5,9,30,0,15,7,0,0.000,9.000,2.000,1.000,2.000,2.000
1323,2,0.000,24,0,12,4,6,18,2,0,8,1,-0.503,12.772,6.421,1.319,-0.573,4.285
1324,8,1.783,28,5,27,6,14,30,2,9,7,3,3.000,16.000,5.000,1.000,4.000,5.000
1325,1,3.000,21,0,20,5,12,26,2,6,1,2,1.000,22.000,1.000,3.000,0.000,2.000
1326,3,6.000,24,3,29,2,30,34,2,8,8,0,0.000,24.000,8.000,4.000,3.000,8.000
1327,6,6.646,45,0,40,14,68,54,6,9,19,6,0.000,61.000,19.000,7.000,3.000,11.514
1328,1,1.845,29,3,38,8,22,51,2,6,6,3,2.000,21.000,8.000,4.000,1.000,5.076
1329,6,0.000,48,2,42,6,15,44,0,10,9,5,2.593,15.114,9.374,2.838,2.914,6.345
1330,1,0.585,18,4,20,9,12,31,0,9,7,5,1.000,19.000,5.000,1.000,3.000,2.000
1331,2,2.699,20,2,24,3,14,33,1,9,4,1,0.000,15.000,9.000,1.000,1.000,4.259
1332,1,1.163,6,0,5,0,17,13,2,5,6,0,0.000,12.000,9.000,2.000,0.000,5.600
1333,3,2.677,40,3,30,14,17,56,6,2,7,6,1.000,23.000,11.000,5.000,3.000,6.959
1334,1,1.645,12,2,14,3,8,23,1,1,4,2,0.000,12.000,3.000,1.000,0.000,3.000
1335,6,2.000,26,6,39,11,10,39,0,7,7,3,0.000,19.000,5.000,3.000,2.000,0.000
1336,2,1.181,21,2,48,5,11,47,5,10,6,1,0.000,12.000,12.000,1.000,2.000,6.354
1337,2,5.000,23,3,30,4,24,28,2,9,10,3,1.000,28.000,10.000,3.000,0.000,12.000
1338,3,1.319,24,1,3,0,4,19,0,3,5,0,0.000,5.000,3.000,0.000,0.000,3.000
1339,0,7.000,36,2,8,2,40,42,3,0,10,4,0.000,28.000,17.000,3.000,2.000,6.000
1340,6,1.684,20,3,15,8,24,38,0,5,4,7,0.000,29.000,5.000,3.000,0.000,4.000
1341,11,4.000,57,2,62,13,46,105,2,8,21,9,1.000,44.000,12.000,2.000,9.000,7.000
1342,1,1.788,38,1,21,5,28,47,0,6,15,5,5.000,22.000,9.000,2.000,4.000,6.550
1343,4,1.000,25,2,18,8,11,27,2,0,9,3,0.000,18.000,11.000,4.000,0.000,2.000
1344,4,1.147,39,1,16,12,31,45,3,4,10,2,1.000,34.000,7.000,3.000,6.000,3.705
1345,4,2.502,38,2,27,8,17,45,6,8,6,3,2.000,23.000,14.000,6.000,2.000,12.000
1346,3,2.631,50,8,41,2,20,48,4,7,27,2,0.000,25.000,13.000,5.000,0.000,6.000
1347,7,8.000,22,12,32,7,23,38,2,5,2,4,0.000,21.000,10.000,1.000,3.000,2.000
1348,2,0.000,10,1,1,3,6,17,0,0,3,0,1.000,2.000,4.000,2.000,3.000,3.000
1349,6,1.000,30,2,29,12,17,35,3,4,5,3,1.494,17.556,6.782,3.666,2.983,5.021
1350,6,9.000,57,5,54,13,38,79,10,11,25,6,0.000,38.000,20.000,7.000,0.000,6.000
1351,3,1.000,19,1,12,9,25,29,3,1,10,2,1.000,15.000,5.000,8.000,4.000,3.000
1352,2,2.894,59,8,35,15,32,57,3,4,17,1,1.000,41.000,14.000,6.000,2.000,11.000
1353,0,0.000,4,1,5,2,7,9,3,3,1,1,0.000,8.000,4.000,0.000,0.000,2.000
1354,3,0.000,15,1,11,3,5,22,0,4,4,1,1.000,10.000,0.000,0.000,1.000,1.000
1355,1,1.505,20,2,20,3,9,31,3,6,6,3,0.000,18.000,7.000,0.000,2.000,3.674
1356,2,2.967,31,0,36,2,21,67,4,12,7,5,2.000,26.000,10.000,0.000,0.000,8.000
1357,8,0.000,15,2,51,10,10,53,1,22,13,4,1.000,29.000,6.000,2.000,0.000,11.000
1358,2,0.000,5,0,9,4,8,13,0,3,1,0,-0.818,8.074,2.217,1.239,0.460,1.450
1359,3,1.000,18,4,28,7,9,34,1,4,11,6,2.000,9.000,1.000,4.000,4.000,0.000
1360,3,0.000,18,1,11,4,6,20,0,0,5,4,0.000,21.000,2.000,2.000,1.000,12.000
1361,3,1.410,20,6,36,11,13,37,3,7,2,6,0.000,15.000,3.000,8.000,2.000,1.224
1362,4,1.000,22,2,13,9,10,29,0,2,8,2,0.000,20.000,3.000,2.000,1.000,5.000
1363,11,3.000,40,6,57,13,38,54,2,15,13,7,0.000,47.000,8.000,7.000,2.000,1.000
1364,7,3.000,75,2,43,11,65,68,6,8,20,3,6.111,43.509,25.181,8.694,7.146,15.745
1365,3,1.827,8,4,8,4,13,20,3,0,5,1,1.000,12.000,8.000,1.000,2.000,2.000
1366,12,0.000,30,4,63,3,14,56,3,19,12,7,0.000,20.000,13.000,1.000,1.000,7.000
1367,3,0.000,17,2,17,4,12,32,2,4,4,5,-0.241,15.359,4.842,2.031,0.086,4.260
1368,4,2.000,9,1,10,3,5,13,1,7,2,2,0.276,10.641,3.221,1.306,-0.218,2.137
1369,0,1.223,14,2,10,1,5,18,3,6,3,2,1.000,4.000,2.000,1.000,0.000,2.181
1370,12,1.925,26,1,36,1,13,51,0,6,8,5,0.000,14.000,12.000,4.000,0.000,5.000
1371,2,0.000,6,1,7,3,7,15,0,0,6,0,0.000,9.000,3.000,1.000,2.000,4.000
1372,3,2.000,18,0,19,4,13,21,5,3,9,2,0.000,15.000,3.000,3.000,3.000,2.000
1373,2,0.192,16,3,12,4,13,39,2,1,2,5,0.000,16.000,4.000,3.000,0.000,4.151
1374,8,7.000,27,5,45,14,23,62,1,9,6,7,0.992,23.717,8.718,4.354,2.822,5.332
1375,12,0.000,43,6,55,10,20,64,1,13,15,6,2.000,18.000,12.000,3.000,4.000,0.000
1376,1,2.000,16,1,6,7,14,19,1,0,3,0,0.000,11.000,11.000,0.000,2.000,1.000
1377,5,1.000,12,2,16,2,12,21,2,6,2,1,0.000,16.000,1.000,1.000,0.000,0.000
1378,1,0.000,19,1,19,2,10,25,0,10,1,0,0.000,13.000,3.000,1.000,0.000,1.000
1379,4,1.000,24,2,16,4,12,36,0,1,5,2,0.000,12.000,7.000,4.000,0.000,1.000
1380,0,0.000,4,0,2,0,7,7,2,2,2,0,0.000,8.000,1.000,4.000,0.000,8.000
1381,4,1.000,37,2,17,6,30,53,11,4,9,5,2.984,28.358,13.424,4.033,4.922,9.362
1382,8,3.976,74,6,78,14,36,91,2,26,27,4,2.000,22.000,25.000,10.000,5.000,12.000
1383,5,0.000,19,2,20,2,16,44,1,9,7,9,0.000,18.000,9.000,1.000,0.000,1.000
1384,4,2.968,23,2,9,7,23,43,2,1,1,3,1.000,20.000,13.000,5.000,4.000,8.000
1385,3,3.677,36,3,46,2,34,62,4,16,17,2,2.000,44.000,7.000,1.000,0.000,9.054
1386,1,3.336,27,1,25,2,8,32,0,3,8,2,0.000,8.000,7.000,2.000,0.000,3.000
