期間,年齢,収入,教育,雇用,設備,コールカード,ワイヤレス,長距離月,通話料月,設備月,カード月,ワイヤレス月,長距離計,通話料計,カード計,ボイス,ポケベル,インターネット,キャッチ,スリーホン,電子請求,log長距離,log無料通話,ln収入,顧客,解約
65,58,167.000,2,14,0,1,0,24.300,0.000,0.000,17.250,0.000,1642.350,0.000,1110.000,0,0,0,0,0,0,3.190,3.240,5.118,2,0
7,24,29.000,2,3,0,0,0,4.450,13.500,0.000,0.000,0.000,43.700,109.500,0.000,0,1,1,0,1,0,1.493,2.603,3.367,1,1
64,55,104.000,1,26,0,1,0,15.000,0.000,0.000,39.250,0.000,960.950,0.000,2360.000,0,0,0,0,1,0,2.708,3.240,4.644,3,0
42,22,46.000,4,0,1,1,1,9.350,20.250,51.350,6.000,36.000,311.850,850.650,270.000,1,1,1,1,0,0,2.235,3.008,3.829,4,1
33,26,46.000,4,1,1,1,1,11.000,17.500,40.900,6.000,32.050,350.050,593.100,185.000,0,1,1,1,1,1,2.398,2.862,3.829,4,0
3,33,51.000,4,0,1,0,0,2.900,0.000,19.900,0.000,0.000,12.050,0.000,0.000,0,0,0,0,0,0,1.065,3.240,3.932,1,1
69,42,65.000,2,18,1,1,1,14.200,30.500,64.200,31.500,66.550,1007.500,2082.750,2125.000,1,1,1,1,1,1,2.653,3.418,4.174,4,0
9,33,48.000,2,13,0,1,0,3.150,13.250,0.000,30.500,0.000,39.750,110.050,275.000,0,0,0,1,0,0,1.147,2.584,3.871,1,0
22,34,46.000,3,1,1,0,0,7.100,0.000,23.400,0.000,0.000,125.050,0.000,0.000,0,0,1,0,0,0,1.960,3.240,3.829,2,0
53,63,43.000,2,18,1,1,0,14.850,0.000,37.000,11.000,0.000,808.950,0.000,535.000,0,0,1,0,0,1,2.698,3.240,3.761,2,0
71,53,110.000,1,34,0,1,0,17.450,0.000,0.000,14.750,0.000,1249.800,0.000,1100.000,0,0,0,0,0,0,2.859,3.240,4.700,2,0
24,26,32.000,3,2,0,0,0,4.250,0.000,0.000,0.000,0.000,97.350,0.000,0.000,0,0,0,0,0,1,1.447,3.240,3.466,1,0
12,22,18.000,3,0,0,0,0,4.650,0.000,0.000,0.000,0.000,57.700,0.000,0.000,0,0,1,0,0,1,1.537,3.240,2.890,1,0
25,39,26.000,4,0,1,1,1,14.450,0.000,35.950,23.000,24.750,349.900,0.000,515.000,1,1,1,0,0,1,2.671,3.240,3.258,2,1
63,28,34.000,2,10,0,1,1,15.000,40.000,0.000,17.500,45.100,934.050,2465.400,1120.000,1,0,0,1,1,0,2.708,3.689,3.526,3,0
33,54,57.000,4,4,1,0,0,7.500,30.250,33.900,0.000,0.000,226.250,1105.750,0.000,0,0,1,1,0,0,2.015,3.409,4.043,3,1
57,54,21.000,2,0,0,1,0,10.600,0.000,0.000,17.000,0.000,565.550,0.000,930.000,0,0,0,0,0,0,2.361,3.240,3.045,1,0
13,33,38.000,3,10,1,1,1,5.050,18.500,40.800,12.500,28.850,48.600,199.500,155.000,1,1,1,1,1,1,1.619,2.918,3.638,4,0
13,21,19.000,3,0,1,1,0,7.900,0.000,25.200,5.000,0.000,98.350,0.000,40.000,0,0,1,0,0,0,2.067,3.240,2.944,2,1
71,39,40.000,3,17,0,1,0,36.250,27.750,0.000,38.500,0.000,2553.700,1916.250,2620.000,1,0,0,1,1,0,3.590,3.323,3.689,3,0
18,69,58.000,3,8,1,1,1,6.350,27.250,53.950,11.750,63.000,118.050,454.050,175.000,1,1,1,1,1,1,1.848,3.305,4.060,4,0
17,51,95.000,2,15,0,0,0,7.450,0.000,0.000,0.000,0.000,132.900,0.000,0.000,0,0,0,0,0,0,2.008,3.240,4.554,1,1
22,43,114.000,2,19,1,0,0,9.250,0.000,22.700,0.000,0.000,202.800,0.000,0.000,0,0,0,0,0,0,2.225,3.240,4.736,1,0
65,65,128.000,3,24,0,1,0,21.200,24.000,0.000,14.500,0.000,1325.050,1483.550,940.000,0,0,0,1,1,0,3.054,3.178,4.852,3,0
7,40,33.000,4,2,0,0,0,2.800,0.000,0.000,0.000,0.000,16.850,0.000,0.000,0,0,1,0,0,1,1.030,3.240,3.497,1,0
72,66,460.000,4,41,1,1,0,89.400,0.000,46.550,18.750,0.000,6353.900,0.000,1245.000,1,1,1,0,1,0,4.493,3.240,6.131,4,0
35,43,224.000,3,17,0,1,0,7.700,0.000,0.000,9.500,0.000,271.550,0.000,330.000,0,0,0,0,0,0,2.041,3.240,5.412,1,0
24,39,122.000,4,12,0,1,1,4.450,26.250,0.000,9.750,35.900,98.350,625.950,210.000,0,1,1,1,1,0,1.493,3.268,4.804,4,0
64,24,23.000,3,1,1,0,0,7.000,0.000,35.550,0.000,0.000,394.600,0.000,0.000,0,0,1,1,1,0,1.946,3.240,3.135,2,0
63,63,191.000,3,27,0,1,0,12.700,0.000,0.000,7.000,0.000,782.450,0.000,435.000,0,0,0,0,0,0,2.542,3.240,5.252,2,0
38,31,187.000,4,6,0,1,1,12.650,21.250,0.000,34.000,47.850,448.750,834.000,1165.000,1,1,0,1,1,0,2.538,3.056,5.231,4,1
29,37,119.000,3,12,0,0,0,4.600,0.000,0.000,0.000,0.000,138.700,0.000,0.000,0,0,0,0,0,0,1.526,3.240,4.779,1,0
72,69,44.000,2,44,0,1,0,99.950,0.000,0.000,12.500,0.000,7257.600,0.000,875.000,0,0,0,1,1,0,4.605,3.240,3.784,3,0
10,27,15.000,3,2,1,1,1,7.500,12.750,48.650,7.500,39.500,66.450,154.900,60.000,1,1,1,1,1,1,2.015,2.546,2.708,4,1
72,64,674.000,4,37,0,1,1,49.600,32.750,0.000,48.750,60.150,3535.800,2378.150,3465.000,1,0,0,1,1,0,3.904,3.489,6.513,3,0
52,23,33.000,4,0,0,1,0,13.100,18.250,0.000,18.750,0.000,757.800,945.150,920.000,0,0,0,1,1,0,2.573,2.904,3.497,3,0
13,55,250.000,2,35,0,0,0,4.100,0.000,0.000,0.000,0.000,50.100,0.000,0.000,0,0,0,0,0,0,1.411,3.240,5.521,1,0
3,33,64.000,4,0,1,0,0,2.150,0.000,20.750,0.000,0.000,6.000,0.000,0.000,0,0,0,0,0,1,0.765,3.240,4.159,1,1
39,24,26.000,2,4,0,1,0,10.400,0.000,0.000,12.500,0.000,403.500,0.000,480.000,0,0,0,0,0,1,2.342,3.240,3.258,1,1
28,29,23.000,3,5,0,0,0,3.700,0.000,0.000,0.000,0.000,91.950,0.000,0.000,0,0,1,0,1,1,1.308,3.240,3.135,2,0
46,42,52.000,4,7,0,1,0,14.250,0.000,0.000,21.000,0.000,611.650,0.000,985.000,0,0,0,0,0,0,2.657,3.240,3.951,2,0
62,46,200.000,3,9,0,1,0,26.250,0.000,0.000,74.000,0.000,1625.350,0.000,4590.000,0,0,0,0,0,0,3.268,3.240,5.298,1,0
23,33,28.000,1,4,0,1,0,6.900,0.000,0.000,14.000,0.000,177.400,0.000,340.000,0,0,0,1,0,0,1.932,3.240,3.332,3,0
23,25,19.000,5,0,1,0,0,6.950,25.000,36.700,0.000,0.000,157.100,562.200,0.000,1,0,1,1,0,1,1.939,3.219,2.944,4,1
72,61,76.000,3,21,1,1,1,54.800,67.250,51.350,69.500,55.500,3983.600,4905.850,4975.000,1,1,1,1,1,0,4.004,4.208,4.331,4,0
56,60,70.000,2,20,1,0,1,7.750,0.000,29.300,0.000,26.150,397.150,0.000,0.000,0,0,0,0,0,1,2.048,3.240,4.248,1,0
8,30,34.000,2,9,0,1,0,4.250,0.000,0.000,13.250,0.000,28.650,0.000,75.000,0,0,0,0,1,0,1.447,3.240,3.526,3,0
3,36,34.000,5,3,1,0,0,2.700,13.000,24.000,0.000,0.000,7.000,35.650,0.000,1,1,0,0,0,1,0.993,2.565,3.526,4,0
37,37,172.000,3,13,0,0,0,6.850,0.000,0.000,0.000,0.000,258.500,0.000,0.000,0,0,0,0,0,1,1.924,3.240,5.147,1,0
37,53,48.000,1,10,0,1,0,12.550,23.500,0.000,10.250,0.000,439.550,876.050,350.000,0,0,0,1,1,0,2.530,3.157,3.871,3,0
6,30,45.000,2,2,0,0,0,1.350,0.000,0.000,0.000,0.000,9.950,0.000,0.000,0,0,0,0,0,0,0.300,3.240,3.807,1,1
48,47,72.000,3,13,0,1,1,15.300,28.500,0.000,16.000,32.550,732.350,1352.100,790.000,1,1,0,1,1,0,2.728,3.350,4.277,4,1
43,43,55.000,4,18,1,1,1,9.100,40.750,48.400,16.000,50.600,422.700,1802.500,675.000,1,1,1,1,1,0,2.208,3.707,4.007,4,0
21,29,40.000,4,2,1,1,1,4.500,17.000,36.200,19.250,33.400,89.100,386.800,395.000,0,0,1,1,0,0,1.504,2.833,3.689,1,0
6,33,26.000,3,0,0,1,1,6.100,18.750,0.000,24.250,22.800,35.100,131.100,125.000,1,0,1,1,1,0,1.808,2.931,3.258,3,1
69,51,96.000,1,33,0,1,0,33.950,87.000,0.000,33.500,0.000,2338.800,5916.000,2180.000,0,0,0,1,1,0,3.525,4.466,4.564,3,0
22,33,54.000,1,10,0,1,0,11.050,22.250,0.000,18.750,0.000,246.700,504.400,370.000,0,0,0,1,1,0,2.402,3.102,3.989,3,0
28,40,47.000,2,9,0,1,0,8.100,29.500,0.000,28.500,0.000,224.250,774.750,730.000,0,0,0,1,1,0,2.092,3.384,3.850,3,0
71,47,142.000,1,30,0,1,0,32.200,0.000,0.000,82.250,0.000,2237.350,0.000,5520.000,0,0,0,0,0,0,3.472,3.240,4.956,2,0
7,37,57.000,4,1,0,0,0,3.800,0.000,0.000,0.000,0.000,23.900,0.000,0.000,0,0,0,0,1,0,1.335,3.240,4.043,1,0
63,29,20.000,3,7,1,1,1,13.300,31.000,62.350,10.000,96.250,867.900,1944.450,640.000,1,1,1,1,1,1,2.588,3.434,2.996,4,0
53,57,37.000,1,7,0,1,0,7.700,0.000,0.000,9.250,0.000,363.950,0.000,465.000,0,0,0,0,0,0,2.041,3.240,3.611,2,0
50,52,36.000,4,16,0,1,1,11.950,55.000,0.000,48.000,85.850,616.250,2662.100,2330.000,1,1,0,1,1,1,2.481,4.007,3.584,4,0
39,31,24.000,4,2,1,1,0,13.900,0.000,33.300,16.500,0.000,505.550,0.000,600.000,0,1,0,1,1,1,2.632,3.240,3.178,4,0
16,19,21.000,2,0,0,0,0,5.250,0.000,0.000,0.000,0.000,70.250,0.000,0.000,0,0,0,1,0,0,1.658,3.240,3.045,1,0
43,51,186.000,3,25,0,1,1,18.900,59.750,0.000,20.250,59.150,856.300,2522.950,885.000,1,1,0,1,1,0,2.939,4.090,5.226,4,0
44,31,30.000,1,7,0,1,0,8.000,0.000,0.000,13.000,0.000,317.900,0.000,530.000,0,0,0,0,0,0,2.079,3.240,3.401,1,0
72,66,96.000,2,16,0,1,1,35.150,34.750,0.000,21.500,50.700,2537.650,2557.750,1440.000,1,0,0,1,1,1,3.560,3.548,4.564,4,0
61,76,15.000,1,29,0,1,0,18.600,52.750,0.000,24.000,0.000,1168.450,3257.700,1415.000,0,1,0,1,1,0,2.923,3.966,2.708,3,0
43,21,25.000,1,4,0,0,0,7.600,0.000,0.000,0.000,0.000,334.450,0.000,0.000,0,0,1,0,1,0,2.028,3.240,3.219,2,1
24,39,49.000,3,7,1,0,0,7.450,0.000,30.900,0.000,0.000,177.200,0.000,0.000,0,0,1,0,0,0,2.008,3.240,3.892,1,0
64,45,38.000,2,7,0,1,0,13.750,22.750,0.000,10.250,0.000,918.000,1447.400,610.000,1,0,0,0,1,0,2.621,3.125,3.638,3,1
64,38,29.000,2,2,0,1,0,17.500,15.500,0.000,16.750,0.000,1114.450,1141.550,1010.000,0,0,0,0,0,0,2.862,2.741,3.367,2,0
24,26,55.000,2,7,0,0,0,7.600,0.000,0.000,0.000,0.000,175.800,0.000,0.000,0,0,0,1,0,0,2.028,3.240,4.007,1,0
33,55,64.000,3,10,0,1,0,5.150,14.500,0.000,24.750,0.000,163.050,494.550,775.000,0,0,0,0,1,0,1.639,2.674,4.159,1,0
33,33,42.000,4,7,1,1,1,8.800,0.000,30.950,23.000,23.350,305.750,0.000,730.000,1,0,0,0,0,0,2.175,3.240,3.738,2,0
2,40,134.000,4,2,1,0,0,3.900,0.000,23.800,0.000,0.000,4.600,0.000,0.000,0,0,1,0,0,1,1.361,3.240,4.898,1,0
42,48,82.000,1,21,0,1,0,9.300,25.000,0.000,17.000,0.000,459.000,1006.900,750.000,0,0,1,1,0,1,2.230,3.219,4.407,4,0
52,54,153.000,5,10,1,0,1,11.050,0.000,36.300,0.000,30.150,555.850,0.000,0.000,1,0,1,0,0,1,2.402,3.240,5.030,2,1
45,66,144.000,2,13,0,1,0,7.750,0.000,0.000,13.000,0.000,338.800,0.000,565.000,0,0,1,0,0,0,2.048,3.240,4.970,2,0
3,25,22.000,4,0,1,1,0,2.850,0.000,28.250,19.500,0.000,7.500,0.000,30.000,1,0,1,1,1,1,1.047,3.240,3.091,4,1
37,53,35.000,1,16,0,0,0,21.300,0.000,0.000,0.000,0.000,788.250,0.000,0.000,0,0,0,1,0,0,3.059,3.240,3.555,3,0
28,57,82.000,4,22,1,0,0,4.050,0.000,31.450,0.000,0.000,71.500,0.000,0.000,1,0,1,0,0,1,1.399,3.240,4.407,2,1
40,63,61.000,1,22,0,1,0,10.900,0.000,0.000,41.000,0.000,470.900,0.000,1635.000,0,0,0,0,0,0,2.389,3.240,4.111,1,0
37,33,102.000,2,12,1,1,1,16.300,0.000,33.350,10.250,37.900,646.700,0.000,360.000,0,1,1,1,0,1,2.791,3.240,4.625,4,0
7,27,31.000,3,4,1,0,1,4.150,15.000,46.050,0.000,41.850,30.800,96.600,0.000,1,1,1,1,0,1,1.423,2.708,3.434,4,1
71,56,170.000,1,30,0,1,0,14.200,27.000,0.000,30.000,0.000,1001.200,1840.650,2140.000,1,1,0,1,1,0,2.653,3.296,5.136,4,0
19,46,26.000,2,0,0,1,0,6.050,0.000,0.000,5.000,0.000,121.700,0.000,90.000,0,0,1,1,1,1,1.800,3.240,3.258,1,0
61,40,85.000,3,15,0,1,0,13.650,29.250,0.000,22.750,0.000,831.150,1823.600,1310.000,0,0,0,1,1,1,2.614,3.376,4.443,3,0
70,53,183.000,2,35,0,1,0,32.900,0.000,0.000,15.000,0.000,2234.900,0.000,1085.000,0,0,0,0,0,0,3.493,3.240,5.209,2,0
60,55,67.000,1,18,0,1,0,10.750,0.000,0.000,14.750,0.000,697.700,0.000,925.000,0,0,0,0,0,0,2.375,3.240,4.205,1,0
48,45,42.000,1,11,0,0,0,9.250,0.000,0.000,0.000,0.000,435.600,0.000,0.000,0,0,0,1,0,0,2.225,3.240,3.738,1,0
8,63,31.000,1,9,0,1,0,2.250,13.750,0.000,11.250,0.000,16.800,102.550,80.000,0,0,0,0,1,0,0.811,2.621,3.434,3,0
58,58,96.000,2,17,0,0,0,12.500,23.000,0.000,0.000,0.000,710.800,1345.950,0.000,0,0,0,1,1,0,2.526,3.135,4.564,3,0
16,24,24.000,3,2,0,1,0,9.400,0.000,0.000,14.750,0.000,124.200,0.000,215.000,0,0,0,1,0,0,2.241,3.240,3.178,3,0
33,33,53.000,2,14,0,0,0,5.050,0.000,0.000,0.000,0.000,145.850,0.000,0.000,0,0,0,0,0,0,1.619,3.240,3.970,1,0
39,25,18.000,1,0,0,0,0,6.750,0.000,0.000,0.000,0.000,242.700,0.000,0.000,0,0,0,1,1,0,1.910,3.240,2.890,3,0
62,51,43.000,4,19,1,1,1,27.150,0.000,42.700,17.000,41.150,1632.400,0.000,1015.000,0,1,1,0,0,1,3.301,3.240,3.761,2,0
50,34,104.000,3,9,1,1,1,27.500,21.750,52.100,20.250,47.900,1444.450,1219.550,960.000,1,1,1,1,1,1,3.314,3.080,4.644,4,0
48,55,26.000,1,1,0,0,0,12.150,0.000,0.000,0.000,0.000,606.100,0.000,0.000,0,0,0,0,0,0,2.497,3.240,3.258,1,0
31,62,56.000,2,26,0,1,0,4.300,22.250,0.000,13.750,0.000,123.500,744.450,435.000,1,0,0,1,1,0,1.459,3.102,4.025,3,0
65,33,49.000,2,6,0,1,0,42.900,17.250,0.000,17.500,0.000,2706.800,1094.100,1190.000,0,0,0,0,0,0,3.759,2.848,3.892,2,0
36,58,80.000,1,21,0,1,0,8.500,0.000,0.000,8.500,0.000,298.250,0.000,260.000,0,0,0,1,0,0,2.140,3.240,4.382,2,0
61,46,318.000,3,18,0,1,0,28.900,39.250,0.000,84.750,0.000,1796.700,2442.750,5115.000,1,0,0,1,1,0,3.364,3.670,5.762,3,0
48,42,35.000,4,5,0,0,0,12.900,0.000,0.000,0.000,0.000,589.350,0.000,0.000,0,0,0,1,0,0,2.557,3.240,3.555,3,0
35,45,29.000,1,6,0,0,0,8.400,0.000,0.000,0.000,0.000,300.350,0.000,0.000,0,0,0,0,0,0,2.128,3.240,3.367,1,0
51,28,43.000,5,1,1,1,1,11.150,35.000,77.700,20.000,80.350,623.000,1920.500,955.000,1,1,1,1,1,1,2.411,3.555,3.761,4,0
49,51,80.000,5,3,1,1,1,5.750,0.000,51.750,36.000,36.700,285.400,0.000,1810.000,1,1,1,1,1,1,1.749,3.240,4.382,4,1
35,39,30.000,3,2,0,0,0,6.850,27.750,0.000,0.000,0.000,224.850,929.950,0.000,0,1,0,0,1,0,1.924,3.323,3.401,3,1
58,70,9.000,3,24,1,1,1,23.300,0.000,48.350,29.750,35.150,1384.450,0.000,1730.000,0,0,1,0,1,0,3.148,3.240,2.197,2,0
23,35,23.000,2,1,0,0,0,6.700,0.000,0.000,0.000,0.000,153.900,0.000,0.000,0,0,0,0,1,0,1.902,3.240,3.135,3,0
26,39,58.000,4,9,0,1,1,8.650,21.250,0.000,6.500,19.650,210.600,567.550,145.000,0,0,1,0,1,0,2.158,3.056,4.060,3,0
38,37,52.000,1,20,0,1,1,12.200,41.500,0.000,18.750,54.400,532.550,1686.300,705.000,1,1,0,1,1,0,2.501,3.726,3.951,4,0
35,66,14.000,3,12,0,0,0,4.700,31.000,0.000,0.000,0.000,202.500,1135.000,0.000,0,0,0,1,1,0,1.548,3.434,2.639,3,0
37,50,110.000,2,21,0,1,0,9.650,28.500,0.000,11.250,0.000,364.050,992.400,375.000,0,0,0,1,1,0,2.267,3.350,4.700,3,0
48,43,60.000,2,12,1,1,0,15.500,19.250,29.600,31.500,0.000,719.700,905.150,1495.000,0,0,0,1,0,0,2.741,2.958,4.094,2,0
13,43,123.000,3,21,1,1,0,3.850,23.000,33.050,6.750,0.000,55.050,317.500,75.000,0,1,1,1,0,1,1.348,3.135,4.812,4,0
72,63,15.000,5,31,0,1,0,20.600,0.000,0.000,31.250,0.000,1547.450,0.000,2180.000,0,0,0,0,1,0,3.025,3.240,2.708,3,0
30,27,47.000,4,2,0,1,0,10.750,0.000,0.000,21.250,0.000,296.900,0.000,600.000,0,0,1,0,0,0,2.375,3.240,3.850,2,1
24,43,138.000,4,11,0,1,1,6.650,20.250,0.000,8.000,24.650,130.600,445.600,180.000,0,0,1,1,1,0,1.895,3.008,4.927,3,0
25,51,359.000,3,29,1,1,1,5.750,27.500,39.200,40.500,21.400,163.750,676.150,975.000,1,1,0,1,1,0,1.749,3.314,5.883,4,0
50,52,214.000,3,22,1,1,1,11.500,26.250,40.700,12.000,48.300,610.350,1287.700,530.000,1,0,1,1,1,1,2.442,3.268,5.366,4,0
28,40,64.000,1,19,0,0,0,6.000,27.500,0.000,0.000,0.000,167.650,722.500,0.000,0,0,0,0,1,0,1.792,3.314,4.159,3,0
34,51,50.000,4,14,0,1,0,16.150,0.000,0.000,15.750,0.000,531.350,0.000,480.000,1,0,0,0,0,1,2.782,3.240,3.912,1,0
48,32,88.000,3,9,0,1,1,6.150,33.750,0.000,29.750,44.750,307.650,1603.800,1390.000,1,1,1,1,1,0,1.816,3.519,4.477,4,0
42,36,86.000,2,15,1,0,0,9.800,0.000,30.600,0.000,0.000,436.450,0.000,0.000,0,0,0,0,0,0,2.282,3.240,4.454,2,0
67,65,17.000,1,29,0,1,0,21.700,26.250,0.000,12.000,0.000,1384.050,1721.250,785.000,0,0,0,0,0,0,3.077,3.268,2.833,3,0
17,41,25.000,2,17,1,0,0,6.450,0.000,29.000,0.000,0.000,114.300,0.000,0.000,0,0,1,1,0,1,1.864,3.240,3.219,3,0
29,38,46.000,2,6,1,0,0,8.350,0.000,22.950,0.000,0.000,248.600,0.000,0.000,0,0,0,0,0,1,2.122,3.240,3.829,2,0
66,61,361.000,1,40,0,1,0,12.750,0.000,0.000,38.500,0.000,782.000,0.000,2615.000,0,0,0,0,1,0,2.546,3.240,5.889,2,0
1,21,18.000,3,0,1,0,0,2.700,0.000,32.700,0.000,0.000,2.700,0.000,0.000,0,0,1,0,1,1,0.993,3.240,2.890,1,1
28,33,14.000,4,1,1,0,1,4.550,15.750,33.000,0.000,23.950,145.950,504.900,0.000,0,1,1,1,0,1,1.515,2.757,2.639,4,1
15,35,34.000,3,8,1,0,0,5.150,0.000,25.550,0.000,0.000,110.550,0.000,0.000,0,0,1,0,0,1,1.639,3.240,3.526,2,1
12,64,9.000,2,6,1,1,0,3.800,30.000,32.800,8.500,0.000,52.850,317.750,95.000,0,0,1,1,1,1,1.335,3.401,2.197,3,0
48,49,39.000,2,5,1,1,1,7.000,24.500,42.800,23.500,30.750,399.750,1229.600,1140.000,1,1,0,1,1,0,1.946,3.199,3.664,4,1
59,25,18.000,3,2,1,1,0,20.100,0.000,32.550,22.750,0.000,1251.400,0.000,1415.000,0,0,0,0,0,0,3.001,3.240,2.890,1,0
8,26,25.000,4,1,1,0,0,3.150,0.000,20.050,0.000,0.000,29.900,0.000,0.000,0,0,1,0,0,1,1.147,3.240,3.219,1,1
45,52,46.000,5,8,0,1,0,9.400,0.000,0.000,8.750,0.000,402.100,0.000,395.000,0,0,0,0,0,1,2.241,3.240,3.829,2,1
25,39,94.000,4,11,1,0,0,3.950,0.000,30.750,0.000,0.000,95.200,0.000,0.000,0,0,0,0,0,0,1.374,3.240,4.543,2,1
21,44,26.000,3,2,1,1,1,7.550,41.000,42.350,23.500,35.750,160.650,863.300,485.000,1,1,1,1,1,0,2.022,3.714,3.258,4,0
17,68,335.000,1,35,0,1,1,3.550,18.750,0.000,29.250,27.900,70.250,285.900,525.000,1,1,0,1,1,0,1.267,2.931,5.814,4,0
41,45,25.000,3,6,1,1,1,7.800,0.000,42.400,14.000,23.200,370.800,0.000,535.000,0,0,1,0,1,1,2.054,3.240,3.219,1,1
13,45,99.000,3,8,0,1,0,8.700,0.000,0.000,23.750,0.000,103.400,0.000,240.000,1,0,1,0,0,0,2.163,3.240,4.595,3,1
1,26,30.000,2,7,1,0,0,1.050,0.000,15.400,0.000,0.000,1.050,0.000,0.000,0,0,0,0,0,1,0.049,3.240,3.401,1,1
3,31,35.000,2,2,1,0,1,4.350,12.750,34.050,0.000,21.500,11.000,30.200,0.000,1,1,1,0,0,1,1.470,2.546,3.555,4,1
23,27,51.000,5,1,1,0,0,3.900,0.000,24.150,0.000,0.000,94.950,0.000,0.000,1,0,0,0,0,0,1.361,3.240,3.932,1,1
26,42,49.000,3,13,1,1,1,3.500,25.000,43.650,24.500,27.700,82.300,638.100,625.000,1,1,1,1,1,1,1.253,3.219,3.892,4,1
37,51,54.000,1,15,0,1,0,9.550,16.500,0.000,8.250,0.000,323.650,614.150,225.000,0,0,0,1,1,0,2.257,2.803,3.989,3,0
5,30,46.000,4,7,1,0,0,4.300,0.000,32.100,0.000,0.000,17.550,0.000,0.000,0,0,1,0,0,1,1.459,3.240,3.829,2,1
32,27,91.000,4,1,1,1,1,5.500,16.000,42.650,3.750,41.300,189.050,543.150,100.000,1,1,1,0,1,1,1.705,2.773,4.511,4,1
12,22,23.000,4,0,0,0,0,4.050,0.000,0.000,0.000,0.000,33.750,0.000,0.000,0,0,0,0,0,0,1.399,3.240,3.135,1,0
72,54,345.000,1,32,0,1,0,75.450,0.000,0.000,18.250,0.000,5464.600,0.000,1305.000,0,0,0,1,1,0,4.323,3.240,5.844,3,0
3,25,45.000,4,0,1,0,0,3.000,15.750,31.150,0.000,0.000,9.150,53.050,0.000,0,0,1,0,0,1,1.099,2.757,3.807,1,1
54,43,53.000,2,12,0,1,0,14.350,32.250,0.000,16.750,0.000,775.900,1749.400,845.000,0,0,0,1,1,0,2.664,3.474,3.970,3,0
26,26,14.000,2,6,1,0,1,7.800,36.500,38.700,0.000,27.900,204.250,884.200,0.000,0,1,1,0,1,1,2.054,3.597,2.639,4,1
14,36,67.000,5,4,1,0,0,14.050,0.000,25.100,0.000,0.000,187.400,0.000,0.000,0,0,1,1,0,0,2.643,3.240,4.205,1,0
22,51,49.000,3,1,1,1,0,9.000,0.000,30.450,17.500,0.000,150.700,0.000,370.000,0,1,0,0,0,1,2.197,3.240,3.892,1,0
65,47,37.000,1,15,0,1,0,19.050,0.000,0.000,14.000,0.000,1174.600,0.000,900.000,0,0,0,0,0,0,2.947,3.240,3.611,1,0
26,45,33.000,1,9,0,1,0,9.600,24.250,0.000,11.250,0.000,285.350,563.500,295.000,0,0,0,0,1,0,2.262,3.188,3.497,1,0
20,37,46.000,3,10,1,1,1,4.900,0.000,44.600,6.250,41.350,91.550,0.000,90.000,1,1,1,0,1,1,1.589,3.240,3.829,4,0
67,60,93.000,1,21,1,1,0,18.850,0.000,32.000,42.750,0.000,1200.700,0.000,2665.000,0,0,0,0,0,1,2.937,3.240,4.533,2,0
34,55,48.000,2,11,0,0,0,4.250,0.000,0.000,0.000,0.000,143.350,0.000,0.000,0,0,0,0,0,0,1.447,3.240,3.871,1,0
37,54,183.000,2,22,0,1,0,7.300,20.500,0.000,7.500,0.000,257.600,769.400,260.000,0,0,0,1,1,0,1.988,3.020,5.209,3,0
22,23,16.000,1,5,0,1,0,5.400,0.000,0.000,8.500,0.000,120.400,0.000,205.000,0,0,0,0,0,0,1.686,3.240,2.773,1,0
5,69,11.000,2,14,0,1,0,6.650,9.750,0.000,8.000,0.000,35.200,44.800,30.000,0,0,0,0,0,0,1.895,2.277,2.398,1,0
28,31,42.000,4,5,0,0,0,12.250,23.750,0.000,0.000,0.000,373.800,674.500,0.000,0,0,0,0,1,0,2.506,3.168,3.738,3,0
20,41,67.000,4,14,0,0,0,7.250,0.000,0.000,0.000,0.000,149.100,0.000,0.000,0,0,0,0,0,0,1.981,3.240,4.205,1,0
72,41,181.000,4,12,1,1,1,27.300,23.250,69.400,7.750,52.400,1963.950,1645.800,520.000,1,1,1,1,1,1,3.307,3.146,5.198,4,0
30,43,53.000,4,6,1,0,0,7.000,0.000,26.800,0.000,0.000,232.900,0.000,0.000,0,0,1,0,1,1,1.946,3.240,3.970,1,0
71,52,172.000,2,32,1,1,1,49.250,41.500,50.900,27.250,68.100,3599.300,3015.600,1850.000,1,1,1,1,1,0,3.897,3.726,5.147,4,0
56,44,87.000,2,19,0,1,0,14.750,42.250,0.000,16.250,0.000,822.250,2396.650,830.000,0,0,0,1,1,0,2.691,3.744,4.466,3,0
8,29,21.000,5,0,1,0,0,4.150,0.000,24.300,0.000,0.000,39.700,0.000,0.000,0,0,0,0,0,0,1.423,3.240,3.045,1,1
32,65,9.000,2,30,0,0,0,6.250,0.000,0.000,0.000,0.000,201.350,0.000,0.000,0,0,1,0,0,1,1.833,3.240,2.197,2,0
46,47,144.000,3,22,0,0,0,3.500,28.250,0.000,0.000,0.000,179.950,1284.550,0.000,0,0,0,1,1,0,1.253,3.341,4.970,3,1
60,45,117.000,4,11,1,1,1,12.400,28.000,51.700,19.500,52.900,755.700,1721.250,1135.000,1,1,1,1,1,1,2.518,3.332,4.762,4,0
42,32,59.000,4,4,1,1,1,16.700,38.250,53.450,22.750,72.600,681.500,1676.200,880.000,1,1,1,1,1,0,2.815,3.644,4.078,4,0
