ID,温度,圧力,電流,電圧,外気温,速度,砂条件,鋳型条件,スイッチ1,スイッチ2,スイッチ3,スイッチ4,判定
380,665,42,3,277,5,5,"B","B","ON","ON","OFF","OFF","OK"
381,412,30,0,171,0,3,"B","B","ON","ON","ON","ON","NG"
382,413,25,25,0,3,1,"C","B","OFF","ON","OFF","OFF","OK"
383,409,23,23,170,6,3,"B","B","ON","ON","OFF","ON","OK"
384,396,44,2,165,0,13,"B","C","ON","ON","OFF","ON","OK"
385,237,22,2,98,1,2,"A","A","ON","OFF","OFF","ON","OK"
386,479,47,5,446,3,8,"C","B","OFF","ON","OFF","OFF","OK"
387,413,25,25,0,3,1,"C","B","OFF","ON","OFF","OFF","OK"
388,166,19,1,0,7,0,"A","A","ON","OFF","ON","ON","NG"
389,888,48,3,1120,5,12,"B","D","ON","ON","OFF","ON","OK"
390,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
391,593,44,5,247,4,8,"B","C","ON","ON","OFF","ON","OK"
392,360,26,3,0,10,7,"B","B","ON","ON","OFF","ON","OK"
393,538,20,0,224,24,0,"A","B","ON","OFF","ON","ON","NG"
394,461,20,3,192,5,1,"C","B","OFF","ON","OFF","ON","OK"
395,443,29,4,184,12,3,"A","B","ON","OFF","OFF","ON","OK"
396,405,33,3,1121,7,4,"B","B","ON","ON","OFF","ON","OK"
397,650,38,38,0,5,6,"A","C","ON","OFF","OFF","ON","OK"
398,384,53,3,160,13,9,"B","B","ON","ON","OFF","ON","OK"
399,222,18,3,543,11,2,"B","A","ON","ON","OFF","ON","OK"
400,633,36,3,0,8,3,"B","C","ON","ON","OFF","ON","OK"
401,600,50,2,250,8,9,"B","B","ON","ON","OFF","ON","OK"
402,292,29,1,121,18,5,"A","B","ON","OFF","OFF","ON","OK"
403,421,21,4,703,1,0,"A","C","ON","OFF","OFF","ON","OK"
404,447,33,4,0,3,10,"C","B","OFF","ON","OFF","OFF","OK"
405,371,36,36,262,9,4,"C","B","OFF","ON","OFF","ON","OK"
406,296,33,8,643,8,7,"B","B","ON","ON","OFF","ON","OK"
407,650,38,38,0,5,6,"A","C","ON","OFF","OFF","ON","OK"
408,195,22,1,81,3,0,"A","A","ON","OFF","OFF","ON","NG"
409,195,22,1,81,3,0,"A","A","ON","OFF","OFF","ON","NG"
410,284,18,2,118,1,0,"C","A","OFF","ON","OFF","ON","OK"
411,329,23,8,308,0,3,"B","B","ON","ON","OFF","ON","OK"
412,401,30,1,257,9,2,"B","B","ON","ON","OFF","ON","OK"
413,211,28,25,0,3,2,"A","A","ON","OFF","OFF","OFF","NG"
414,455,35,1,614,2,8,"B","C","ON","ON","OFF","ON","OK"
415,679,37,8,262,22,7,"B","C","ON","ON","OFF","OFF","OK"
416,296,28,3,461,5,6,"A","B","ON","OFF","OFF","ON","OK"
417,553,35,0,230,2,6,"B","B","ON","ON","ON","OFF","NG"
418,456,44,3,0,5,6,"B","C","ON","ON","OFF","ON","OK"
419,195,22,1,81,3,0,"A","A","ON","OFF","OFF","ON","NG"
420,359,35,8,0,11,9,"B","B","ON","ON","OFF","OFF","OK"
421,393,20,5,0,2,0,"A","B","ON","OFF","OFF","ON","OK"
422,467,41,1,194,4,5,"B","B","ON","ON","OFF","ON","OK"
423,523,44,2,1921,5,5,"B","C","ON","ON","OFF","ON","OK"
424,838,84,64,349,2,9,"B","C","ON","ON","OFF","ON","OK"
425,546,33,6,227,9,4,"B","B","ON","ON","OFF","OFF","OK"
426,292,29,1,121,18,5,"A","B","ON","OFF","OFF","ON","OK"
427,245,20,3,102,8,2,"A","A","ON","OFF","OFF","OFF","OK"
428,312,24,24,130,1,4,"B","B","ON","ON","OFF","ON","OK"
429,643,50,2,0,5,6,"B","C","ON","ON","OFF","ON","OK"
430,521,47,2,217,6,8,"B","C","ON","ON","OFF","ON","OK"
431,524,50,30,148,5,9,"B","B","ON","ON","OFF","ON","OK"
432,489,40,4,203,10,7,"B","C","ON","ON","OFF","ON","OK"
433,490,36,2,0,11,8,"B","B","ON","ON","OFF","OFF","OK"
434,340,20,3,141,4,0,"A","B","ON","OFF","OFF","ON","OK"
435,407,21,0,118,1,0,"A","B","ON","OFF","ON","ON","NG"
436,194,29,1,151,9,6,"B","A","ON","ON","OFF","ON","NG"
437,384,53,3,160,13,9,"B","B","ON","ON","OFF","ON","OK"
438,367,33,33,152,2,4,"B","B","ON","ON","OFF","OFF","OK"
439,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
440,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
441,442,24,5,0,5,2,"B","B","ON","ON","OFF","OFF","OK"
442,401,32,0,167,6,12,"B","B","ON","ON","ON","ON","NG"
443,378,29,2,587,4,4,"B","B","ON","ON","OFF","ON","OK"
444,465,25,0,193,4,5,"B","B","ON","ON","ON","ON","NG"
445,351,22,22,463,4,2,"A","B","ON","OFF","OFF","OFF","OK"
446,518,44,2,215,12,16,"B","C","ON","ON","OFF","ON","OK"
447,362,38,2,150,2,5,"B","B","ON","ON","ON","ON","OK"
448,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF","OK"
449,650,38,38,270,7,6,"C","C","OFF","ON","OFF","OFF","OK"
450,337,33,3,0,3,11,"B","B","ON","ON","OFF","ON","OK"
451,485,35,7,202,10,10,"B","B","ON","ON","OFF","OFF","OK"
452,404,23,23,168,10,0,"B","B","ON","ON","OFF","ON","OK"
453,459,30,7,0,26,10,"B","B","ON","ON","OFF","OFF","OK"
454,513,46,26,213,5,6,"A","B","ON","OFF","OFF","OFF","OK"
455,452,25,2,188,3,4,"B","B","ON","ON","OFF","ON","OK"
456,411,20,3,0,0,2,"C","B","OFF","ON","OFF","ON","OK"
457,454,41,1,1118,7,5,"B","B","ON","ON","OFF","ON","OK"
458,479,47,5,446,3,8,"C","B","OFF","ON","OFF","OFF","OK"
459,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF","OK"
460,269,24,2,112,3,0,"A","A","ON","OFF","OFF","ON","OK"
461,568,20,9,236,7,0,"B","B","ON","ON","OFF","OFF","OK"
462,397,36,7,165,7,4,"B","B","ON","ON","OFF","OFF","OK"
463,429,43,6,178,12,9,"B","B","ON","ON","OFF","ON","NG"
464,568,20,9,236,7,0,"B","B","ON","ON","OFF","OFF","OK"
465,195,22,1,81,3,0,"A","A","ON","OFF","OFF","ON","NG"
466,269,21,3,112,12,0,"A","A","ON","OFF","OFF","ON","NG"
467,287,40,2,119,2,11,"B","A","ON","ON","OFF","ON","OK"
468,346,20,20,144,3,2,"A","B","ON","OFF","OFF","OFF","OK"
469,230,30,3,95,10,5,"B","A","ON","ON","ON","ON","NG"
470,387,19,3,299,1,1,"C","B","OFF","ON","OFF","ON","OK"
471,292,26,2,798,2,0,"B","B","ON","ON","OFF","ON","OK"
472,383,24,3,159,4,3,"B","B","ON","ON","OFF","ON","OK"
473,602,63,1,250,4,14,"B","B","ON","ON","OFF","ON","OK"
474,158,28,1,65,12,5,"B","A","ON","ON","OFF","ON","NG"
475,456,35,2,190,3,3,"B","B","ON","ON","OFF","ON","OK"
476,380,19,6,0,5,1,"C","B","OFF","ON","OFF","ON","OK"
477,423,20,5,176,19,0,"A","D","ON","OFF","OFF","ON","OK"
478,524,50,30,148,5,9,"B","B","ON","ON","OFF","ON","OK"
479,538,20,0,224,24,0,"A","B","ON","OFF","ON","ON","NG"
480,485,35,7,202,10,10,"B","B","ON","ON","OFF","OFF","OK"
481,437,34,3,182,1,5,"C","B","OFF","ON","OFF","OFF","OK"
482,541,26,1,1335,2,6,"A","B","ON","OFF","OFF","ON","OK"
483,412,31,2,171,1,7,"B","B","ON","ON","OFF","ON","OK"
484,338,21,6,348,4,0,"A","B","ON","OFF","OFF","OFF","OK"
485,521,32,1,217,6,8,"B","B","ON","ON","OFF","ON","OK"
486,375,37,37,329,10,11,"B","C","ON","ON","OFF","ON","OK"
487,277,21,2,115,6,3,"A","B","ON","OFF","OFF","ON","OK"
488,271,25,22,0,16,5,"A","A","ON","OFF","OFF","ON","NG"
489,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
490,194,29,1,151,9,6,"B","A","ON","ON","OFF","ON","NG"
491,888,48,3,1120,5,12,"B","D","ON","ON","OFF","ON","OK"
492,600,50,2,250,8,9,"B","B","ON","ON","OFF","ON","OK"
493,602,63,1,250,4,14,"B","B","ON","ON","OFF","ON","OK"
494,385,33,3,649,4,4,"B","B","ON","ON","OFF","ON","OK"
495,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF","NG"
496,341,23,3,142,3,2,"B","B","ON","ON","OFF","ON","OK"
497,423,20,5,176,19,0,"A","D","ON","OFF","OFF","ON","OK"
498,697,45,2,290,6,5,"B","C","ON","ON","OFF","ON","OK"
499,408,29,1,170,1,2,"C","A","OFF","ON","OFF","ON","OK"
500,397,34,3,165,4,11,"B","B","ON","ON","OFF","ON","OK"
501,549,29,6,228,6,11,"B","C","ON","ON","OFF","ON","OK"
502,271,25,22,0,16,5,"A","A","ON","OFF","OFF","ON","NG"
503,222,20,1,851,4,0,"A","A","ON","OFF","OFF","ON","NG"
504,399,19,5,166,12,0,"C","B","OFF","ON","OFF","OFF","OK"
505,402,31,31,167,10,6,"B","B","ON","ON","OFF","OFF","OK"
506,195,22,1,81,3,0,"A","A","ON","OFF","OFF","ON","NG"
507,510,42,0,212,1,5,"B","B","ON","ON","ON","ON","NG"
508,810,32,1,337,9,6,"B","C","ON","ON","OFF","ON","OK"
509,650,38,38,0,5,6,"A","C","ON","OFF","OFF","ON","OK"
510,485,35,7,202,10,10,"B","B","ON","ON","OFF","OFF","OK"
511,427,42,6,1341,1,12,"B","B","ON","ON","OFF","ON","OK"
512,483,22,3,701,10,2,"C","B","OFF","ON","OFF","ON","OK"
513,600,50,2,250,8,9,"B","B","ON","ON","OFF","ON","OK"
514,401,32,0,167,6,12,"B","B","ON","ON","ON","ON","NG"
515,467,32,32,194,7,5,"B","B","ON","ON","OFF","OFF","OK"
516,444,43,43,162,4,10,"A","B","ON","OFF","ON","OFF","OK"
517,660,36,7,275,12,11,"B","C","ON","ON","OFF","ON","OK"
518,413,28,3,172,3,6,"B","B","ON","ON","OFF","ON","OK"
519,405,34,4,168,14,9,"B","B","ON","ON","OFF","ON","OK"
520,317,45,3,0,5,7,"A","B","ON","OFF","OFF","ON","OK"
521,378,31,31,171,4,7,"B","B","ON","ON","OFF","ON","OK"
522,578,51,2,240,14,13,"B","B","ON","ON","OFF","ON","OK"
523,618,37,5,0,3,6,"C","B","OFF","ON","OFF","OFF","OK"
524,184,19,5,76,4,0,"A","A","ON","OFF","ON","ON","NG"
525,660,36,7,275,12,11,"B","C","ON","ON","OFF","ON","OK"
526,430,38,4,179,4,5,"C","A","OFF","ON","OFF","ON","OK"
527,138,22,19,0,7,3,"A","A","ON","OFF","OFF","OFF","NG"
528,256,25,22,106,14,4,"B","A","ON","ON","OFF","ON","NG"
529,403,27,4,167,4,3,"B","B","ON","ON","OFF","OFF","OK"
530,492,28,0,205,10,4,"A","B","ON","OFF","ON","OFF","NG"
531,274,32,1,0,11,13,"C","A","OFF","ON","OFF","ON","OK"
532,524,50,30,148,5,9,"B","B","ON","ON","OFF","ON","OK"
533,644,45,4,268,9,12,"B","B","ON","ON","OFF","ON","OK"
534,418,50,30,174,7,11,"B","B","ON","ON","OFF","ON","OK"
535,521,32,1,217,6,8,"B","B","ON","ON","OFF","ON","OK"
536,343,29,29,142,6,4,"C","B","OFF","ON","OFF","OFF","OK"
537,269,28,28,112,5,5,"B","B","ON","ON","OFF","OFF","OK"
538,443,28,4,184,3,9,"B","B","ON","ON","OFF","OFF","OK"
539,302,28,1,271,2,3,"B","A","ON","ON","OFF","ON","OK"
540,697,45,2,290,6,5,"B","C","ON","ON","OFF","ON","OK"
541,442,35,1,184,3,4,"B","B","ON","ON","OFF","ON","OK"
542,466,31,5,53,18,6,"B","B","ON","ON","OFF","ON","OK"
543,430,38,4,179,4,5,"C","A","OFF","ON","OFF","ON","OK"
544,485,39,4,202,6,4,"B","C","ON","ON","OFF","ON","OK"
545,424,28,2,176,24,2,"C","B","OFF","ON","OFF","ON","OK"
546,294,20,20,122,3,2,"A","A","ON","OFF","OFF","OFF","OK"
547,359,35,8,0,11,9,"B","B","ON","ON","OFF","OFF","OK"
548,554,29,2,0,4,4,"B","B","ON","ON","OFF","ON","OK"
549,475,24,0,0,1,1,"B","B","ON","ON","ON","OFF","NG"
550,235,19,2,1747,5,1,"A","B","ON","OFF","OFF","ON","OK"
551,380,33,5,0,9,8,"C","B","OFF","ON","OFF","ON","OK"
552,553,25,7,230,2,7,"B","B","ON","ON","OFF","OFF","OK"
553,329,23,8,308,0,3,"B","B","ON","ON","OFF","ON","OK"
554,191,27,2,79,6,3,"A","A","ON","OFF","OFF","ON","NG"
555,491,50,0,356,8,9,"B","B","ON","ON","ON","OFF","NG"
556,466,20,5,194,7,0,"C","B","OFF","ON","OFF","ON","OK"
557,412,31,2,171,1,7,"B","B","ON","ON","OFF","ON","OK"
558,245,20,3,102,8,2,"A","A","ON","OFF","OFF","OFF","OK"
559,465,25,0,193,4,5,"B","B","ON","ON","ON","ON","NG"
560,215,19,3,89,12,0,"C","A","OFF","ON","OFF","ON","NG"
561,528,21,3,418,8,2,"A","C","ON","OFF","OFF","OFF","OK"
562,269,21,3,112,12,0,"A","A","ON","OFF","OFF","ON","NG"
563,643,50,2,0,5,6,"B","C","ON","ON","OFF","ON","OK"
564,383,24,3,159,4,3,"B","B","ON","ON","OFF","ON","OK"
565,610,41,1,254,3,7,"B","C","ON","ON","OFF","ON","OK"
566,405,34,4,168,14,9,"B","B","ON","ON","OFF","ON","OK"
567,180,18,2,75,12,2,"A","A","ON","OFF","OFF","ON","NG"
568,467,32,32,194,7,5,"B","B","ON","ON","OFF","OFF","OK"
569,518,43,2,776,3,6,"B","B","ON","ON","OFF","OFF","OK"
570,397,36,3,610,6,14,"B","B","ON","ON","OFF","ON","OK"
571,749,55,1,0,0,8,"B","C","ON","ON","OFF","ON","OK"
572,568,35,7,371,10,7,"B","C","ON","ON","OFF","OFF","OK"
573,317,45,3,0,5,7,"A","B","ON","OFF","OFF","ON","OK"
574,211,28,1,0,7,3,"B","A","ON","ON","OFF","ON","NG"
575,429,27,1,178,9,6,"B","B","ON","ON","OFF","ON","OK"
576,264,24,24,0,7,6,"C","A","OFF","ON","OFF","OFF","OK"
577,384,53,3,160,13,9,"B","B","ON","ON","OFF","ON","OK"
578,789,68,4,328,10,11,"B","C","ON","ON","OFF","OFF","OK"
579,912,65,1,380,1,11,"B","D","ON","ON","OFF","ON","OK"
580,521,32,1,217,6,8,"B","B","ON","ON","OFF","ON","OK"
581,343,29,29,142,6,4,"C","B","OFF","ON","OFF","OFF","OK"
582,610,41,1,254,3,7,"B","C","ON","ON","OFF","ON","OK"
583,349,27,5,145,3,3,"B","B","ON","ON","OFF","OFF","OK"
584,403,23,0,0,10,4,"B","B","ON","ON","ON","ON","NG"
585,194,29,1,151,9,6,"B","A","ON","ON","OFF","ON","NG"
586,454,50,5,189,6,10,"B","C","ON","ON","OFF","ON","OK"
587,789,68,4,328,10,11,"B","C","ON","ON","OFF","OFF","OK"
588,337,24,2,450,14,0,"B","A","ON","ON","OFF","ON","OK"
589,405,34,4,168,14,9,"B","B","ON","ON","OFF","ON","OK"
590,888,48,3,1120,5,12,"B","D","ON","ON","OFF","ON","OK"
591,651,44,6,0,3,7,"B","C","ON","ON","OFF","OFF","OK"
592,307,18,3,127,5,2,"C","A","OFF","ON","OFF","ON","OK"
593,396,27,0,0,5,3,"B","B","ON","ON","ON","OFF","NG"
594,306,29,2,127,4,9,"B","B","ON","ON","OFF","ON","OK"
595,399,22,6,166,12,0,"B","B","ON","ON","OFF","OFF","OK"
596,359,35,8,0,11,9,"B","B","ON","ON","OFF","OFF","OK"
597,368,39,2,153,7,9,"B","B","ON","ON","OFF","ON","OK"
598,527,24,8,219,2,3,"B","B","ON","ON","OFF","ON","OK"
599,483,22,3,701,10,2,"C","B","OFF","ON","OFF","ON","OK"
600,375,37,37,329,10,11,"B","C","ON","ON","OFF","ON","OK"
601,691,51,31,287,7,8,"C","C","OFF","ON","OFF","ON","OK"
602,466,20,5,194,7,0,"C","B","OFF","ON","OFF","ON","OK"
603,562,59,5,234,3,14,"B","C","ON","ON","OFF","ON","OK"
604,633,36,3,0,8,3,"B","C","ON","ON","OFF","ON","OK"
605,651,44,44,271,3,6,"B","C","ON","ON","OFF","OFF","OK"
606,208,23,3,86,7,3,"C","A","OFF","ON","OFF","ON","OK"
607,789,45,2,328,1,7,"B","C","ON","ON","OFF","ON","OK"
608,465,25,0,193,4,5,"B","B","ON","ON","ON","ON","NG"
609,421,25,0,967,11,7,"B","B","ON","ON","ON","ON","NG"
610,378,21,2,1409,5,1,"A","B","ON","OFF","OFF","ON","OK"
611,409,32,5,170,7,3,"C","B","OFF","ON","OFF","ON","OK"
612,513,46,26,213,5,6,"A","B","ON","OFF","OFF","OFF","OK"
613,405,31,4,168,10,1,"B","B","ON","ON","OFF","ON","OK"
614,396,27,0,0,5,3,"B","B","ON","ON","ON","OFF","NG"
615,586,44,4,160,3,9,"C","C","OFF","ON","OFF","OFF","OK"
616,422,27,0,175,9,9,"A","B","ON","OFF","ON","ON","NG"
617,586,44,4,160,3,9,"C","C","OFF","ON","OFF","OFF","OK"
618,492,34,1,205,16,4,"C","B","OFF","ON","OFF","ON","OK"
619,450,26,6,187,7,5,"A","B","ON","OFF","OFF","ON","OK"
620,518,43,2,776,3,6,"B","B","ON","ON","OFF","OFF","OK"
621,374,36,2,155,6,7,"A","B","ON","OFF","OFF","ON","OK"
622,550,23,7,0,6,4,"C","B","OFF","ON","OFF","ON","OK"
623,451,36,4,187,11,4,"B","B","ON","ON","OFF","ON","OK"
624,684,53,5,285,2,10,"B","C","ON","ON","OFF","OFF","OK"
625,396,44,2,165,0,13,"B","C","ON","ON","OFF","ON","OK"
626,488,27,27,203,8,4,"B","C","ON","ON","OFF","OFF","OK"
627,294,28,4,122,3,2,"B","B","ON","ON","OFF","ON","OK"
628,467,41,1,194,4,5,"B","B","ON","ON","OFF","ON","OK"
629,523,18,4,217,6,2,"A","B","ON","OFF","OFF","ON","OK"
630,269,21,3,112,12,0,"A","A","ON","OFF","OFF","ON","NG"
631,877,59,6,365,7,6,"B","D","ON","ON","ON","ON","OK"
632,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
633,344,37,6,143,15,3,"B","B","ON","ON","OFF","ON","OK"
634,430,41,4,179,3,11,"B","B","ON","ON","OFF","ON","OK"
635,443,28,4,184,3,9,"B","B","ON","ON","OFF","OFF","OK"
636,467,32,32,194,7,5,"B","B","ON","ON","OFF","OFF","OK"
637,365,22,5,1227,15,1,"A","B","ON","OFF","OFF","ON","OK"
638,408,36,0,170,6,3,"B","B","ON","ON","ON","ON","NG"
639,527,24,8,219,2,3,"B","B","ON","ON","OFF","ON","OK"
640,327,20,3,0,6,0,"A","B","ON","OFF","OFF","ON","OK"
641,684,53,5,285,2,10,"B","C","ON","ON","OFF","OFF","OK"
642,403,23,0,0,10,4,"B","B","ON","ON","ON","ON","NG"
643,524,50,30,148,5,9,"B","B","ON","ON","OFF","ON","OK"
644,336,29,29,140,10,7,"B","B","ON","ON","OFF","ON","OK"
645,199,25,22,524,0,4,"A","A","ON","OFF","OFF","OFF","NG"
646,222,20,1,851,4,0,"A","A","ON","OFF","OFF","ON","NG"
647,393,26,3,163,5,0,"B","B","ON","ON","OFF","ON","OK"
648,399,19,5,166,12,0,"C","B","OFF","ON","OFF","OFF","OK"
649,447,42,6,186,7,4,"B","B","ON","ON","OFF","OFF","OK"
650,268,26,26,111,4,0,"B","A","ON","ON","OFF","OFF","OK"
651,400,27,5,431,3,6,"B","B","ON","ON","OFF","OFF","OK"
652,549,29,6,228,6,11,"B","C","ON","ON","OFF","ON","OK"
653,261,24,1,108,3,1,"B","A","ON","ON","OFF","ON","OK"
654,373,36,0,155,5,6,"B","B","ON","ON","ON","OFF","NG"
655,164,28,25,68,6,4,"C","A","OFF","ON","OFF","ON","NG"
656,471,40,1,1346,13,16,"A","B","ON","OFF","OFF","ON","OK"
657,481,32,3,285,4,6,"B","B","ON","ON","OFF","OFF","OK"
658,887,58,5,369,7,9,"B","D","ON","ON","OFF","OFF","OK"
659,383,25,2,159,2,4,"B","B","ON","ON","OFF","ON","OK"
660,483,22,3,701,10,2,"C","B","OFF","ON","OFF","ON","OK"
661,505,45,6,595,17,5,"B","B","ON","ON","OFF","OFF","OK"
662,576,24,24,240,2,2,"A","C","ON","OFF","OFF","ON","OK"
663,198,27,1,82,9,8,"A","A","ON","OFF","OFF","ON","NG"
664,435,27,3,1044,2,0,"B","B","ON","ON","OFF","ON","OK"
665,362,38,2,150,2,5,"B","B","ON","ON","ON","ON","OK"
666,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
667,374,36,2,155,6,7,"A","B","ON","OFF","OFF","ON","OK"
668,679,28,7,282,11,4,"C","C","OFF","ON","OFF","ON","OK"
669,397,34,3,165,4,11,"B","B","ON","ON","OFF","ON","OK"
670,437,39,2,1205,17,5,"B","B","ON","ON","OFF","ON","OK"
671,697,45,2,290,6,5,"B","C","ON","ON","OFF","ON","OK"
672,453,34,2,188,7,11,"B","B","ON","ON","OFF","ON","OK"
673,618,37,5,0,3,6,"C","B","OFF","ON","OFF","OFF","OK"
674,402,35,35,0,12,8,"B","B","ON","ON","OFF","ON","OK"
675,665,42,3,277,5,5,"B","B","ON","ON","OFF","OFF","OK"
676,444,43,43,162,4,10,"A","B","ON","OFF","ON","OFF","OK"
677,413,25,25,0,3,1,"C","B","OFF","ON","OFF","OFF","OK"
678,405,47,3,168,12,9,"B","B","ON","ON","OFF","ON","OK"
679,417,21,7,173,15,1,"A","B","ON","OFF","OFF","ON","OK"
680,749,55,1,0,0,8,"B","C","ON","ON","OFF","ON","OK"
681,284,18,2,118,1,0,"C","A","OFF","ON","OFF","ON","OK"
682,697,45,3,0,0,13,"B","C","ON","ON","OFF","OFF","OK"
683,697,45,3,0,0,13,"B","C","ON","ON","OFF","OFF","OK"
684,473,32,4,179,4,5,"B","B","ON","ON","OFF","OFF","OK"
685,409,32,5,170,7,3,"C","B","OFF","ON","OFF","ON","OK"
686,455,35,1,614,2,8,"B","C","ON","ON","OFF","ON","OK"
687,443,28,4,184,3,9,"B","B","ON","ON","OFF","OFF","OK"
688,404,23,23,168,10,0,"B","B","ON","ON","OFF","ON","OK"
689,353,28,2,147,5,5,"B","B","ON","ON","OFF","ON","OK"
690,424,20,20,176,3,1,"A","B","ON","OFF","OFF","OFF","OK"
691,410,32,32,170,8,7,"B","B","ON","ON","OFF","OFF","OK"
692,423,20,5,176,19,0,"A","D","ON","OFF","OFF","ON","OK"
693,340,20,3,141,4,0,"A","B","ON","OFF","OFF","ON","OK"
694,417,21,7,173,15,1,"A","B","ON","OFF","OFF","ON","OK"
695,923,55,3,995,1,7,"B","D","ON","ON","OFF","ON","OK"
696,650,38,38,0,5,6,"A","C","ON","OFF","OFF","ON","OK"
697,660,36,7,275,12,11,"B","C","ON","ON","OFF","ON","OK"
698,644,42,1,268,6,5,"B","C","ON","ON","OFF","ON","OK"
699,447,42,6,186,7,4,"B","B","ON","ON","OFF","OFF","OK"
700,294,28,4,122,3,2,"B","B","ON","ON","OFF","ON","OK"
701,679,28,7,282,11,4,"C","C","OFF","ON","OFF","ON","OK"
702,429,33,3,178,10,6,"B","B","ON","ON","OFF","ON","OK"
703,180,23,3,684,12,1,"B","A","ON","ON","OFF","ON","NG"
704,562,59,5,234,3,14,"B","C","ON","ON","OFF","ON","OK"
705,466,20,5,194,7,0,"C","B","OFF","ON","OFF","ON","OK"
706,633,36,3,0,8,3,"B","C","ON","ON","OFF","ON","OK"
707,436,46,2,181,4,4,"B","B","ON","ON","OFF","ON","OK"
708,343,29,29,142,6,4,"C","B","OFF","ON","OFF","OFF","OK"
709,442,24,5,0,5,2,"B","B","ON","ON","OFF","OFF","OK"
710,337,24,2,450,14,0,"B","A","ON","ON","OFF","ON","OK"
711,388,29,29,493,8,3,"B","B","ON","ON","OFF","ON","OK"
712,651,49,4,0,12,10,"C","B","OFF","ON","OFF","ON","OK"
713,650,38,38,270,7,6,"C","C","OFF","ON","OFF","OFF","OK"
714,749,55,1,0,0,8,"B","C","ON","ON","OFF","ON","OK"
715,268,26,26,111,4,0,"B","A","ON","ON","OFF","OFF","OK"
716,375,37,37,329,10,11,"B","C","ON","ON","OFF","ON","OK"
717,421,21,4,703,1,0,"A","C","ON","OFF","OFF","ON","OK"
718,807,41,41,336,10,10,"B","D","ON","ON","OFF","OFF","OK"
719,401,32,0,167,6,12,"B","B","ON","ON","ON","ON","NG"
720,454,50,5,189,6,10,"B","C","ON","ON","OFF","ON","OK"
721,769,63,3,320,10,17,"B","C","ON","ON","OFF","OFF","OK"
722,365,30,2,152,4,6,"B","B","ON","ON","ON","ON","OK"
723,409,18,6,0,11,0,"C","B","OFF","ON","OFF","OFF","OK"
724,264,19,2,494,6,0,"C","A","OFF","ON","OFF","ON","OK"
725,397,34,3,165,4,11,"B","B","ON","ON","OFF","ON","OK"
726,360,26,3,0,10,7,"B","B","ON","ON","OFF","ON","OK"
727,498,28,28,0,10,4,"B","B","ON","ON","OFF","OFF","OK"
728,368,39,2,153,7,9,"B","B","ON","ON","OFF","ON","OK"
729,465,25,0,193,4,5,"B","B","ON","ON","ON","ON","NG"
730,658,44,5,274,2,5,"B","C","ON","ON","OFF","ON","OK"
731,660,36,7,275,12,11,"B","C","ON","ON","OFF","ON","OK"
732,421,21,4,703,1,0,"A","C","ON","OFF","OFF","ON","OK"
733,397,36,7,165,7,4,"B","B","ON","ON","OFF","OFF","OK"
734,388,29,29,493,8,3,"B","B","ON","ON","OFF","ON","OK"
735,360,26,3,0,10,7,"B","B","ON","ON","OFF","ON","OK"
736,169,19,2,70,6,1,"A","A","ON","OFF","ON","ON","NG"
737,461,20,3,192,5,1,"C","B","OFF","ON","OFF","ON","OK"
738,429,27,1,178,9,6,"B","B","ON","ON","OFF","ON","OK"
739,245,20,3,102,8,2,"A","A","ON","OFF","OFF","OFF","OK"
740,411,20,3,0,0,2,"C","B","OFF","ON","OFF","ON","OK"
741,437,34,3,182,1,5,"C","B","OFF","ON","OFF","OFF","OK"
742,355,24,4,0,8,4,"B","B","ON","ON","OFF","ON","OK"
743,412,31,2,171,1,7,"B","B","ON","ON","OFF","ON","OK"
744,393,20,5,0,2,0,"A","B","ON","OFF","OFF","ON","OK"
745,402,31,31,167,10,6,"B","B","ON","ON","OFF","OFF","OK"
746,527,24,8,219,2,3,"B","B","ON","ON","OFF","ON","OK"
747,405,33,3,1121,7,4,"B","B","ON","ON","OFF","ON","OK"
748,429,33,3,178,10,6,"B","B","ON","ON","OFF","ON","OK"
749,358,23,2,0,11,3,"B","B","ON","ON","OFF","ON","OK"
750,474,34,34,197,15,10,"B","B","ON","ON","OFF","OFF","OK"
751,399,22,6,166,12,0,"B","B","ON","ON","OFF","OFF","OK"
752,313,32,32,130,2,6,"C","B","OFF","ON","OFF","ON","OK"
753,414,20,5,596,13,1,"A","B","ON","OFF","OFF","OFF","OK"
754,409,42,3,0,8,4,"A","B","ON","OFF","OFF","OFF","NG"
755,425,23,1,1564,4,4,"B","C","ON","ON","OFF","ON","OK"
756,399,19,5,166,12,0,"C","B","OFF","ON","OFF","OFF","OK"
757,789,68,4,328,10,11,"B","C","ON","ON","OFF","OFF","OK"
758,834,44,2,347,8,10,"B","D","ON","ON","ON","ON","OK"
759,169,19,2,70,6,1,"A","A","ON","OFF","ON","ON","NG"
