CUSTID,小計_Sum,アクセサリ_小計_Sum,インナーウエア_小計_Sum,バッグ_小計_Sum,化粧品_小計_Sum,婦人服_小計_Sum,靴_小計_Sum,食品_小計_Sum
101056,30042,0,14441,0,1240,0,14361,0
101060,74558,0,4950,1490,41148,18590,8380,0
101062,58309,2980,1728,16258,28719,0,5144,3480
101065,159951,0,0,123186,12990,0,0,23775
101068,54074,1120,21714,3800,0,21660,4450,1330
101069,111915,0,0,0,107215,2140,0,2560
101070,80192,0,8934,0,54420,0,16838,0
101073,90903,0,0,32510,23318,10335,8882,15858
101074,88644,0,6113,25682,0,27423,3488,25938
101076,54010,0,14502,1571,9957,7050,20930,0
101077,70607,6687,54542,0,7322,2056,0,0
101078,46005,0,3450,0,4435,31451,0,6669
101081,120044,8047,7380,14706,47853,10430,30127,1501
101083,73452,0,0,6900,36736,29816,0,0
101084,86400,0,0,20300,66100,0,0,0
101085,68292,0,0,0,0,65522,2770,0
101086,53416,0,0,0,0,0,41916,11500
101087,124608,0,16046,24372,41016,2171,37327,3676
101090,80249,14591,26930,0,13080,3428,11380,10840
101094,132989,5985,0,4400,12732,83552,15470,10850
101095,47789,0,13365,0,0,34424,0,0
101098,486626,0,0,0,88200,328180,0,70246
101099,109407,1620,32734,4431,0,5160,39040,26422
101100,102795,0,0,12850,0,0,89945,0
101103,119411,3771,11440,0,51380,43400,0,9420
101104,222787,25400,29870,24972,24748,2200,31398,84199
101105,775348,9240,173141,0,94475,164767,105920,227805
101108,233837,42117,32634,0,50766,95080,13240,0
101109,43265,0,10555,0,0,32710,0,0
101110,697941,256695,298140,4320,78122,0,60664,0
101111,87781,0,8730,5390,19586,20921,2200,30954
101116,65595,1060,38100,24055,1300,0,1080,0
101117,36978,0,2980,0,9138,5820,19040,0
101120,32551,0,5181,5385,3900,3781,4320,9984
101121,207183,3400,12000,92160,9580,70660,5744,13639
101122,63629,0,17973,9376,4675,10780,7230,13595
101128,24780,0,0,6300,1780,5460,0,11240
101129,330980,0,29122,1500,112832,63634,52360,71532
101130,58598,0,42070,0,7648,0,8880,0
101133,45242,0,15451,0,23420,2915,0,3456
101135,198653,0,6080,12995,13000,102345,51500,12733
101136,1183222,283821,346808,52020,88173,191103,115560,105737
101137,84138,0,1710,4742,52762,23784,1140,0
101139,302597,0,18305,0,87980,128047,68265,0
101140,34357,0,3681,0,4396,10800,15480,0
101141,60166,0,8486,0,11520,10520,3540,26100
101145,108602,36592,38376,0,0,8714,21750,3170
101146,77551,0,51658,0,0,1033,1340,23520
101147,115239,0,8915,43049,0,0,19575,43700
101148,106183,0,0,2880,38248,35885,14230,14940
101152,47525,3875,12490,0,31160,0,0,0
101153,143021,0,20000,44841,14500,37300,13450,12930
101154,153477,12720,75420,1000,52637,2340,9360,0
101155,96335,2310,1111,2880,4100,0,27330,58604
101157,155145,3836,47218,4320,22089,2886,45290,29506
101160,157420,0,38059,20407,32003,49968,4418,12565
101163,380599,6648,125859,12486,118116,16250,86960,14280
101164,38216,3386,0,16730,0,7460,10640,0
101165,28230,0,13250,0,13000,1980,0,0
101166,187849,3728,8944,0,4770,163607,6800,0
101167,473070,0,80078,11028,90371,183350,41933,66310
101168,50016,0,19360,0,0,30656,0,0
101169,168317,23868,13384,30300,17214,22315,16626,44610
101171,238255,20578,42509,40654,33180,76922,20492,3920
101174,77185,2660,17680,9500,11785,22740,7900,4920
101175,219482,0,1450,67302,29320,66748,0,54662
101176,113329,3102,10112,0,46052,42262,11801,0
101177,152939,0,62843,11140,5707,2980,2125,68144
101178,54242,0,0,1250,20489,0,11380,21123
101179,246665,1462,4800,0,183004,8500,15512,33387
101180,69985,0,4100,34085,16020,15780,0,0
101183,155160,14717,31350,37799,16717,7791,37380,9406
101185,42820,0,32920,0,9900,0,0,0
101187,40955,0,2820,0,15570,8605,12000,1960
101188,119740,0,11640,19400,84000,0,4700,0
101192,102220,0,0,2475,4500,95245,0,0
101194,151986,12300,29194,14090,85620,4680,3310,2792
101195,199562,0,0,0,0,103662,0,95900
101196,117722,0,40552,4710,13164,40096,19200,0
101197,98673,0,80523,0,4400,3760,6010,3980
101199,69074,0,0,0,3100,65974,0,0
101200,30317,1486,22211,3440,0,3180,0,0
101202,67820,7360,0,28350,2470,13680,0,15960
101204,38269,0,0,0,0,15440,0,22829
101206,142844,23926,19928,7019,26430,58791,3870,2880
101208,36274,0,4480,0,9174,13870,8750,0
101209,102434,0,0,39480,15618,37660,2860,6816
101210,193292,0,12740,64000,35136,71070,6275,4071
101211,181272,0,51287,42049,58248,9770,18903,1015
101212,283172,10576,32724,9400,37778,31884,135647,25163
101213,208333,8245,3692,10924,63322,40755,32400,48995
101214,295702,0,0,9163,9789,190168,79532,7050
101215,115231,0,6000,0,66740,6385,16052,20054
101216,244893,12623,7403,16990,97188,44250,55766,10673
101218,47508,0,7830,0,11918,7960,19800,0
101219,29976,0,5900,0,4200,19876,0,0
101220,141491,10875,18256,88680,5880,17800,0,0
101221,18600,0,0,0,0,18600,0,0
101222,81600,15747,22724,0,11700,24359,7070,0
101224,238677,0,109226,4740,44463,29070,5468,45710
101225,111316,1560,43364,11036,25244,23584,6528,0
101229,95053,0,13660,13230,30870,14013,21000,2280
101230,146809,0,35076,0,82995,18572,8720,1446
101232,50754,0,0,0,13610,11044,0,26100
101237,42783,0,0,7280,14800,18138,2565,0
101240,114401,0,3875,55620,25906,19600,9400,0
101241,16102,0,11152,0,4950,0,0,0
101242,99689,0,6274,8876,27233,17738,33368,6200
101244,21350,0,2860,6020,0,12470,0,0
101246,427938,1844,6045,12462,195507,16298,7942,187840
101247,88059,0,24820,0,15792,22690,13452,11305
101250,58631,5580,5340,0,3060,31060,5520,8071
101256,81249,6650,1510,23848,10449,24162,14630,0
101257,89735,0,0,84600,5135,0,0,0
101258,47819,0,3110,0,0,34459,0,10250
101260,210445,12936,0,8700,31602,117813,34614,4780
101261,47278,2094,1605,4880,18207,17746,1666,1080
101263,452685,77937,42811,55997,191292,31318,23567,29763
101264,503483,88752,197130,19563,37013,112082,12900,36043
101265,304163,16870,88168,37399,50295,27118,48978,35335
101266,392826,3862,76141,7980,61625,190498,22200,30520
101271,118822,0,34563,5846,14000,40646,7735,16032
101273,377441,2790,159933,20308,81701,42443,39314,30952
101275,166466,0,32400,36300,18350,50846,16920,11650
101276,83409,0,12450,4974,13540,15150,2500,34795
101277,28049,0,19600,0,3929,0,4520,0
101278,44404,0,0,0,0,7164,37240,0
101279,44808,2370,12810,0,16138,5400,2850,5240
101281,24190,0,0,3610,4080,0,16500,0
101282,233595,3875,16440,0,48580,158140,6560,0
101283,130970,0,11670,0,0,52855,0,66445
101285,118781,0,58920,0,21578,11718,7250,19315
101287,37710,4312,1230,0,0,19012,1800,11356
101289,194705,3000,63153,7000,80852,1980,0,38720
101293,427353,4282,42300,44260,74382,189256,37600,35273
101301,96184,0,29482,18384,22564,7700,13174,4880
101303,45485,0,4964,4050,10859,3420,0,22192
101304,44141,0,11958,7728,18715,2019,2505,1216
101306,202945,3288,55235,30349,39126,45510,10970,18467
101307,69622,21875,9558,7269,21684,1296,7940,0
101309,211219,10064,46586,14464,57001,51694,16220,15190
101310,147772,0,0,38738,21895,53500,1660,31979
101312,242075,18400,23773,32458,13731,1920,60626,91167
101313,128381,0,0,0,18505,77533,15843,16500
101314,193936,0,19285,3960,31775,101474,37442,0
101316,245532,11672,54181,0,23944,132120,23615,0
101317,95196,0,91616,0,3580,0,0,0
101323,29324,0,1800,3204,2380,21940,0,0
101324,124212,3400,2580,2565,41688,21582,0,52397
101325,108174,4980,0,0,12870,86844,0,3480
101327,46883,7078,10410,1729,2164,18122,3580,3800
101328,343906,111737,68215,28417,68167,23460,2340,41570
101330,168160,0,0,0,83055,0,80450,4655
101340,59100,0,0,0,0,59100,0,0
101342,332520,0,0,0,284050,39470,0,9000
101346,34143,0,14433,3240,2400,14070,0,0
101349,117500,0,8650,0,0,0,3950,104900
101350,122544,0,0,39576,43810,8907,30251,0
101354,216285,0,60839,35110,70300,14390,29306,6340
101355,47860,2500,3875,30025,3690,5760,0,2010
101359,75435,0,6000,12520,3435,6700,4980,41800
101361,731867,0,225633,72370,19555,400449,5535,8325
101363,182080,0,0,0,9340,134160,3300,35280
101365,629813,7515,103781,144431,155337,198999,19750,0
101373,280428,0,73227,0,153796,34080,9755,9570
101375,196274,2800,12235,5105,2700,91124,0,82310
101377,227835,48908,107530,6000,21449,42668,1280,0
101380,371040,0,65534,2945,59971,0,62660,179930
101382,130250,0,2875,22724,21710,52609,20552,9780
101384,331143,4269,67546,0,89414,122005,27758,20151
101385,99013,0,6973,0,13200,78840,0,0
101386,112110,0,15782,10590,10470,27228,0,48040
101389,721561,14999,215516,55440,34393,256496,12850,131867
101390,89922,0,6362,0,57200,18250,4510,3600
101392,243997,11559,4950,33640,93442,33296,62860,4250
101395,34273,0,23737,0,4560,1204,4772,0
101398,37298,0,4078,0,24042,2440,4380,2358
101399,385545,4535,1440,0,6050,371140,0,2380
101400,125684,29900,20920,0,9114,59640,1410,4700
101401,455383,57245,55554,6420,150854,43340,73180,68790
101403,1295908,93797,485034,129845,190898,215190,83857,97287
101405,204445,8800,2433,31613,18311,58961,51287,33040
101406,64851,3402,6031,1370,4608,32660,7980,8800
101407,45528,0,0,0,34128,11400,0,0
101408,205223,0,43760,1985,39643,60045,27420,32370
101412,59518,1395,0,1903,0,56220,0,0
101415,161965,0,11530,1440,66430,23950,58615,0
101419,123795,2477,45854,16440,34200,0,0,24824
101422,22168,0,0,0,0,22168,0,0
101423,50360,0,0,0,7820,42540,0,0
101425,49065,0,7830,17752,4562,16961,0,1960
101427,1249083,40251,430081,226585,222087,203078,46517,80484
101429,86440,0,73920,0,0,7960,4560,0
101430,286442,18676,42619,76392,58995,36284,13560,39916
101433,106018,4096,7315,18084,15692,1578,6968,52285
101435,104643,1240,21912,1663,43112,5456,9260,22000
101436,196951,36539,9869,7798,89427,28539,16445,8334
101438,32696,7406,3720,0,1300,18580,0,1690
101443,149411,0,129892,2623,3300,3566,10030,0
101446,235040,0,30240,1350,89930,51520,40650,21350
101448,130194,0,0,0,0,122554,0,7640
101449,391925,0,4872,1083,240218,103622,42130,0
101450,194701,0,77316,0,2790,58195,0,56400
101451,71897,0,0,6026,29288,31603,1700,3280
101454,837490,13865,8112,3326,189803,161720,396366,64298
101455,221209,25130,36340,47370,19674,52910,33255,6530
101456,74205,44255,14725,0,7600,2085,5540,0
101457,48486,3902,4524,0,22800,0,6460,10800
101460,79358,0,0,0,1090,15345,49529,13394
101461,87997,10380,0,4875,19920,26660,16902,9260
101464,305440,9572,97980,66972,61520,56814,11118,1464
101465,136832,15657,13444,1492,58276,5130,12880,29953
101471,80001,0,13925,13216,10580,30390,6480,5410
101473,67254,0,0,0,36354,12840,7920,10140
101475,371271,0,4266,3610,10977,73978,59530,218910
101478,112523,0,6122,2850,1800,97314,4437,0
101479,46570,0,9200,0,32120,0,5250,0
101480,152290,39833,10053,0,66372,4800,1240,29992
101481,429405,0,174092,7420,22087,120856,0,104950
101482,432490,28316,35167,24779,68192,142341,37930,95765
101483,184741,0,11700,21751,12800,138490,0,0
101485,89857,0,16967,0,6443,20068,18747,27632
101487,63787,3680,8377,0,15849,11810,24071,0
101490,86230,0,10426,38770,3080,5322,24018,4614
101493,192689,0,10859,10426,31858,101671,37875,0
101495,53380,4980,25720,3000,0,19680,0,0
101500,522538,22724,266204,42147,143101,24480,6349,17533
101501,389452,14040,36820,8455,34272,249108,31140,15617
101502,214076,0,0,0,0,190878,3450,19748
101503,31315,2100,1244,0,8098,3256,13137,3480
101511,1430826,0,1141014,3800,99970,143218,37270,5554
101516,925938,36570,284885,27280,206315,278995,38820,53073
101517,352341,72672,47577,61454,38034,126924,2680,3000
101519,149002,3955,37435,49340,45422,0,4180,8670
101520,677930,0,33780,0,0,74820,13280,556050
101521,48783,0,31420,0,1800,5980,6750,2833
101522,305610,1508,0,6019,1960,290580,5543,0
101524,34120,0,18760,0,0,0,15360,0
101528,33461,0,4032,0,6840,1449,19110,2030
101529,92840,14115,0,1930,34130,23480,19185,0
101530,158281,7085,75996,6667,9780,20250,34349,4154
101532,48255,1800,22715,0,6268,16192,1280,0
101533,36299,0,10000,0,9051,17248,0,0
101534,140965,5692,11840,13792,69928,10799,24541,4373
101536,64995,0,5279,5234,35760,1894,14520,2308
101539,197172,62672,92950,8700,16000,1920,14930,0
101541,58592,6780,14750,0,1750,23340,11972,0
101542,28671,0,4180,5161,19330,0,0,0
101543,52509,0,12940,0,0,26269,6920,6380
101545,35053,0,0,7016,9900,13357,4780,0
101547,104967,1396,15760,16200,13376,52955,5280,0
101548,133217,47400,15170,15762,40860,4290,4283,5452
101554,203133,0,1058,0,173637,17678,0,10760
101556,182833,45462,12493,25206,27222,1045,71405,0
101558,27330,0,0,11360,0,10180,1620,4170
101559,473323,22808,43274,87440,63076,132315,2270,122140
101560,17574,0,0,3134,0,10960,0,3480
101562,676556,22436,367261,57553,73889,28348,62740,64329
101563,41086,0,12609,1885,0,26592,0,0
101564,90576,0,3800,31411,17711,1980,6580,29094
101565,432676,51900,31983,0,188663,87551,56820,15759
101566,76278,0,18400,7000,1260,43570,6048,0
101568,105488,1060,11319,7874,16273,20050,23530,25382
101570,148120,62347,13764,10795,15175,16876,26063,3100
101571,39698,3290,0,0,0,36408,0,0
101573,10487,0,2682,0,2930,0,0,4875
101574,93232,0,0,0,63022,11490,9900,8820
101579,296105,0,63242,0,97020,15429,3440,116974
101582,59254,0,18964,1200,12221,9885,3200,13784
101584,156322,0,71705,20748,3680,49664,10525,0
101585,184000,0,0,0,30400,153600,0,0
101586,78681,0,2942,1895,9911,57664,2897,3372
101587,138791,0,18114,0,27761,7342,29434,56140
101590,98844,12949,0,6800,33620,24025,13980,7470
101591,399212,0,63094,141807,101053,40878,43764,8616
101592,105456,0,4860,0,7892,47104,45600,0
101598,134854,9948,45136,0,12890,63450,2230,1200
101599,435840,317195,3600,0,115045,0,0,0
101601,178775,0,0,0,93216,7164,69695,8700
101603,184626,61205,16640,14785,13678,72304,3980,2034
101606,219581,31689,39487,51591,19651,29601,29083,18479
101607,60180,0,18206,8700,23724,0,7030,2520
101608,114023,7592,23154,44440,32853,1510,3460,1014
101609,345584,0,51920,0,189936,39188,64540,0
101612,125817,20707,21110,0,13940,58965,11095,0
101616,77576,0,0,4400,17866,0,55310,0
101618,220551,7318,23944,43439,7892,109901,6520,21537
101620,90402,0,67672,0,22730,0,0,0
101622,92055,9555,24000,11520,0,46980,0,0
101623,53982,0,0,0,9842,5681,9052,29407
101624,205265,68309,41092,2735,52903,17250,22976,0
101625,842343,0,153776,556503,13120,96122,3207,19615
101626,510103,10778,77765,31441,46024,288431,38062,17602
101628,874385,38960,7120,802485,1100,17220,7500,0
101629,112169,0,25000,3086,23612,42954,4873,12644
101630,83038,0,0,0,5063,39840,35300,2835
101631,187287,0,16219,21890,0,99316,49862,0
101632,70370,38570,0,0,5400,0,26400,0
101633,404564,0,11692,60426,47541,1780,21198,261927
101634,130834,0,4000,15950,53124,48070,5280,4410
101636,124567,4096,69657,10230,16378,14326,0,9880
101637,22750,0,0,0,0,0,0,22750
101638,87735,0,1015,5760,12790,18380,49790,0
101639,42067,0,6592,5130,3000,0,27345,0
101641,61490,0,0,0,0,61490,0,0
101646,88371,2880,0,41831,13960,29700,0,0
101647,184166,0,15960,7600,150646,9960,0,0
101649,141207,11484,19221,1370,38348,28034,21670,21080
101650,67558,0,2148,1292,9726,23018,8344,23030
101657,204795,0,26048,17148,23836,70404,14029,53330
101659,85388,0,20366,1692,0,3500,1180,58650
101664,30785,14542,6800,4116,2895,2432,0,0
101666,43317,0,0,6650,10725,6180,11572,8190
101667,47505,0,0,1140,36500,1207,3740,4918
101669,137331,0,3870,27578,48900,3629,21620,31734
101670,43903,1385,1482,0,17164,8347,9348,6177
101673,363243,0,1243,1140,209019,92146,48780,10915
101675,51612,6462,10631,3456,15615,3638,11810,0
101677,38373,0,14471,1070,12485,0,10347,0
101679,40690,0,12840,6450,12600,0,8800,0
101680,179782,11040,0,8400,19870,26300,114172,0
101681,62923,0,4000,1235,39998,7850,9840,0
101682,132600,0,0,0,0,132600,0,0
101685,63340,0,32824,0,3376,9460,17680,0
101687,450554,123358,33309,43585,65937,92302,41554,50509
101688,71706,0,0,61738,0,0,2640,7328
101691,256441,16464,20452,21528,26790,53683,51760,65764
101692,74562,0,12967,13704,17600,17531,5320,7440
101695,45236,10794,4930,0,5212,1550,0,22750
101696,441506,31060,207756,21538,40511,62979,48332,29330
101699,496323,41328,94831,24505,104157,43774,138178,49550
101700,26900,1800,1680,4320,17200,0,1900,0
101701,112751,1782,13663,1900,19600,57683,15562,2561
101702,39550,0,0,0,0,39550,0,0
101711,167116,1047,22736,0,50195,3500,53278,36360
101713,120940,0,0,120940,0,0,0,0
101714,285680,0,0,0,0,282480,0,3200
101718,39345,0,0,0,0,0,0,39345
101719,535477,5507,133601,48214,202771,62278,19754,63352
101723,78105,0,28980,28315,7010,13800,0,0
101726,117944,0,17596,4825,26990,28132,15304,25097
101730,427896,16733,132529,15000,100372,87027,32504,43731
101731,1081867,21154,299251,154789,140109,249474,20845,196245
101733,84597,13798,16276,0,25942,0,4961,23620
101734,28721,0,0,9798,0,5400,9800,3723
101735,38820,0,0,0,7800,9480,0,21540
101737,20632,1760,2580,0,4275,5441,0,6576
101740,69562,6176,8114,26140,3510,11438,7780,6404
101741,77660,0,14500,11140,1115,3316,38150,9439
101742,59265,8480,8100,0,16085,10760,0,15840
101743,71490,0,0,9890,21980,32310,4430,2880
101748,58758,6879,9024,3100,20597,5440,5298,8420
101751,113863,0,0,1575,33185,26055,10808,42240
101753,91964,4200,0,6224,25200,12500,43840,0
101755,405678,0,8637,0,1560,8621,1544,385316
101761,138798,0,24210,6128,15062,6210,79744,7444
101762,34390,0,4000,4050,6980,19360,0,0
101763,12833,0,1626,0,7227,3980,0,0
101764,26013,0,2779,1140,4916,1277,15901,0
101768,418724,0,0,0,408374,0,3600,6750
101770,102845,0,40202,2585,14183,39395,6480,0
101773,13930,0,0,0,6494,1170,1010,5256
101774,20486,0,1283,0,12251,1661,3671,1620
101776,220207,0,38718,0,22370,14639,118300,26180
101779,91479,0,21744,18240,33738,0,0,17757
101780,477841,1490,21765,42983,177462,27044,195900,11197
101781,492796,49491,22669,28971,196528,65443,72709,56985
101783,53533,0,0,5121,30062,14900,3450,0
101786,171013,1330,24815,7856,77298,35226,19088,5400
101789,97781,0,1041,20700,20700,26907,0,28433
101792,149930,9986,24823,12147,74150,0,22454,6370
101793,129508,7776,51544,0,42352,7000,13200,7636
101794,74770,3680,0,3800,52690,14600,0,0
101797,71918,0,24154,0,16064,5940,20200,5560
101798,291351,6657,66517,30346,67861,66326,32029,21615
101803,298763,6318,14422,33952,69050,154007,6853,14161
101805,165040,0,15425,9780,98675,39200,1960,0
101810,62453,3875,7410,0,21078,9640,10750,9700
101814,42232,0,9800,10800,4302,1045,9330,6955
101816,250495,0,0,10710,100885,7760,61940,69200
101818,72020,0,0,8315,3480,51325,0,8900
101820,181512,0,5225,42250,46915,70026,6791,10305
101824,89882,0,28306,5200,41676,4250,0,10450
101825,65123,0,5083,25292,0,16342,10158,8248
101827,62128,0,6648,3600,28196,17702,2830,3152
101829,84318,0,0,32000,37502,1550,0,13266
101830,131327,3680,0,0,0,54357,73290,0
101831,38333,1357,15306,0,11880,3199,3631,2960
101834,33784,0,0,1980,6824,23480,0,1500
101836,263117,0,66832,13212,27836,41840,98265,15132
101839,196100,28426,20860,0,50999,67522,8410,19883
101841,99087,2862,3936,69400,6299,9390,7200,0
101844,69583,0,0,1123,16800,50480,0,1180
101846,25340,0,9900,0,0,15440,0,0
101848,1993961,0,161270,25500,186150,1557421,0,63620
101850,672631,6800,76275,125865,105322,210735,27450,120184
101852,90472,0,20230,40941,2646,13075,9600,3980
101853,35047,8100,9436,17511,0,0,0,0
101854,125405,0,8743,8800,36795,49807,21260,0
101855,153501,11025,21520,3490,32774,46152,34230,4310
101860,71083,4950,1845,0,36000,10918,17370,0
101862,65217,0,1045,0,62376,0,1796,0
101867,365525,0,0,3700,58550,256700,34500,12075
101870,78536,0,4902,0,2014,51750,19870,0
101883,88597,0,26118,22161,1008,37684,0,1626
101884,86460,0,4526,20308,20880,0,1710,39036
101885,101434,0,0,31196,26653,36722,5703,1160
101888,187922,7282,73215,15390,16370,11250,3765,60650
101889,47240,0,0,0,0,12560,0,34680
101890,145972,10000,24990,14920,44412,26553,23907,1190
101891,69439,0,0,9083,10400,7940,0,42016
101892,368318,22543,71797,15915,32549,188728,14525,22261
101893,69428,0,2175,0,6400,28510,32343,0
101897,47694,0,2030,0,1300,9510,0,34854
101898,116619,0,4761,0,17117,57952,12789,24000
101899,62400,0,0,58400,1000,0,3000,0
101900,42870,0,0,0,0,39430,3440,0
101901,17010,0,0,0,17010,0,0,0
101902,191866,0,0,22716,24688,52246,56316,35900
101904,40442,0,0,0,9912,18700,0,11830
101908,158888,0,2850,0,65638,0,61600,28800
101912,58505,0,6335,1020,22124,9130,15976,3920
101913,123785,0,0,24970,9400,70440,4875,14100
101916,126820,25702,11180,21934,11474,31537,20265,4728
101918,232450,0,21357,34000,18932,154261,3900,0
101920,59183,0,16980,12600,11988,14475,3140,0
101921,91962,4786,39640,1194,34142,5400,0,6800
101924,175158,0,3909,0,81463,13570,74846,1370
101925,125688,6970,3326,9440,28320,42672,27870,7090
101929,224200,4256,82936,2000,81360,10300,1449,41899
101930,140310,0,4902,0,38042,10260,87106,0
101934,134126,0,9382,0,42044,78900,3800,0
101935,38463,0,0,10190,2493,21030,4750,0
101936,70220,0,2420,17740,11800,14560,3480,20220
101937,557619,12720,32683,38860,108538,99968,258932,5918
101938,60046,0,5960,0,40564,1980,11542,0
101939,37019,0,0,3700,0,13369,10150,9800
101940,116381,0,0,0,64323,4709,16461,30888
101942,27333,0,2996,0,4508,3920,5931,9978
101943,21568,0,1800,10260,4680,0,4828,0
101944,98428,0,13050,0,17730,53600,14048,0
101945,41804,0,22790,0,9915,0,7969,1130
101954,90504,0,9000,15384,43140,5538,17442,0
101958,67420,1060,48991,0,2900,11190,3279,0
101959,137530,0,0,28600,10244,89110,1596,7980
101962,48424,0,13490,0,31274,3660,0,0
101963,40410,0,17180,0,8772,1083,8497,4878
101964,39029,0,0,0,2880,34355,0,1794
101965,150711,27880,1058,0,14586,21880,67380,17927
101967,128714,0,2800,17818,34141,0,72765,1190
101968,51084,0,18780,0,32304,0,0,0
101970,157975,0,9368,61970,10920,56977,16120,2620
101973,34980,0,0,23980,0,11000,0,0
101975,116145,0,11845,7000,17560,68200,11540,0
101976,235065,0,108410,0,34290,77475,5750,9140
101980,241219,11150,18275,28964,36992,45828,62300,37710
101982,42973,4256,19274,1178,10945,2660,1520,3140
101985,253699,0,34360,17660,46152,111117,41360,3050
101988,263283,6968,114495,1820,28938,100842,8420,1800
101990,36059,0,4689,0,30210,0,0,1160
101992,115986,0,0,42964,44006,10041,15676,3299
101995,41810,0,0,0,0,41810,0,0
101997,280554,6249,13597,6300,89334,37117,113107,14850
101998,131725,1502,13008,4940,9784,69308,29221,3962
101999,736069,4455,143670,72795,85998,324858,81610,22683
102001,258444,0,32800,13200,27988,63826,23650,96980
102003,183987,5340,23853,31922,39313,1490,59842,22227
102004,29217,0,4558,0,11235,3894,8332,1198
102005,78469,0,7593,9330,13960,45986,0,1600
102010,41336,0,15148,3000,6375,0,15343,1470
102011,99955,6650,0,12506,9099,68950,2750,0
102012,105440,0,6000,0,24320,47520,0,27600
102015,113768,0,17230,8780,17303,21160,24537,24758
102018,129905,0,0,0,0,38605,1800,89500
102021,116600,5276,57209,1538,6244,38520,4480,3333
102023,59145,0,0,0,4425,5350,49370,0
102024,42377,3939,8428,0,10150,5660,6900,7300
102027,14036,0,0,0,1533,11431,1072,0
102029,175087,18800,6130,11220,8281,14420,41838,74398
102030,132936,0,4800,72383,9546,41372,4835,0
102034,32755,0,0,1440,14260,11120,5935,0
102038,344081,0,7560,251200,31796,51500,2025,0
102039,155267,0,11727,4560,34560,83548,14477,6395
102041,113395,0,81097,6179,0,26119,0,0
102045,1154323,24312,30485,42026,851608,80926,34508,90458
102049,24980,0,0,0,13370,5280,6330,0
102051,31400,0,0,0,31400,0,0,0
102052,65384,3060,14903,10792,19478,1200,6720,9231
102063,105963,0,13424,5077,45340,18148,0,23974
102064,312537,0,139500,3797,53160,14000,47930,54150
102065,164631,46284,32621,10699,33467,9922,3060,28578
102066,123025,0,62650,0,23760,0,0,36615
102068,37062,0,0,0,24017,4000,3725,5320
102071,32040,0,0,0,0,19080,11000,1960
102078,34367,0,3404,0,22185,0,8778,0
102082,30943,0,0,4851,8037,3140,14915,0
102083,238551,11040,30859,5435,71110,67687,23620,28800
102085,59741,3320,0,4400,15070,13112,4785,19054
102086,45190,0,0,3868,9630,13262,0,18430
102090,125487,4980,52167,6978,20529,10861,16895,13077
102091,143353,0,24293,7810,21236,14704,64820,10490
102095,124301,0,29410,0,4780,0,80863,9248
102098,252151,90890,19400,23047,20195,73632,2300,22687
102103,126460,54150,47388,12088,1050,10520,0,1264
102105,73296,0,0,0,36152,15098,11600,10446
102109,144330,30502,17851,1310,38042,35542,0,21083
102110,46920,0,0,0,0,46920,0,0
102112,400616,11881,55135,25840,165971,47091,33470,61228
102117,274936,5637,10646,36196,166667,33861,17185,4744
102119,1590300,639604,223189,13507,155380,456561,72120,29939
102122,121898,0,1196,0,22276,88784,0,9642
102123,167459,0,17288,1275,66626,19200,1830,61240
102126,92254,13608,1720,7500,24600,31866,5740,7220
102129,51519,0,3344,1885,24253,0,4411,17626
102130,138006,76312,2070,0,7710,33304,18610,0
102131,116075,0,0,2805,14345,17690,3240,77995
102135,89972,11122,2714,6990,16600,11530,16326,24690
102136,140227,0,61150,16442,3760,24210,25635,9030
102138,59262,3418,17655,7559,19515,1290,2000,7825
102140,160442,1960,25546,37689,20392,35309,25738,13808
102143,51431,0,0,0,18797,22234,0,10400
102144,76414,0,0,60468,15946,0,0,0
102145,154274,0,6510,10440,93849,8870,6705,27900
102146,159155,4240,31713,33731,56422,8925,20776,3348
102148,34071,3906,10286,1046,7355,0,10448,1030
102149,101112,0,0,22790,0,3682,74640,0
102155,514068,79282,190927,17165,180614,27713,11990,6377
102157,319840,29294,18370,37777,89743,84040,42055,18561
102163,138174,0,0,21300,29040,13480,48754,25600
102164,43983,0,3500,0,13819,26664,0,0
102165,93921,25908,14847,1440,5630,42145,2571,1380
102166,172090,13022,23432,22623,32584,43400,37029,0
102167,68636,0,0,0,10220,58416,0,0
102168,223872,91196,41124,41615,2915,2386,5430,39206
102172,43831,0,11400,3610,4625,17630,6566,0
102175,307382,7196,97389,0,4648,64640,11800,121709
102177,136340,0,40500,22000,0,73840,0,0
102179,74515,0,0,0,25791,33844,13760,1120
102180,341310,22283,200950,0,69029,36298,0,12750
102181,33715,0,23860,0,2335,7520,0,0
102184,100598,0,43999,1840,11419,19694,15726,7920
102187,148709,39068,9324,22045,33652,43420,0,1200
102188,40533,0,0,8050,22697,0,5506,4280
102189,79011,0,2664,0,1350,71957,3040,0
102190,195936,0,0,0,18700,44654,0,132582
102196,10135,0,0,0,6940,0,0,3195
102197,96160,0,0,0,7920,88240,0,0
102198,114246,0,4680,10910,21008,13662,21086,42900
102199,30789,1404,9341,0,1680,11114,4980,2270
102207,182988,51520,27340,30510,25940,18771,23067,5840
102208,96210,0,0,55070,7900,15020,14860,3360
102211,64338,0,20754,10000,7632,18392,2160,5400
102212,40497,0,13238,0,0,0,6890,20369
102213,110075,0,20031,8790,0,59124,21080,1050
102215,84928,3154,5249,0,43800,32725,0,0
