C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
-0.335,3.265,-3.494,-3.160,-0.452,5.200,3.943,1.392,0.190,-0.633,3.063,2.021,-0.549,6.580,-0.461,0.065,4.382,2.204,0.125,4.482,3.237,1.002,-0.462,1.677,0.576,3.654,4.889,-1.693,0.462,4.910,8.270,3.151,5.805,-1.253,5.171,1.677,2.071,2.033,4.896
-1.356,0.840,0.546,3.256,-3.352,0.589,0.068,-0.654,2.302,2.149,1.344,1.935,-2.952,3.984,-0.370,2.099,2.152,0.009,1.258,1.169,1.667,1.700,1.623,1.577,2.118,1.760,2.385,2.147,3.056,3.587,1.620,2.099,1.941,-1.690,1.511,5.453,-2.070,-1.481,2.888
1.394,0.159,-0.291,1.562,2.203,1.999,3.435,1.172,2.023,1.860,-3.094,-3.744,1.992,2.141,2.783,-4.391,-0.751,-1.706,0.707,1.140,-5.015,-0.901,2.351,-0.145,-0.733,0.281,0.956,-0.919,-0.033,-2.228,2.094,0.755,2.602,-0.008,-1.741,1.248,1.211,3.235,-3.218
8.390,-2.392,2.272,-0.789,5.607,6.779,7.592,4.388,3.948,-1.535,-5.707,2.238,5.726,4.314,6.467,1.134,1.594,-3.810,0.465,-0.112,2.420,-2.024,0.869,-3.034,1.677,0.120,-1.040,1.455,-2.160,2.251,1.703,1.954,0.828,5.189,1.545,0.520,5.218,7.471,0.756
-0.826,0.261,1.742,0.656,-1.921,-1.788,-2.004,-1.392,3.324,0.976,-0.268,0.428,-3.381,0.326,-3.754,-1.568,-0.536,1.128,1.408,-0.015,-0.414,1.141,2.287,-0.950,-0.511,-0.930,2.072,-0.104,0.956,0.464,-0.891,0.014,-1.022,-1.522,0.999,-0.139,-2.340,-1.084,-1.062
0.053,2.474,-3.337,-1.808,-0.717,-1.514,-2.729,-1.237,-2.375,-2.692,4.346,-1.744,-3.523,-1.459,-2.184,-0.483,0.033,3.710,-5.852,1.235,-1.278,-0.678,-0.653,1.509,0.858,-1.585,-1.333,-2.392,1.279,-0.180,-0.288,-2.376,2.401,-1.329,-1.761,-4.067,1.663,-3.139,-2.063
4.597,-3.915,4.328,3.175,3.564,5.230,4.084,1.702,3.212,4.089,-3.098,-0.568,2.923,-0.507,6.253,-0.102,-1.736,-4.015,5.166,-6.774,-2.645,1.432,1.488,-2.051,1.787,-3.652,-3.318,5.367,0.406,-3.780,4.046,2.524,-4.194,3.924,-2.695,-4.326,3.247,3.216,-4.474
-1.829,-2.896,-3.189,-1.737,-2.281,-3.476,-7.151,-5.749,0.237,0.386,-1.608,-5.858,-6.403,-4.045,-4.023,-5.957,-3.147,-0.340,0.082,-5.562,-2.648,-3.168,-1.049,-0.073,-1.605,-5.765,-3.586,-0.742,0.532,-4.938,-0.526,-3.624,-0.973,-4.105,-0.908,-2.880,-2.821,-3.541,-7.579
-3.661,2.481,2.171,3.644,-1.475,0.577,1.126,-0.440,4.097,1.044,0.608,5.252,-1.872,3.434,0.005,5.480,3.145,1.642,2.437,1.700,2.802,3.121,1.637,3.466,3.167,3.920,-1.288,2.853,4.198,6.331,1.929,3.445,1.126,-0.620,2.250,3.190,-2.296,-1.167,3.743
-0.815,-5.040,0.861,-2.312,-2.814,-5.777,-5.745,-3.914,-0.115,0.432,0.674,-1.173,-2.489,-4.337,-0.944,-0.079,-3.319,-0.716,-2.561,0.173,2.448,-0.539,-0.551,-1.494,-1.769,-4.506,-2.656,-2.665,-2.091,-5.276,-6.113,-5.126,-4.573,-2.234,-4.782,-5.651,-3.531,-1.955,-0.773
1.906,-5.892,-3.329,-1.776,-0.221,1.612,1.275,-0.669,-0.424,-1.820,-2.725,-4.539,-0.281,0.595,1.500,-2.489,-5.660,-1.317,-2.290,-5.773,-1.581,-2.344,-1.065,-2.676,-0.786,-4.898,-2.441,-1.150,-3.630,-7.025,2.819,0.284,-6.297,2.809,-4.097,-5.010,0.476,-0.385,-5.830
1.894,-4.204,0.626,0.633,1.263,2.500,2.008,-0.467,-3.168,-2.140,4.368,-3.098,-0.705,3.671,1.007,-4.155,-0.964,2.388,2.101,-2.078,-2.329,2.908,0.650,4.464,-1.974,-0.881,-0.196,1.332,2.041,-3.238,2.853,0.950,1.183,0.618,0.172,-0.257,-1.066,1.765,-2.921
-1.194,-1.402,2.438,2.122,-3.077,-4.043,-5.548,-2.227,1.160,0.577,-0.303,-4.802,-3.827,-3.311,-2.467,-3.685,-4.913,-0.112,3.549,-4.237,-2.629,1.676,0.575,1.427,4.134,-6.887,-5.195,0.531,2.098,-6.885,-2.959,-1.575,-1.287,-3.319,-4.445,-5.175,-4.192,-6.496,-5.742
-3.993,3.806,-0.430,1.211,-3.977,-1.087,-1.522,-3.151,-3.329,-0.381,-3.778,-3.632,-3.189,2.101,-3.782,-4.210,1.372,-3.691,-2.015,2.800,-2.659,-0.717,-1.407,-2.277,0.876,3.722,4.609,2.111,-4.681,-0.994,1.937,1.765,0.651,-1.225,3.141,0.645,-2.310,-3.037,0.482
-1.514,-2.737,0.546,0.680,-1.038,2.070,1.433,-0.793,-2.618,0.760,1.905,-0.194,-1.830,3.878,-1.850,-0.504,-1.644,2.047,2.329,-2.273,2.168,2.187,-0.130,1.652,-0.551,0.503,-1.733,0.963,0.933,-0.405,5.238,2.224,-2.607,-1.336,-0.547,1.282,0.459,-0.914,-1.010
-5.106,-1.737,-7.928,-4.579,-5.021,-1.536,-3.459,-6.678,-5.149,-5.425,3.140,2.713,-7.277,4.065,-6.223,5.489,-2.360,5.926,-5.954,-2.765,6.964,-0.955,-5.588,5.344,-3.568,-0.346,1.670,-4.302,-1.416,2.912,3.976,3.567,-3.841,-5.244,0.742,0.048,-6.039,-6.885,2.481
5.645,-1.466,2.888,3.141,4.861,2.776,1.700,3.414,0.336,3.217,0.869,-0.611,2.643,-2.659,5.781,-3.883,0.884,-0.205,2.471,0.930,-1.750,3.284,2.832,2.372,1.752,-1.367,0.297,-0.107,1.770,-2.783,-1.393,-0.605,0.817,1.232,-1.216,0.336,5.465,1.722,-0.382
-3.319,0.109,4.863,2.378,0.706,-1.186,-2.888,-3.109,2.111,3.949,0.610,-0.940,-2.635,-0.126,-1.180,1.481,0.440,0.005,2.541,2.745,2.294,2.330,1.040,0.588,4.007,2.459,0.354,2.892,3.426,1.630,0.027,-1.097,0.989,-0.092,3.961,4.422,-3.353,-3.042,3.103
0.151,0.188,2.495,2.518,-0.282,1.473,0.058,0.631,2.954,1.947,1.465,-1.190,1.721,-0.338,4.733,1.135,-0.668,3.444,6.215,-3.240,-0.215,4.022,3.255,1.714,4.323,0.305,-2.112,3.414,5.053,-2.103,-0.071,0.241,-1.864,-2.012,-0.595,-2.590,0.669,1.772,-0.330
1.172,1.575,2.112,3.003,4.449,-1.865,-1.955,2.316,2.712,1.158,0.537,-0.567,2.793,-5.376,2.612,2.204,0.847,-2.555,0.412,3.069,4.668,0.050,2.259,-1.288,-0.670,2.066,2.253,0.947,0.977,1.787,-4.914,-5.120,3.737,0.808,2.662,3.400,-0.199,2.362,5.494
0.393,3.395,-2.406,-5.434,0.458,-1.696,-3.326,0.390,-1.072,-3.865,-0.742,1.305,-1.920,-1.901,-2.733,2.808,4.249,-3.526,-2.908,3.653,0.240,-4.314,-3.015,-4.844,-1.841,4.137,2.003,-0.992,-4.735,5.377,-2.507,-4.738,3.732,0.260,4.601,3.861,-1.216,1.437,3.165
-4.834,5.507,-3.034,-4.894,-3.970,-3.641,-4.220,-3.520,-5.037,-3.701,-2.015,-3.548,-3.398,1.907,-5.218,-2.805,5.953,0.189,-5.311,6.404,-5.776,-4.143,-2.365,-1.594,-4.089,5.440,5.124,-2.311,-4.202,3.221,-1.582,-3.321,5.918,-2.985,6.747,5.829,-3.391,-2.187,1.196
2.096,-0.545,-0.790,0.381,1.054,-2.469,-2.400,-0.552,-0.593,-1.244,-0.318,7.214,-0.167,-1.953,2.268,5.931,2.203,0.317,0.519,1.997,7.398,1.239,-0.501,-0.052,0.668,-0.903,0.833,-1.966,-2.040,5.293,-5.333,-4.856,0.361,0.430,1.328,-1.579,-0.334,-0.452,5.346
-4.004,-4.625,-0.263,-3.123,-7.622,-5.347,-3.861,-7.239,-3.120,-0.930,0.297,2.519,-7.358,1.163,-5.654,1.713,-3.804,2.980,-0.679,-2.885,2.159,-0.318,0.127,2.725,-0.390,-4.368,-3.104,-2.726,0.777,-1.737,3.666,0.414,-4.933,-5.369,-3.708,-4.102,-9.215,-7.325,-2.068
-1.785,2.848,1.647,1.203,-0.745,-1.253,-1.303,-0.605,-0.998,-2.683,-2.023,3.146,-4.198,0.853,-2.596,0.682,0.780,0.438,-0.348,-0.550,6.319,-0.845,-0.324,-1.069,0.738,-0.461,0.322,1.688,-0.223,1.867,2.398,0.035,-1.876,-4.434,0.201,-1.631,-2.000,-2.594,2.909
3.551,0.237,1.609,1.275,2.512,-0.877,-0.246,-0.243,1.406,2.157,-3.897,0.227,1.526,-3.996,2.328,1.092,1.080,-4.316,0.272,2.963,-0.129,-3.006,-1.117,-5.634,1.713,-3.166,0.564,1.042,-1.800,0.372,-2.348,-0.804,-1.897,0.983,-1.971,1.132,-0.082,-0.014,-0.032
-1.785,0.093,4.053,1.964,-1.973,1.193,0.484,-0.050,0.441,2.186,-2.281,-1.145,-3.291,3.351,-0.758,-1.830,2.141,2.394,0.589,1.098,-1.465,0.946,1.604,-0.014,3.987,1.325,1.179,1.225,2.593,-0.694,3.662,3.264,-0.309,-1.855,2.361,1.344,-1.000,-4.155,0.577
-2.860,-0.058,3.157,1.757,-5.349,-7.413,-4.945,-6.872,4.474,3.815,0.822,-0.077,-7.545,-3.417,-3.058,0.446,0.486,-0.625,4.347,1.648,1.804,1.916,0.602,-0.275,0.681,0.952,0.630,0.526,2.262,0.656,-1.933,-2.406,1.574,-3.789,1.973,0.727,-4.058,-6.102,2.114
-4.820,1.232,3.511,3.763,-5.663,-4.965,-2.473,-4.396,2.157,5.005,3.484,1.064,-5.999,0.865,-7.298,3.673,1.342,1.412,4.813,1.639,1.705,5.459,5.872,2.735,3.807,1.905,1.704,2.105,4.960,3.198,1.413,2.552,2.191,-5.919,2.285,3.142,-4.252,-6.413,3.254
1.420,-4.486,-5.059,-3.944,2.814,2.567,3.743,1.215,-1.635,-5.419,-3.969,-0.239,1.505,0.014,3.179,2.530,-2.469,-4.981,-1.433,-3.135,-0.313,-5.260,-2.638,-4.825,0.146,-2.316,-0.797,-2.672,-6.269,-2.808,2.089,3.498,-3.419,0.774,-5.502,-2.802,4.044,1.714,-1.675
-4.396,-1.815,2.590,-0.350,-4.326,-3.971,-2.579,-3.571,1.572,-0.030,-3.515,3.886,-5.116,0.065,-3.025,4.282,-1.661,-4.358,1.640,-1.597,4.143,-3.573,-1.771,-2.197,-2.359,0.147,0.233,0.329,-0.903,3.243,1.912,-0.163,-2.486,-3.988,1.597,0.022,-5.593,-4.055,1.435
2.679,4.214,-1.551,-5.004,2.441,2.642,3.583,3.219,-2.884,-2.805,-2.019,-3.206,0.696,1.700,-0.931,-3.332,2.419,0.909,-2.407,-0.584,-1.618,-3.125,-2.762,-2.777,-2.564,2.441,2.114,-0.200,-3.131,0.628,3.492,2.395,4.146,0.810,1.310,1.011,1.678,1.318,-0.807
1.812,0.550,-3.805,-2.304,5.697,5.729,4.673,3.360,-2.057,-3.589,3.510,5.314,4.309,2.773,2.454,1.365,-0.811,3.983,-3.282,-2.554,2.807,-1.697,-1.881,2.787,-2.393,1.281,-0.804,-2.696,1.830,1.500,3.653,3.739,-0.200,3.180,-1.435,-2.072,1.783,2.811,1.730
-0.025,-2.242,-2.733,-1.061,0.985,2.347,0.351,-0.160,-0.263,-2.556,-1.983,1.378,1.286,0.834,0.524,4.848,1.523,-4.850,-1.565,-1.333,3.631,-5.278,1.059,-3.770,-1.009,0.876,-0.127,0.190,-1.525,1.769,3.462,-0.478,1.933,2.243,0.912,-0.691,-0.388,-0.475,3.135
3.450,1.913,-0.070,-2.607,2.712,2.873,5.475,5.094,-2.301,-2.488,-7.288,8.123,4.529,0.240,5.881,5.778,1.580,-7.553,-1.717,0.246,7.703,-8.316,-1.502,-8.572,-3.655,1.098,1.993,-1.693,-6.380,7.100,2.354,2.238,1.736,2.454,3.579,0.495,4.146,-0.592,6.001
-0.698,3.587,2.532,-0.779,2.493,-1.679,0.825,1.476,-0.086,2.444,1.924,-6.839,3.345,-1.668,0.191,-5.261,3.556,4.595,0.376,2.402,-4.402,2.800,2.168,1.971,0.199,1.584,2.835,1.461,3.076,-1.422,-3.069,-1.663,1.825,1.289,-0.028,2.573,3.348,-1.301,-2.478
1.537,0.618,4.784,4.629,2.334,-5.857,-2.656,0.037,7.127,2.647,2.841,3.545,1.729,-6.258,0.144,4.457,-1.529,1.577,5.402,-1.942,5.045,6.311,4.530,0.523,1.473,0.731,1.212,3.324,3.444,3.914,-7.779,-5.850,0.133,0.446,-0.818,-1.590,-2.406,0.753,1.642
0.294,-5.171,6.077,5.241,-0.848,0.213,-0.323,-2.464,4.100,6.254,-2.200,-2.507,-1.436,3.787,-1.003,-3.256,-6.275,-1.332,4.196,-5.985,-4.071,4.862,6.315,-0.120,5.976,-5.913,-5.473,2.033,2.145,-5.771,-0.229,3.561,-2.063,-2.845,-5.593,-2.544,-6.048,-1.782,-7.430
0.457,-0.245,2.559,0.785,2.370,-0.100,1.855,2.842,-0.293,0.309,-5.784,4.575,3.611,-0.891,0.048,4.469,3.310,-2.343,1.358,0.440,3.235,-1.266,-2.116,-2.299,-0.628,2.341,3.670,3.555,-2.516,2.996,-2.570,-1.209,-1.173,3.895,1.621,2.188,2.715,2.400,5.537
3.991,2.164,6.393,2.375,3.481,6.056,4.734,3.858,4.338,3.534,-0.288,-1.001,5.172,3.303,2.005,0.138,0.613,0.309,4.898,0.848,-1.804,3.787,5.367,1.170,5.125,0.890,-3.549,5.025,4.856,-1.448,2.913,3.772,-0.064,1.875,0.773,0.951,4.375,2.807,0.751
-1.047,0.063,-0.823,-0.810,-1.680,-0.054,-3.300,-1.804,-1.797,-2.350,3.588,-0.277,-1.198,0.177,-0.238,2.741,-1.716,4.224,-2.187,-1.207,-0.163,3.040,0.298,2.846,1.065,0.937,-2.159,1.459,0.936,-0.666,-0.164,-0.528,1.527,-2.172,1.978,0.072,-2.646,-3.506,1.655
-2.141,-1.799,1.944,2.580,-2.778,0.868,-2.461,-1.560,0.496,2.541,-0.337,-1.986,-1.953,0.602,-1.289,-2.917,-0.889,2.139,1.945,-1.245,-2.209,1.502,4.564,1.997,2.039,-5.117,-2.629,1.443,4.141,-3.710,0.825,1.858,-3.308,-2.126,-0.044,-2.226,-1.257,-1.413,-3.447
-3.444,-1.977,-5.478,-6.499,-4.626,-3.453,-9.470,-2.893,-7.019,-7.045,0.793,-6.102,-4.411,-7.169,-4.318,-4.547,-0.142,3.418,-6.557,-3.584,-3.720,-5.115,-2.885,1.931,-5.749,1.276,-1.244,-2.658,-1.508,-3.733,-0.872,-3.718,-0.973,-4.560,-1.004,-3.475,-4.488,-4.753,-5.571
2.177,-1.320,-0.344,-1.239,3.663,0.881,2.904,1.752,-1.279,-1.196,1.365,-4.197,2.230,-0.249,3.872,-2.240,0.669,1.429,-5.157,-0.526,-2.923,-0.417,-2.937,0.753,-2.684,0.289,2.015,-2.985,-1.770,-2.175,-2.097,-2.123,-3.845,6.430,-2.549,1.580,3.656,3.428,-3.102
-1.968,5.485,3.610,5.385,-2.354,-2.736,-2.979,-2.627,5.985,3.235,0.825,4.610,-1.378,-2.647,-1.380,4.053,5.374,2.711,6.585,6.534,3.004,6.017,3.955,5.016,2.893,8.114,6.804,5.064,6.074,10.786,-1.334,-0.069,5.423,-2.680,7.085,7.690,-1.446,-3.461,6.242
5.205,-1.668,-0.918,-1.525,6.774,6.552,7.902,6.434,-1.596,-2.801,1.988,-0.946,6.731,1.522,7.267,-1.204,2.066,3.200,-3.004,-2.623,-2.852,-0.604,-4.855,-0.024,-2.346,0.500,-0.544,-1.116,-0.883,-1.280,3.276,0.963,0.538,7.635,1.699,0.316,7.873,5.762,-1.047
1.334,9.527,-0.977,2.872,1.680,2.115,1.639,0.349,3.584,0.756,1.257,0.002,1.194,1.756,2.172,2.771,7.360,-0.092,-0.323,5.490,0.520,0.914,-0.280,0.054,-0.835,7.851,11.162,-0.412,0.627,9.046,0.174,1.464,7.290,-1.197,7.554,9.589,3.029,1.207,6.873
-1.468,1.206,-0.427,-1.535,0.434,4.124,0.504,0.019,-0.732,-0.689,5.616,0.853,0.472,5.394,-1.784,2.425,-0.210,1.789,-1.308,1.687,0.005,1.525,-0.923,4.047,-1.688,0.575,0.974,-0.463,2.272,1.823,3.158,2.432,2.176,-0.808,2.457,-0.755,0.288,-0.036,1.511
1.271,2.649,4.069,-0.508,-0.250,4.590,3.325,3.491,1.672,2.476,0.399,0.686,-1.226,5.989,3.136,-1.215,3.212,-0.591,-0.639,2.298,-0.255,-0.955,2.249,-2.650,5.311,2.517,5.234,1.262,3.056,2.311,3.003,2.243,1.465,2.397,3.598,4.129,1.232,1.652,2.787
3.520,0.054,0.028,-1.940,1.207,4.948,0.578,0.299,1.910,-0.847,-4.799,0.384,1.107,0.884,5.816,-3.292,0.306,-2.126,1.949,2.086,-2.828,-1.637,3.465,-3.554,-0.105,-1.021,0.653,1.606,-2.049,-2.652,1.120,-0.716,-0.543,3.969,-0.715,-3.139,1.127,5.447,-0.605
1.634,-5.346,-1.938,-1.176,-0.783,2.235,-0.129,1.593,-1.307,0.205,3.081,-2.482,2.219,0.371,1.206,-2.826,-2.296,3.334,0.424,-2.058,-4.086,1.574,0.141,3.532,-2.291,-4.849,-3.573,1.091,2.130,-5.345,-2.082,1.411,-2.121,2.368,-2.614,-2.903,2.499,-0.383,-4.768
-1.880,1.558,5.463,5.549,-1.850,-1.605,-4.038,-2.540,3.727,3.083,3.362,0.492,-2.510,-1.565,-1.294,1.784,-0.167,4.171,6.268,0.875,2.125,7.563,6.260,1.771,3.205,0.251,-0.267,4.619,5.210,1.065,-2.964,-0.036,0.792,-1.007,0.691,-1.602,-2.779,-2.071,1.505
0.568,-3.755,0.045,-0.301,-3.257,-2.937,-1.279,-2.266,1.575,-0.724,3.242,-4.572,-1.913,-0.831,-0.688,-4.409,-5.022,3.045,-1.685,-6.392,-3.459,2.285,0.983,0.114,0.377,-5.805,-6.733,-0.755,0.667,-6.762,-1.690,-0.777,-5.201,-1.147,-2.274,-5.982,-1.532,-1.858,-8.161
2.987,-3.903,-0.708,0.604,2.973,2.904,3.676,1.817,0.308,0.732,-1.332,1.008,3.900,1.199,2.695,2.921,-3.744,-1.823,2.438,-2.506,1.372,-1.140,-0.723,-0.381,2.879,-4.536,-0.634,0.678,0.800,-2.738,1.884,-0.068,-4.252,3.071,-6.180,-3.902,4.250,1.899,-1.184
-0.156,1.800,5.392,3.481,2.078,3.930,3.927,0.462,3.939,3.506,-0.625,1.349,-0.833,5.458,0.845,2.799,-1.515,0.356,2.480,-0.053,-0.183,4.939,4.878,0.837,2.773,0.075,-0.963,6.897,2.596,1.278,4.276,5.473,-1.043,-0.219,1.634,-1.573,-0.978,1.497,0.264
2.106,-1.293,-0.039,0.205,3.182,6.099,4.379,2.257,1.366,-1.052,-4.936,-3.404,3.573,5.125,1.565,-4.705,-3.229,-2.023,-2.493,-2.290,-5.756,-2.964,0.002,-2.927,-0.453,-0.246,-0.464,-3.987,-3.174,-6.029,3.908,5.610,-0.862,1.305,-2.765,-2.152,0.705,1.203,-3.495
0.232,-1.898,-1.272,-0.602,2.151,4.934,4.478,1.636,-0.858,-1.198,-2.788,4.142,-2.600,5.510,2.836,5.839,-2.226,-4.212,-0.353,-2.216,2.112,-3.190,-1.695,-2.905,-0.537,-1.014,-2.371,-2.452,-3.505,1.790,4.674,6.382,-2.011,-0.649,-4.509,-3.742,0.057,3.177,-0.361
3.855,1.382,-1.624,-0.183,2.013,1.170,2.668,0.948,-0.958,-1.769,2.956,2.274,3.449,0.306,4.183,-1.389,0.603,3.117,-2.776,1.626,0.887,1.492,0.114,7.668,-0.987,-0.673,-4.123,-2.272,2.808,0.900,-0.211,-1.247,-3.685,3.116,-0.883,-1.781,2.560,0.020,-1.693
2.508,-2.504,-6.341,-6.479,3.925,2.890,1.683,2.974,-1.044,-2.900,2.294,2.596,1.424,-2.484,3.235,-1.226,-1.719,4.038,-5.517,0.377,1.723,-0.466,-2.393,3.373,-1.742,-2.579,-0.874,-4.915,-1.714,-0.987,0.036,0.831,0.100,4.397,-3.002,-2.456,4.726,1.370,-0.290
-0.207,-3.040,-0.997,0.110,0.163,-2.508,-1.253,-0.682,-1.847,0.022,-0.291,4.423,1.772,-3.905,-0.496,3.587,-4.594,-1.655,-0.437,-4.175,2.544,-1.653,0.511,0.191,-0.116,-6.388,-1.770,-0.792,0.039,0.237,-3.662,-1.717,-4.098,2.087,-4.037,-1.326,1.139,-0.637,-1.600
-4.428,-0.117,-5.158,-3.396,-3.650,-2.035,-1.936,-3.780,-2.766,-4.240,1.934,5.077,-0.307,-1.203,-2.211,2.967,0.372,1.920,-3.732,0.751,5.009,-0.693,-4.476,3.610,-4.229,1.941,1.085,-1.114,-2.077,3.884,0.889,1.144,0.951,-1.805,3.926,0.011,-0.266,-3.596,4.305
7.949,-1.135,0.362,0.759,5.841,6.455,4.905,7.648,0.120,-1.322,0.433,2.816,7.993,-1.420,7.363,-0.203,-1.312,-1.016,1.375,0.284,1.308,0.197,-1.823,0.366,-1.118,-1.045,-0.236,1.629,-0.304,0.008,-1.408,-1.122,-1.068,9.317,2.660,0.301,7.009,7.694,1.528
-4.534,-2.112,0.219,1.732,-2.802,-5.994,-4.216,-4.798,-0.861,0.597,1.471,-3.485,-5.938,-0.910,-4.433,-6.504,-1.610,-3.261,1.458,-0.599,-5.066,2.105,1.577,0.164,0.174,0.030,-1.496,0.035,-1.801,-4.061,-2.088,-1.064,-3.549,-4.529,-0.512,-2.906,-6.315,-4.606,-5.926
-0.315,-0.606,-3.608,-1.999,-2.598,-3.277,-1.111,-1.373,-2.219,-4.550,-2.389,-1.133,-1.479,0.464,-2.717,-2.893,-1.334,-2.378,-3.481,1.685,-1.261,-2.525,-3.889,-2.117,-2.155,-1.775,1.052,-3.219,-6.247,-2.740,-1.639,-1.899,-1.139,-0.578,-0.074,-2.668,-1.022,-3.316,-0.840
-0.115,-2.542,-0.568,0.471,0.035,-1.265,-1.011,-2.834,1.305,0.972,3.266,-2.730,-0.129,1.405,-1.818,-3.636,-2.826,0.302,-0.622,-2.070,-3.307,4.077,0.092,3.784,0.753,1.513,-0.756,0.668,0.115,-2.606,-0.177,-0.061,-0.347,-1.805,-0.663,0.149,-3.185,-3.177,-3.657
3.152,4.738,0.221,2.118,2.868,0.374,1.229,3.455,0.823,1.243,-2.277,-5.447,0.662,-2.078,0.222,-4.941,2.250,-3.007,3.323,4.461,-2.845,-0.944,0.882,1.490,2.296,3.420,2.598,0.895,1.702,-0.443,-0.883,-0.298,5.245,0.618,1.457,2.151,2.712,0.790,-0.153
1.938,-1.011,2.457,5.290,1.587,-0.459,0.823,0.756,5.967,1.404,-3.135,-0.205,-0.138,1.673,0.802,0.925,0.826,-1.113,4.787,1.505,-0.990,1.028,4.164,-1.853,3.937,-0.037,-2.102,2.668,2.732,-0.803,-2.622,-2.073,-0.343,0.617,-1.164,-1.505,1.445,1.262,-0.157
1.749,4.614,3.365,3.629,0.510,4.674,5.247,0.745,2.779,4.422,-1.938,0.502,-1.034,5.887,0.414,-1.045,4.101,-4.179,2.750,3.860,-1.339,2.321,5.443,-0.208,5.077,3.297,5.626,5.715,1.892,2.499,7.296,4.702,5.189,2.284,5.608,1.560,0.960,0.634,3.977
-4.435,3.884,-3.718,-2.737,-6.964,-2.119,-4.927,-6.990,-2.856,-2.277,-3.993,0.894,-6.159,3.299,-4.125,0.674,2.450,-2.209,-2.137,2.979,1.138,-4.924,-2.024,-4.712,-3.518,2.012,2.102,-2.806,-5.118,2.841,2.386,1.179,2.826,-4.940,2.205,3.517,-8.114,-5.667,3.237
-1.824,1.546,-0.873,-0.496,-0.088,-0.663,1.553,0.057,-2.072,-2.601,-2.085,4.028,-0.095,2.860,0.619,5.341,-0.327,-0.347,-6.160,-0.674,3.169,-3.514,-2.117,-4.396,-1.125,1.070,0.733,-2.903,-3.747,2.085,-0.030,2.584,0.045,-1.403,-0.728,-0.351,-2.501,-2.569,4.191
-4.591,-6.860,-0.711,-1.827,-2.349,-1.374,-0.730,-3.072,-3.606,-0.364,1.046,6.923,-3.721,2.158,-4.533,7.558,-2.167,-0.728,-2.537,-5.831,5.044,-1.832,-1.427,0.141,-0.372,-4.416,-5.516,-0.717,-0.465,1.652,4.411,3.486,-3.909,-2.809,-2.302,-4.194,-6.171,-4.500,0.019
6.689,-5.882,2.830,1.457,4.188,2.012,3.531,3.419,3.220,4.274,-1.994,-0.220,3.702,-1.648,2.448,0.240,-1.970,1.059,2.973,-3.849,-3.536,3.008,3.261,-0.577,1.321,-4.202,-6.396,1.220,0.745,-4.275,-1.220,0.232,-2.646,2.637,-6.218,-4.717,3.933,4.254,-5.224
2.820,4.411,1.745,0.471,-0.460,0.624,-1.174,2.742,-0.854,1.740,-0.513,5.519,1.069,-1.212,1.433,4.409,5.254,0.807,-0.817,5.593,7.070,-1.160,-0.905,-0.559,-3.274,4.566,3.260,-1.339,0.318,7.979,-1.995,-1.819,3.773,1.185,5.755,8.387,-0.032,-0.279,9.083
0.132,-4.881,-0.991,2.898,1.503,-0.375,-0.976,1.810,0.809,3.241,3.694,-0.274,1.675,-2.260,1.647,-2.064,-5.234,1.373,0.644,-3.148,0.462,1.121,2.893,-0.318,-0.431,-6.104,-4.968,0.504,3.247,-6.575,-2.195,-0.537,-5.723,0.382,-3.754,-3.240,-1.960,-0.422,-2.400
2.023,-1.852,-5.250,-3.429,0.791,1.567,4.635,2.219,-1.296,-2.420,-1.492,-1.125,3.314,2.565,2.392,-3.280,-0.331,-0.915,-2.672,-4.738,-1.914,-3.049,-1.297,-2.748,-0.799,-1.230,-2.469,-3.319,-3.893,-2.143,2.324,0.902,-2.561,2.887,-2.164,-0.859,1.580,0.590,-4.412
-1.415,4.728,1.289,2.036,-2.823,-3.091,-2.525,-1.720,1.276,0.441,1.533,-2.133,-2.260,-1.681,-2.764,-2.821,6.570,-1.182,3.131,3.741,-5.471,2.025,0.965,0.422,1.635,6.131,3.265,3.299,1.412,2.236,-0.098,-0.781,6.172,-3.006,4.610,2.519,-3.652,-2.547,0.999
4.320,0.165,1.452,2.643,3.352,4.673,2.398,6.443,-0.828,-0.366,-1.960,-1.179,3.915,0.161,6.693,-3.487,-0.735,-4.182,1.147,-1.076,-2.381,-1.781,-2.362,-2.527,2.379,1.137,-0.022,0.218,-1.437,-2.320,0.265,-4.625,0.876,5.957,-0.598,0.674,5.123,5.865,-0.960
0.324,-3.188,-0.945,0.552,-4.390,-4.157,-2.658,-1.444,-2.264,0.431,3.448,-4.444,-3.885,-3.533,-1.397,-1.770,-3.256,3.919,1.462,-1.618,-3.186,3.669,1.584,4.472,-0.595,-2.778,-2.456,3.551,2.816,-4.125,-2.685,-2.721,-2.849,0.287,-3.119,-4.178,-2.099,0.980,-5.484
3.121,2.370,-4.420,-6.649,3.329,0.074,-2.267,4.426,-3.374,-4.586,-2.099,1.503,2.335,-4.195,2.099,3.193,3.652,-3.160,-5.405,0.687,0.988,-6.861,-7.119,-0.083,-5.885,2.776,2.181,-5.924,-5.140,3.615,-4.301,-5.279,-1.203,1.830,0.661,5.710,-1.102,4.147,2.766
